Variável,Coeficiente,Erro Padrão,Z,P>|z|,0.025,0.975
pratica_aração,0.0238,1.543,0.015,0.988,-3.000,3.047
pratica_gradagem,0.0238,1.543,0.015,0.988,-3.000,3.047
pratica_monocultura,0.4434,1.555,0.285,0.776,-2.605,3.491
pratica_não usa,-0.2850,1.568,-0.182,0.856,-3.358,2.788
pratica_pastagem nativa,-0.1587,1.551,-0.102,0.918,-3.198,2.880
pratica_plantio convencional,0.0452,1.544,0.029,0.977,-2.981,3.071
pratica_queimadas,-0.0403,1.554,-0.026,0.979,-3.085,3.005
pratica_roça de toco,0.0183,1.549,0.012,0.991,-3.018,3.054
pratica_uso de agrotóxicos,-0.0788,1.544,-0.051,0.959,-3.106,2.948
0/1,-0.7837,1.537,-0.510,0.610,-3.796,2.229
1/2,0.5089,0.045,11.395,0.000,0.421,0.596
2/3,0.8394,0.068,12.422,0.000,0.707,0.972
