Variável,Coeficiente,Erro Padrão,Z,P>|z|,0.025,0.975
pratica_aracao,0.3089,0.339,0.911,0.362,-0.356,0.974
pratica_controle_biologico_de_pragas_e_doencas,0.3330,1.569,0.212,0.832,-2.743,3.409
pratica_gradagem,0.3089,0.339,0.911,0.362,-0.356,0.974
pratica_monocultura,0.7288,0.393,1.856,0.063,-0.041,1.498
pratica_pastagem_nativa,0.1261,0.374,0.337,0.736,-0.607,0.859
pratica_plantio_convencional,0.3304,0.346,0.955,0.340,-0.348,1.008
pratica_queimadas,0.2449,0.387,0.633,0.526,-0.513,1.003
pratica_roca_de_toco,0.3030,0.368,0.824,0.410,-0.418,1.024
pratica_uso_de_agrotoxicos,0.2064,0.347,0.595,0.552,-0.474,0.887
0/1,-0.4986,0.312,-1.598,0.110,-1.110,0.113
1/2,0.5090,0.045,11.395,0.000,0.421,0.596
2/3,0.8395,0.068,12.423,0.000,0.707,0.972
