,Dim1,Dim2,Dim3,Dim4,Dim5
pratica_aração__0,-0.3801421992517739,0.27684307431974203,0.03475487735702163,0.10133838848144353,0.016798598995544436
pratica_aração__1,1.6233099319400126,-1.1821947497978167,-0.14841271952457963,-0.43274230756940646,-0.07173455787286785
pratica_gradagem__0,0.380142199251783,0.2768430743197308,0.03475487735701772,0.10133838848144477,0.016798598995544194
pratica_gradagem__1,-1.6233099319400432,-1.18219474979777,-0.14841271952456267,-0.43274230756941173,-0.07173455787286698
pratica_plantio convencional__0,-2.0227266646429527e-15,-0.2505051338127236,0.3031191076231835,0.1491686830651985,0.020890709395457976
pratica_plantio convencional__1,1.4959236969450505e-14,1.3997820652913677,-1.693780418948465,-0.8335304114521553,-0.11673389641921807
pratica_uso de agrotóxicos__0,-4.2295756480852614e-15,-0.1700832440922276,-0.330657543319288,0.1689645016628763,0.022235221348978963
pratica_uso de agrotóxicos__1,2.8887086701436744e-14,1.0060242948433877,1.955804192399193,-0.999407052388927,-0.1315189688301346
pratica_roça de toco__0,-2.1050942321401003e-16,-0.03108312954142652,-0.010976434122240225,-0.19912405680585782,0.21480719150718525
pratica_roça de toco__1,8.68424866162558e-15,0.32545865049258144,0.114929721985808,2.084946006555454,-2.2491576522517107
pratica_pastagem nativa__0,-8.21670824181114e-16,-0.02623787300578509,-0.009008444258456606,-0.13343823292428406,-0.22446387824795822
pratica_pastagem nativa__1,1.648859722184904e-14,0.30173553956652616,0.103597108972249,1.5345396786292693,2.5813345998515125
pratica_queimadas__0,4.0548530876716794e-16,-0.016301298223983244,-0.005295637701253151,-0.05827143060061538,-0.024949811116577375
pratica_queimadas__1,2.9417504996083125e-15,0.25308456225709186,0.08221701922623396,0.9046886513587105,0.3873563895387169
pratica_monocultura__0,3.220872545943375e-15,-0.016301298223984552,-0.005295637701253839,-0.058271430600613856,-0.024949811116413097
pratica_monocultura__1,-4.0724348195206315e-14,0.25308456225711246,0.08221701922624486,0.9046886513586876,0.3873563895361669
pratica_não usa__0,4.812219266862531e-16,-0.00760616803791382,-0.002359806706381502,-0.02157891489666767,-0.006774221073421972
pratica_não usa__1,2.416062136917712e-15,0.2105118859904921,0.06531112090308461,0.597228203463659,0.18748653029675108
pratica_controle biológico de pragas e doenças.__0,4.3815584717112267e-16,-0.00017879501136569727,-5.34187393714219e-05,-0.00043123594871822234,-0.00011733403031199269
pratica_controle biológico de pragas e doenças.__1,1.2518091367057431e-13,0.17414634107000557,0.05202985214762924,0.42002381405176076,0.1142833455233848
