,Dim1,Dim2,Dim3,Dim4,Dim5
pratica_aceiros__0,-0.47934124287302493,-0.0912492344155407,-0.07779441410904299,0.0005567115203212406,0.03825784813345747
pratica_aceiros__1,1.9403121586509144,0.3693652520756735,0.31490185711160545,-0.0022534971647040205,-0.15486288526362318
pratica_adubação__0,0.18866445950295696,-0.3398897960956252,-0.13723988497064696,-0.006276012830844817,0.039844566504837406
pratica_adubação__1,-1.054686735415836,1.9000783740067948,0.7672090791761871,0.035084655061320864,-0.22274219469718143
pratica_calagem__0,0.07883473634410855,0.22876231323928936,-0.2775010932318479,0.014963733241354665,0.06743671037122607
pratica_calagem__1,-0.5498557240807572,-1.595569075534537,1.9355118267431424,-0.10436889571701041,-0.4703568874631738
pratica_rotação de cultura__0,0.03600775520370619,0.008649952915804044,0.13954374740019646,0.22204217081794572,0.14671004633747622
pratica_rotação de cultura__1,-0.347940106462779,-0.08358381469203727,-1.3484002557771784,-2.145576032622847,-1.4176476387666255
pratica_recuperação de pastagens__0,0.034128091465397914,0.03863953793262903,0.12097596333396499,-0.2397380462544156,0.14413546407133337
pratica_recuperação de pastagens__1,-0.35143808473296717,-0.39789524180623703,-1.2457643843319,2.4687310715484463,-1.4842521002583735
pratica_plantio direto__0,0.02074800855007165,0.053169491207789486,0.05310008092341866,0.02733715234268678,-0.04458692203070197
pratica_plantio direto__1,-0.3246881338011218,-0.8320558974973341,-0.8309696874331464,-0.4278024542048501,0.6977462184453703
pratica_adubação verde__0,0.016615807696617184,0.02203462778489149,0.03486800367834563,0.0009787150614253247,-0.08511463491102328
pratica_adubação verde__1,-0.2809012018145101,-0.3725099338728797,-0.589466628222597,-0.016545824434658775,1.4389191109486192
pratica_consórcio__0,0.015037199742687926,0.002809377440779864,0.026515383638543277,-0.015531058060022623,-0.12779320406041178
pratica_consórcio__1,-0.25421379187638526,-0.04749438088563376,-0.4482600705685795,0.2625627928637818,2.1604285063797906
pratica_reaproveitamento de residuos__0,0.014070593671486433,0.00982223761861777,0.025916867401295098,-0.006855476259859878,-0.07924361082265317
pratica_reaproveitamento de residuos__1,-0.2584394755987298,-0.1804084460562416,-0.4760240951258267,0.12591691089538956,1.4554948926609768
pratica_descarte correto de embalagens__0,0.015195144566874898,0.03597611177663999,0.03446703183470567,0.014939445703947707,-0.019637700658172337
pratica_descarte correto de embalagens__1,-0.2982872944323495,-0.7062267159631679,-0.6766028205812848,-0.2932678145796656,0.3854966020506434
pratica_não usa__0,0.005819561971049348,-0.0042200149708807155,0.006983381217354083,-0.007752868225093363,-0.02908410759896527
pratica_não usa__1,-0.19872726434472274,0.1441056964130438,-0.23846953638520177,0.2647460927235634,0.9931684150461447
pratica_curva de nível__0,0.0034247895542731943,-0.007685699022996224,0.0025697738919473814,-0.007785392197391275,-0.02187036321046339
pratica_curva de nível__1,-0.16763443607758227,0.3761947416519296,-0.12578366944794556,0.38107446018810437,1.0704967255647841
pratica_ilp - integração lavoura pecuária__0,0.003344978554178932,0.011260967095213528,0.007167347849731642,0.004916426476303007,0.0028630555647773375
pratica_ilp - integração lavoura pecuária__1,-0.2852354439836243,-0.9602533759372822,-0.6111792984589215,-0.4192370940701903,-0.2441405563419258
pratica_ilpf - integração lavoura pecuária__0,0.0007381864646711419,-0.0005809535867200835,0.0007743658148958773,-0.0008632745098416184,-0.0028105238587464807
pratica_ilpf - integração lavoura pecuária__1,-0.17439655227855386,0.13725028486266294,-0.1829439237691392,0.20394860295011624,0.6639862616288492
pratica_floresta__0,0.000996104980129189,0.002098676879648996,0.001770610148226411,0.0006418125304464978,-0.0005579291561845241
pratica_floresta__1,-0.2353298015555179,-0.49581241281703203,-0.4183066475184763,-0.1516282103179504,0.13181076314858794
pratica_apiário__0,0.000269014192946556,0.0007634443362693937,0.0005228631204377745,0.0002940412527674737,7.325759753199629e-05
pratica_apiário__1,-0.2550254549133669,-0.7237452307832395,-0.4956742381749192,-0.27875110762344635,-0.0694482024603821
pratica_outros__0,0.00015634688899410915,-0.00039980081719700414,9.263632587236219e-05,-0.00035123665221764057,-0.0008830738107930142
pratica_outros__1,-0.14821685076644664,0.37901117470290474,-0.08781923692690814,0.3329723463024411,0.8371539726317242
