municipio_original,atividade_produtiva,Record Count,municipio_norm,COD_UF,COD,NOME,nome_norm,nome_match,COD_fuzzy,COD_UF_fuzzy,NOME_fuzzy,nome_norm_fuzzy,codigo_final,uf_final,municipio_ibge
PONTE ALTA DO BOM JESUS,Bovinocultura de corte,8,ponte alta do bom jesus,17.0,1717800.0,Ponte Alta do Bom Jesus,ponte alta do bom jesus,,,,,,1717800.0,17.0,Ponte Alta do Bom Jesus
GUARAI,Bovinocultura de corte,7,guarai,17.0,1709302.0,Guaraí,guarai,,,,,,1709302.0,17.0,Guaraí
CHAPADA DA NATIVIDADE-TO,Bovinocultura de corte,6,chapada da natividade-to,,,,,chapada da natividade,1705102.0,17.0,Chapada da Natividade,chapada da natividade,1705102.0,17.0,Chapada da Natividade
Marianópolis do Tocantins,"Bovinocultura de corte, Avicultura",6,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
FILADÉLFIA,"Bovinocultura de corte, Avicultura",5,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
LAJEADO,Pisicultura,5,lajeado,17.0,1712009.0,Lajeado,lajeado,,,,,,1712009.0,17.0,Lajeado
AXIXA DO TOCANTINS,Bovinocultura de Leite,5,axixa do tocantins,17.0,1702901.0,Axixá do Tocantins,axixa do tocantins,,,,,,1702901.0,17.0,Axixá do Tocantins
CARMOLANDIA,Avicultura,5,carmolandia,17.0,1703883.0,Carmolândia,carmolandia,,,,,,1703883.0,17.0,Carmolândia
Peixe,"Bovinocultura de corte, Avicultura",5,peixe,17.0,1716604.0,Peixe,peixe,,,,,,1716604.0,17.0,Peixe
PARANÃ-TO,Bovinocultura de corte,5,parana-to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
PARANÃ TO,Bovinocultura de corte,4,parana to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
Xambioá,Bovinocultura de Leite,4,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
DARCINÓPOLIS,Olericultura,4,darcinopolis,17.0,1706506.0,darcinópolis,darcinopolis,,,,,,1706506.0,17.0,darcinópolis
PEDRO AFONSO,Bovinocultura de corte,4,pedro afonso,17.0,1716505.0,Pedro Afonso,pedro afonso,,,,,,1716505.0,17.0,Pedro Afonso
Talismã-TO,"Bovinocultura de corte, Avicultura, Suinocultura",4,talisma-to,,,,,talisma,1720978.0,17.0,Talismã,talisma,1720978.0,17.0,Talismã
DIVINÓPOLIS,Bovinocultura de corte,4,divinopolis,,,,,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins
CHAPADA DA NATIVIDADE,Bovinocultura de corte,4,chapada da natividade,17.0,1705102.0,Chapada da Natividade,chapada da natividade,,,,,,1705102.0,17.0,Chapada da Natividade
Nova Rosalãndia,"Bovinocultura de corte, Avicultura",4,nova rosalandia,17.0,1715002.0,Nova Rosalândia,nova rosalandia,,,,,,1715002.0,17.0,Nova Rosalândia
Divinopolis do Tocantins,Bovinocultura de corte,4,divinopolis do tocantins,17.0,1707108.0,Divinópolis do Tocantins,divinopolis do tocantins,,,,,,1707108.0,17.0,Divinópolis do Tocantins
JAU DO TO,Bovinocultura de Leite,4,jau do to,,,,,jau do tocantins,1711506.0,17.0,Jaú do Tocantins,jau do tocantins,1711506.0,17.0,Jaú do Tocantins
PALMAS,Avicultura,3,palmas,17.0,1721000.0,Palmas,palmas,,,,,,1721000.0,17.0,Palmas
Talismã-TO,Bovinocultura de corte,3,talisma-to,,,,,talisma,1720978.0,17.0,Talismã,talisma,1720978.0,17.0,Talismã
MIRANORTE,"Bovinocultura de corte, Avicultura, Fruticultura",3,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
Gurupi-TO,"Bovinocultura de corte, Avicultura, Suinocultura",3,gurupi-to,,,,,gurupi,1709500.0,17.0,Gurupi,gurupi,1709500.0,17.0,Gurupi
CHAPADA DE AREIA,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura",3,chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
PARANÃ TO,"Bovinocultura de corte, Avicultura, Mandiocultura",3,parana to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
Talisma,"Bovinocultura de corte, Avicultura, Suinocultura",3,talisma,17.0,1720978.0,Talismã,talisma,,,,,,1720978.0,17.0,Talismã
Couto Magalhães,Avicultura,3,couto magalhaes,17.0,1706001.0,Couto Magalhães,couto magalhaes,,,,,,1706001.0,17.0,Couto Magalhães
PALMEIRAS DO TOCANTINS,Olericultura,3,palmeiras do tocantins,17.0,1713809.0,Palmeiras do Tocantins,palmeiras do tocantins,,,,,,1713809.0,17.0,Palmeiras do Tocantins
Alvorada,Bovinocultura de corte,3,alvorada,17.0,1700707.0,Alvorada,alvorada,,,,,,1700707.0,17.0,Alvorada
FIGUEIROPOLIS,"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",3,figueiropolis,17.0,1707652.0,Figueirópolis,figueiropolis,,,,,,1707652.0,17.0,Figueirópolis
SÃO MIGUEL DO TOCANTINS,Mandiocultura,3,sao miguel do tocantins,17.0,1720200.0,São Miguel do Tocantins,sao miguel do tocantins,,,,,,1720200.0,17.0,São Miguel do Tocantins
CHAPADA DA NATIVIDADE,"Bovinocultura de corte, Mandiocultura",3,chapada da natividade,17.0,1705102.0,Chapada da Natividade,chapada da natividade,,,,,,1705102.0,17.0,Chapada da Natividade
Araguanã,Bovinocultura de Leite,3,araguana,17.0,1702158.0,Araguanã,araguana,,,,,,1702158.0,17.0,Araguanã
GOIATINS,Bovinocultura de corte,3,goiatins,17.0,1709005.0,Goiatins,goiatins,,,,,,1709005.0,17.0,Goiatins
GUARAI,Bovinocultura de Leite,3,guarai,17.0,1709302.0,Guaraí,guarai,,,,,,1709302.0,17.0,Guaraí
Tocantínia,Mandiocultura,3,tocantinia,17.0,1721109.0,Tocantínia,tocantinia,,,,,,1721109.0,17.0,Tocantínia
TUPIRAMA,Olericultura,3,tupirama,17.0,1721257.0,Tupirama,tupirama,,,,,,1721257.0,17.0,Tupirama
MIRANORTE,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",3,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
CASEARA,"Bovinocultura de corte, Avicultura, Culturas Anuais",3,caseara,17.0,1703909.0,Caseara,caseara,,,,,,1703909.0,17.0,Caseara
Talisma,Bovinocultura de corte,2,talisma,17.0,1720978.0,Talismã,talisma,,,,,,1720978.0,17.0,Talismã
PIUM,Bovinocultura de corte,2,pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
Tocantínia,"Pisicultura, Mandiocultura",2,tocantinia,17.0,1721109.0,Tocantínia,tocantinia,,,,,,1721109.0,17.0,Tocantínia
FILADÉLFIA,"Avicultura, Suinocultura",2,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
GURUPI,"Bovinocultura de corte, Avicultura, Suinocultura",2,gurupi,17.0,1709500.0,Gurupi,gurupi,,,,,,1709500.0,17.0,Gurupi
CHAPADA DA NATIVIDADE,"Bovinocultura de corte, Avicultura, Mandiocultura",2,chapada da natividade,17.0,1705102.0,Chapada da Natividade,chapada da natividade,,,,,,1705102.0,17.0,Chapada da Natividade
MONTE SANTO,"Avicultura, Suinocultura, Fruticultura, Extrativismo Vegetal",2,monte santo,,,,,monte santo do tocantins,1713700.0,17.0,Monte Santo do Tocantins,monte santo do tocantins,1713700.0,17.0,Monte Santo do Tocantins
CARIRI TOCANTINS,"Bovinocultura de corte, Mandiocultura",2,cariri tocantins,,,,,cariri do tocantins,1703867.0,17.0,Cariri do Tocantins,cariri do tocantins,1703867.0,17.0,Cariri do Tocantins
AXIXA DO TOCANTINS,"Bovinocultura de Leite, Mandiocultura",2,axixa do tocantins,17.0,1702901.0,Axixá do Tocantins,axixa do tocantins,,,,,,1702901.0,17.0,Axixá do Tocantins
Ananás,"Bovinocultura de Leite, Avicultura, Mandiocultura, Fruticultura, Olericultura",2,ananas,17.0,1701002.0,Ananás,ananas,,,,,,1701002.0,17.0,Ananás
PARANÃ-TO,"Bovinocultura de corte, Avicultura, Suinocultura",2,parana-to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
Cristalandia,"Bovinocultura de corte, Avicultura, Mandiocultura",2,cristalandia,17.0,1706100.0,Cristalândia,cristalandia,,,,,,1706100.0,17.0,Cristalândia
PALMEIRAS DO TOCANTINS,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Olericultura, Culturas Anuais",2,palmeiras do tocantins,17.0,1713809.0,Palmeiras do Tocantins,palmeiras do tocantins,,,,,,1713809.0,17.0,Palmeiras do Tocantins
SÃO BENTO DO TOCANTINS,"Bovinocultura de corte, Mandiocultura",2,sao bento do tocantins,17.0,1720101.0,São Bento do Tocantins,sao bento do tocantins,,,,,,1720101.0,17.0,São Bento do Tocantins
MARIANOPOLIS DO TOCANTINS,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura",2,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
Peixe,"Bovinocultura de corte, Mandiocultura",2,peixe,17.0,1716604.0,Peixe,peixe,,,,,,1716604.0,17.0,Peixe
SANTA RITA DO TOCANTINS,"Bovinocultura de corte, Avicultura",2,santa rita do tocantins,17.0,1718899.0,Santa Rita do Tocantins,santa rita do tocantins,,,,,,1718899.0,17.0,Santa Rita do Tocantins
Chapada de Areia,Bovinocultura de corte,2,chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
Filadelfia,"Avicultura, Olericultura",2,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
Cristalândia,"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura",2,cristalandia,17.0,1706100.0,Cristalândia,cristalandia,,,,,,1706100.0,17.0,Cristalândia
RIO DOS BOIS,"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura",2,rio dos bois,17.0,1718709.0,Rio dos Bois,rio dos bois,,,,,,1718709.0,17.0,Rio dos Bois
Dois Irmãos,Fruticultura,2,dois irmaos,,,,,dois irmaos do tocantins,1707207.0,17.0,dois Irmãos do Tocantins,dois irmaos do tocantins,1707207.0,17.0,dois Irmãos do Tocantins
Dianópolis,Avicultura,2,dianopolis,17.0,1707009.0,Dianópolis,dianopolis,,,,,,1707009.0,17.0,Dianópolis
CHAPADA DE AREIA,"Avicultura, Olericultura",2,chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
MARIANOPOLIS DO TOCANTINS,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",2,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
CHAPADA DA NATIVIDADE-TO,"Bovinocultura de corte, Mandiocultura",2,chapada da natividade-to,,,,,chapada da natividade,1705102.0,17.0,Chapada da Natividade,chapada da natividade,1705102.0,17.0,Chapada da Natividade
TABOCÃO,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Culturas Anuais",2,tabocao,,,,,fortaleza do tabocao,1708254.0,17.0,Fortaleza do Tabocão,fortaleza do tabocao,1708254.0,17.0,Fortaleza do Tabocão
DIANÓPOLIS,"Avicultura, Mandiocultura, Fruticultura, Olericultura",2,dianopolis,17.0,1707009.0,Dianópolis,dianopolis,,,,,,1707009.0,17.0,Dianópolis
GUARAÍ,Bovinocultura de corte,2,guarai,17.0,1709302.0,Guaraí,guarai,,,,,,1709302.0,17.0,Guaraí
Talisma,"Bovinocultura de corte, Avicultura",2,talisma,17.0,1720978.0,Talismã,talisma,,,,,,1720978.0,17.0,Talismã
NOVO JARDIM,"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura",2,novo jardim,17.0,1715259.0,Novo Jardim,novo jardim,,,,,,1715259.0,17.0,Novo Jardim
RIO SONO,"Bovinocultura de corte, Avicultura, Mandiocultura",2,rio sono,17.0,1718758.0,Rio Sono,rio sono,,,,,,1718758.0,17.0,Rio Sono
NOVO JARDIM,Bovinocultura de corte,2,novo jardim,17.0,1715259.0,Novo Jardim,novo jardim,,,,,,1715259.0,17.0,Novo Jardim
Araguaína,"Avicultura, Olericultura",2,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
Cristalandia,"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura",2,cristalandia,17.0,1706100.0,Cristalândia,cristalandia,,,,,,1706100.0,17.0,Cristalândia
ARAGOMINAS,Bovinocultura de Leite,2,aragominas,17.0,1701309.0,Aragominas,aragominas,,,,,,1701309.0,17.0,Aragominas
Araguaina,"Bovinocultura de Leite, Avicultura",2,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
Miracema do Tocantins,Olericultura,2,miracema do tocantins,17.0,1713205.0,Miracema do Tocantins,miracema do tocantins,,,,,,1713205.0,17.0,Miracema do Tocantins
Nova Rosalãndia,"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura",2,nova rosalandia,17.0,1715002.0,Nova Rosalândia,nova rosalandia,,,,,,1715002.0,17.0,Nova Rosalândia
Paraiso do Tocantins,Bovinocultura de corte,2,paraiso do tocantins,17.0,1716109.0,Paraíso do Tocantins,paraiso do tocantins,,,,,,1716109.0,17.0,Paraíso do Tocantins
Ananás,Bovinocultura de Leite,2,ananas,17.0,1701002.0,Ananás,ananas,,,,,,1701002.0,17.0,Ananás
PALMAS,"Avicultura, Suinocultura",2,palmas,17.0,1721000.0,Palmas,palmas,,,,,,1721000.0,17.0,Palmas
CASEARA,"Avicultura, Culturas Anuais",2,caseara,17.0,1703909.0,Caseara,caseara,,,,,,1703909.0,17.0,Caseara
MONTE DO CARMO-TO,"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura",2,monte do carmo-to,,,,,monte do carmo,1713601.0,17.0,Monte do Carmo,monte do carmo,1713601.0,17.0,Monte do Carmo
DIVINÓPOLIS,"Bovinocultura de corte, Avicultura",2,divinopolis,,,,,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins
ALMAS TO,"Avicultura, Mandiocultura",2,almas to,,,,,almas,1700400.0,17.0,Almas,almas,1700400.0,17.0,Almas
Miracema do Tocantins,Fruticultura,2,miracema do tocantins,17.0,1713205.0,Miracema do Tocantins,miracema do tocantins,,,,,,1713205.0,17.0,Miracema do Tocantins
Piraquê,"Bovinocultura de Leite, Avicultura",2,piraque,17.0,1717206.0,Piraquê,piraque,,,,,,1717206.0,17.0,Piraquê
Araguana,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Mandiocultura",2,araguana,17.0,1702158.0,Araguanã,araguana,,,,,,1702158.0,17.0,Araguanã
LAGOA DA CONFUSÃO - TO,"Mandiocultura, Extrativismo Vegetal",2,lagoa da confusao - to,,,,,lagoa da confusao,1711902.0,17.0,Lagoa da Confusão,lagoa da confusao,1711902.0,17.0,Lagoa da Confusão
Ananás,"Avicultura, Mandiocultura, Fruticultura",2,ananas,17.0,1701002.0,Ananás,ananas,,,,,,1701002.0,17.0,Ananás
