uso_de_praticas_convencionais,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,municipio_original,Record Count,municipio_norm,COD_UF,COD,NOME,nome_norm,nome_match,COD_fuzzy,COD_UF_fuzzy,NOME_fuzzy,nome_norm_fuzzy,codigo_final,uf_final,municipio_ibge
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Araguaína,9,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,MIRANORTE,8,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Piraquê,7,piraque,17.0,1717206.0,Piraquê,piraque,,,,,,1717206.0,17.0,Piraquê
Plantio convencional,,CHAPADA DE AREIA,7,chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
Aração e gradagem,,Tocantínia,6,tocantinia,17.0,1721109.0,Tocantínia,tocantinia,,,,,,1721109.0,17.0,Tocantínia
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,PALMEIRAS DO TOCANTINS,6,palmeiras do tocantins,17.0,1713809.0,Palmeiras do Tocantins,palmeiras do tocantins,,,,,,1713809.0,17.0,Palmeiras do Tocantins
"Plantio convencional, Aração e gradagem",,PALMEIRAS DO TOCANTINS,6,palmeiras do tocantins,17.0,1713809.0,Palmeiras do Tocantins,palmeiras do tocantins,,,,,,1713809.0,17.0,Palmeiras do Tocantins
Plantio convencional,,PARAISO DO TOCANTINS,6,paraiso do tocantins,17.0,1716109.0,Paraíso do Tocantins,paraiso do tocantins,,,,,,1716109.0,17.0,Paraíso do Tocantins
Plantio convencional,Não possui degradação,Talismã-TO,6,talisma-to,,,,,talisma,1720978.0,17.0,Talismã,talisma,1720978.0,17.0,Talismã
"Roça de toco, Aração e gradagem",,CARMOLANDIA,5,carmolandia,17.0,1703883.0,Carmolândia,carmolandia,,,,,,1703883.0,17.0,Carmolândia
"Aração e gradagem, Uso de agrotóxicos",Degradação Média,SÍTIO NOVO DO TOCANTINS,5,sitio novo do tocantins,17.0,1720804.0,Sítio Novo do Tocantins,sitio novo do tocantins,,,,,,1720804.0,17.0,Sítio Novo do Tocantins
Aração e gradagem,,TUPIRAMA,5,tupirama,17.0,1721257.0,Tupirama,tupirama,,,,,,1721257.0,17.0,Tupirama
Não usa,,LAJEADO,5,lajeado,17.0,1712009.0,Lajeado,lajeado,,,,,,1712009.0,17.0,Lajeado
Plantio convencional,,SÃO MIGUEL DO TOCANTINS,5,sao miguel do tocantins,17.0,1720200.0,São Miguel do Tocantins,sao miguel do tocantins,,,,,,1720200.0,17.0,São Miguel do Tocantins
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,PALMEIRAS,5,palmeiras,,,,,palmeiras do tocantins,1713809.0,17.0,Palmeiras do Tocantins,palmeiras do tocantins,1713809.0,17.0,Palmeiras do Tocantins
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,PALMEIRAS DO TOCANTINS,5,palmeiras do tocantins,17.0,1713809.0,Palmeiras do Tocantins,palmeiras do tocantins,,,,,,1713809.0,17.0,Palmeiras do Tocantins
"Plantio convencional, Uso de agrotóxicos",Degradação Média,MARIANOPOLIS DO TOCANTINS,5,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa",Pouco degradado,PARANÃ TO,4,parana to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
Plantio convencional,Pouco degradado,Paraiso do Tocantins,4,paraiso do tocantins,17.0,1716109.0,Paraíso do Tocantins,paraiso do tocantins,,,,,,1716109.0,17.0,Paraíso do Tocantins
Aração e gradagem,Pouco degradado,Gurupi-TO,4,gurupi-to,,,,,gurupi,1709500.0,17.0,Gurupi,gurupi,1709500.0,17.0,Gurupi
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Monocultura",Pouco degradado,Araguanã,4,araguana,17.0,1702158.0,Araguanã,araguana,,,,,,1702158.0,17.0,Araguanã
Plantio convencional,Não possui degradação,Alvorada,4,alvorada,17.0,1700707.0,Alvorada,alvorada,,,,,,1700707.0,17.0,Alvorada
Plantio convencional,Pouco degradado,CHAPADA DE AREIA,4,chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,MIRANORTE,4,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Miranorte,4,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
Aração e gradagem,,PEDRO AFONSO,4,pedro afonso,17.0,1716505.0,Pedro Afonso,pedro afonso,,,,,,1716505.0,17.0,Pedro Afonso
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,DARCINOPOLIS,4,darcinopolis,17.0,1706506.0,darcinópolis,darcinopolis,,,,,,1706506.0,17.0,darcinópolis
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,DARCINÓPOLIS,4,darcinopolis,17.0,1706506.0,darcinópolis,darcinopolis,,,,,,1706506.0,17.0,darcinópolis
"Plantio convencional, Aração e gradagem, Monocultura, Uso de agrotóxicos",Pouco degradado,FIGUEIROPOLIS,3,figueiropolis,17.0,1707652.0,Figueirópolis,figueiropolis,,,,,,1707652.0,17.0,Figueirópolis
"Plantio convencional, Aração e gradagem, Pastagem nativa, Monocultura",,NOVA OLINDA,3,nova olinda,17.0,1714880.0,Nova Olinda,nova olinda,,,,,,1714880.0,17.0,Nova Olinda
"Plantio convencional, Uso de agrotóxicos",Não possui degradação,Miranorte,3,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
Aração e gradagem,,RIO DOS BOIS,3,rio dos bois,17.0,1718709.0,Rio dos Bois,rio dos bois,,,,,,1718709.0,17.0,Rio dos Bois
Plantio convencional,Degradação Média,Nova Rosalãndia,3,nova rosalandia,17.0,1715002.0,Nova Rosalândia,nova rosalandia,,,,,,1715002.0,17.0,Nova Rosalândia
Plantio convencional,Não possui degradação,CHAPADA DE AREIA,3,chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,Araguaína,3,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
"Roça de toco, Plantio convencional, Queimadas, Uso de agrotóxicos",Degradação Média,Xambioá,3,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
Plantio convencional,,CASEARA,3,caseara,17.0,1703909.0,Caseara,caseara,,,,,,1703909.0,17.0,Caseara
"Roça de toco, Queimadas",,Ananás,3,ananas,17.0,1701002.0,Ananás,ananas,,,,,,1701002.0,17.0,Ananás
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,RIO DOS BOIS,3,rio dos bois,17.0,1718709.0,Rio dos Bois,rio dos bois,,,,,,1718709.0,17.0,Rio dos Bois
Não usa,Não possui degradação,Talisma,3,talisma,17.0,1720978.0,Talismã,talisma,,,,,,1720978.0,17.0,Talismã
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Barrolândia,3,barrolandia,17.0,1703107.0,Barrolândia,barrolandia,,,,,,1703107.0,17.0,Barrolândia
Aração e gradagem,,PALMAS,3,palmas,17.0,1721000.0,Palmas,palmas,,,,,,1721000.0,17.0,Palmas
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,DOIS IRMÃOS DO TOCANTINS,3,dois irmaos do tocantins,17.0,1707207.0,dois Irmãos do Tocantins,dois irmaos do tocantins,,,,,,1707207.0,17.0,dois Irmãos do Tocantins
"Plantio convencional, Aração e gradagem",Degradação Média,Nova Rosalãndia,3,nova rosalandia,17.0,1715002.0,Nova Rosalândia,nova rosalandia,,,,,,1715002.0,17.0,Nova Rosalândia
"Roça de toco, Pastagem nativa",Não possui degradação,PARANÃ-TO,3,parana-to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
Uso de agrotóxicos,Não possui degradação,MIRANORTE,3,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
Uso de agrotóxicos,Pouco degradado,TABOCÃO,3,tabocao,,,,,fortaleza do tabocao,1708254.0,17.0,Fortaleza do Tabocão,fortaleza do tabocao,1708254.0,17.0,Fortaleza do Tabocão
Aração e gradagem,,SANTA MARIA DO TOCANTINS,3,santa maria do tocantins,17.0,1718881.0,Santa Maria do Tocantins,santa maria do tocantins,,,,,,1718881.0,17.0,Santa Maria do Tocantins
"Plantio convencional, Aração e gradagem",Pouco degradado,Peixe,3,peixe,17.0,1716604.0,Peixe,peixe,,,,,,1716604.0,17.0,Peixe
"Plantio convencional, Aração e gradagem, Pastagem nativa",Pouco degradado,Couto Magalhães,3,couto magalhaes,17.0,1706001.0,Couto Magalhães,couto magalhaes,,,,,,1706001.0,17.0,Couto Magalhães
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Peixe,3,peixe,17.0,1716604.0,Peixe,peixe,,,,,,1716604.0,17.0,Peixe
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,MIRANORTE,3,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
Aração e gradagem,Não possui degradação,PEDRO AFONSO,3,pedro afonso,17.0,1716505.0,Pedro Afonso,pedro afonso,,,,,,1716505.0,17.0,Pedro Afonso
Aração e gradagem,Pouco degradado,PEDRO AFONSO,3,pedro afonso,17.0,1716505.0,Pedro Afonso,pedro afonso,,,,,,1716505.0,17.0,Pedro Afonso
"Roça de toco, Queimadas, Pastagem nativa",,FILADÉLFIA,3,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
Não usa,Não possui degradação,GUARAI,3,guarai,17.0,1709302.0,Guaraí,guarai,,,,,,1709302.0,17.0,Guaraí
Não usa,Degradação Média,MARIANOPOLIS DO TOCANTINS,3,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
Queimadas,Não possui degradação,Ananás,3,ananas,17.0,1701002.0,Ananás,ananas,,,,,,1701002.0,17.0,Ananás
Plantio convencional,Degradação Média,Chapada de Areia,3,chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
Aração e gradagem,Pouco degradado,Ananás,3,ananas,17.0,1701002.0,Ananás,ananas,,,,,,1701002.0,17.0,Ananás
Aração e gradagem,,Wanderlândia,3,wanderlandia,17.0,1722081.0,Wanderlândia,wanderlandia,,,,,,1722081.0,17.0,Wanderlândia
Roça de toco,,SÃO BENTO DO TOCANTINS,3,sao bento do tocantins,17.0,1720101.0,São Bento do Tocantins,sao bento do tocantins,,,,,,1720101.0,17.0,São Bento do Tocantins
"Aração e gradagem, Uso de agrotóxicos",,Araguaína,3,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
Não usa,,DIVINÓPOLIS,2,divinopolis,,,,,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins
"Roça de toco, Plantio convencional",Não possui degradação,RIO SONO,2,rio sono,17.0,1718758.0,Rio Sono,rio sono,,,,,,1718758.0,17.0,Rio Sono
