area_da_propriedade__hectares__,atividade_produtiva,Record Count
20 - 50 ha,Bovinocultura de corte,58
20 - 50 ha,"Bovinocultura de corte, Avicultura",38
50 - 100 ha,Bovinocultura de corte,29
20 - 50 ha,Bovinocultura de Leite,27
20 - 50 ha,"Bovinocultura de corte, Avicultura, Suinocultura",25
20 - 50 ha,"Bovinocultura de corte, Avicultura, Mandiocultura",18
20 - 50 ha,"Bovinocultura de corte, Mandiocultura",16
20 - 50 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura",15
100 - 200 ha,Bovinocultura de corte,14
10 - 20 ha,Bovinocultura de corte,12
20 - 50 ha,"Bovinocultura de Leite, Avicultura",12
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",11
20 - 50 ha,Olericultura,10
10 - 20 ha,Avicultura,9
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura",9
10 - 20 ha,Bovinocultura de Leite,9
20 - 50 ha,Avicultura,9
1 - 5 ha,Mandiocultura,9
20 - 50 ha,"Bovinocultura de corte, Avicultura, Mandiocultura, Culturas Anuais",9
20 - 50 ha,"Bovinocultura de corte, Bovinocultura de Leite",8
10 - 20 ha,"Avicultura, Olericultura",8
1 - 5 ha,Olericultura,8
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura",8
20 - 50 ha,Fruticultura,7
20 - 50 ha,"Avicultura, Suinocultura",7
10 - 20 ha,"Bovinocultura de corte, Avicultura",7
10 - 20 ha,Mandiocultura,7
10 - 20 ha,Olericultura,6
Até 1 ha,Olericultura,6
50 - 100 ha,"Bovinocultura de corte, Avicultura, Suinocultura",6
50 - 100 ha,"Bovinocultura de corte, Avicultura, Mandiocultura",6
20 - 50 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Culturas Anuais",6
5 - 10 ha,Bovinocultura de corte,6
50 - 100 ha,"Bovinocultura de corte, Avicultura",5
10 - 20 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura",5
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Culturas Anuais",5
Até 1 ha,Pisicultura,5
50 - 100 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",5
20 - 50 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura",5
5 - 10 ha,Fruticultura,5
Até 1 ha,"Avicultura, Olericultura",5
1 - 5 ha,"Avicultura, Mandiocultura, Culturas Anuais",5
50 - 100 ha,Bovinocultura de Leite,5
10 - 20 ha,Fruticultura,5
20 - 50 ha,"Bovinocultura de corte, Bovinocultura de Leite, Avicultura",5
100 - 200 ha,"Bovinocultura de corte, Avicultura",5
10 - 20 ha,"Avicultura, Mandiocultura, Fruticultura",4
100 - 200 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura",4
20 - 50 ha,"Avicultura, Mandiocultura",4
20 - 50 ha,"Avicultura, Mandiocultura, Culturas Anuais",4
10 - 20 ha,"Bovinocultura de Leite, Mandiocultura",4
20 - 50 ha,"Bovinocultura de corte, Fruticultura",4
20 - 50 ha,"Bovinocultura de corte, Avicultura, Culturas Anuais",4
1 - 5 ha,Bovinocultura de corte,4
5 - 10 ha,Mandiocultura,4
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura",4
50 - 100 ha,Fruticultura,4
20 - 50 ha,Mandiocultura,4
1 - 5 ha,Avicultura,4
20 - 50 ha,"Bovinocultura de Leite, Mandiocultura",4
10 - 20 ha,"Avicultura, Mandiocultura",4
