acessa_ou_ja_acessou_politicas_publicas__,area_da_propriedade__hectares__,Record Count
Não,20 - 50 ha,111
Crédito Rural,20 - 50 ha,104
Crédito Rural,50 - 100 ha,52
Aposentadoria Rural,20 - 50 ha,47
Não,1 - 5 ha,41
Não,10 - 20 ha,40
Não,50 - 100 ha,39
Bolsa Família,20 - 50 ha,37
"Crédito Rural, Aposentadoria Rural",20 - 50 ha,37
"Crédito Rural, Compra Direta (PAA)",20 - 50 ha,30
Crédito Rural,10 - 20 ha,29
Compra Direta (PAA),20 - 50 ha,29
Não,5 - 10 ha,27
Bolsa Família,10 - 20 ha,24
Crédito Rural,100 - 200 ha,22
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",20 - 50 ha,19
Compra Direta (PAA),1 - 5 ha,15
Não,Até 1 ha,14
Não,100 - 200 ha,14
"Crédito Rural, Bolsa Família",20 - 50 ha,14
Bolsa Família,50 - 100 ha,12
"Compra Direta (PAA), Merenda Escolar (PENAE)",20 - 50 ha,12
Crédito Rural,5 - 10 ha,11
"Crédito Rural, Aposentadoria Rural",50 - 100 ha,11
Compra Direta (PAA),10 - 20 ha,11
"Compra Direta (PAA), Bolsa Família",20 - 50 ha,10
Aposentadoria Rural,50 - 100 ha,10
Fomento,20 - 50 ha,9
"Compra Direta (PAA), Merenda Escolar (PENAE)",5 - 10 ha,9
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",20 - 50 ha,9
"Crédito Rural, Aposentadoria Rural",10 - 20 ha,8
Compra Direta (PAA),50 - 100 ha,8
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",50 - 100 ha,8
"Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",20 - 50 ha,8
"Crédito Rural, Fomento",20 - 50 ha,8
Crédito Rural,Até 1 ha,8
Compra Direta (PAA),5 - 10 ha,8
"Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",10 - 20 ha,8
"Compra Direta (PAA), Merenda Escolar (PENAE)",1 - 5 ha,7
Aposentadoria Rural,10 - 20 ha,7
"Crédito Rural, Compra Direta (PAA), Aposentadoria Rural",20 - 50 ha,7
"Compra Direta (PAA), Aposentadoria Rural",20 - 50 ha,6
Crédito Rural,200 - 320 ha,6
"Crédito Rural, Bolsa Família",10 - 20 ha,6
"Crédito Rural, Bolsa Família",50 - 100 ha,6
"Crédito Rural, Compra Direta (PAA), Bolsa Família",20 - 50 ha,6
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",1 - 5 ha,6
"Compra Direta (PAA), Merenda Escolar (PENAE)",10 - 20 ha,6
Bolsa Família,5 - 10 ha,5
"Crédito Rural, Compra Direta (PAA)",50 - 100 ha,5
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",20 - 50 ha,5
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",50 - 100 ha,5
Merenda Escolar (PENAE),20 - 50 ha,5
"Merenda Escolar (PENAE), Bolsa Família",20 - 50 ha,5
"Crédito Rural, Aposentadoria Rural",100 - 200 ha,5
"Bolsa Família, Aposentadoria Rural",20 - 50 ha,5
"Compra Direta (PAA), Fomento",20 - 50 ha,5
"Crédito Rural, Compra Direta (PAA)",10 - 20 ha,5
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",20 - 50 ha,5
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",100 - 200 ha,4
Compra Direta (PAA),100 - 200 ha,4
"Fomento, Bolsa Família",50 - 100 ha,4
Fomento,10 - 20 ha,4
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",10 - 20 ha,4
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento, Bolsa Família",20 - 50 ha,4
Bolsa Família,Até 1 ha,4
"Compra Direta (PAA), Bolsa Família",5 - 10 ha,4
Não,200 - 320 ha,4
"Crédito Rural, Compra Direta (PAA), Aposentadoria Rural",50 - 100 ha,4
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",10 - 20 ha,4
"Compra Direta (PAA), Merenda Escolar (PENAE)",50 - 100 ha,4
Crédito Rural,1 - 5 ha,4
Merenda Escolar (PENAE),1 - 5 ha,4
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",1 - 5 ha,4
Aposentadoria Rural,1 - 5 ha,3
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",10 - 20 ha,3
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",5 - 10 ha,3
Fomento,Até 1 ha,3
ATER INDÍGENA,200 - 320 ha,3
"Compra Direta (PAA), Merenda Escolar (PENAE)",100 - 200 ha,3
"Crédito Rural, Compra Direta (PAA), Fomento, Aposentadoria Rural",20 - 50 ha,3
"Fomento, Bolsa Família",1 - 5 ha,3
CAF,20 - 50 ha,3
"Compra Direta (PAA), Bolsa Família",1 - 5 ha,3
Bolsa Família,1 - 5 ha,3
"Crédito Rural, PNCF",10 - 20 ha,3
Compra Direta (PAA),Até 1 ha,3
"Crédito Rural, Bolsa Família",Até 1 ha,3
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",20 - 50 ha,3
"Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",20 - 50 ha,3
"Crédito Rural, Merenda Escolar (PENAE)",20 - 50 ha,3
Crédito Rural,Acima de 320 ha,3
