area_da_propriedade__hectares__,regional_,uso_de_praticas_convencionais,Record Count
20 - 50 ha,Araguatins,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",26
20 - 50 ha,Paraiso,Aração e gradagem,25
20 - 50 ha,Gurupi,Plantio convencional,24
20 - 50 ha,Araguaina,"Aração e gradagem, Uso de agrotóxicos",22
20 - 50 ha,Paraiso,"Aração e gradagem, Uso de agrotóxicos",17
20 - 50 ha,Gurupi,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",16
20 - 50 ha,Paraiso,Plantio convencional,16
20 - 50 ha,Miracema,"Aração e gradagem, Uso de agrotóxicos",15
20 - 50 ha,Gurupi,"Plantio convencional, Aração e gradagem",14
20 - 50 ha,Paraiso,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",13
20 - 50 ha,Araguatins,"Aração e gradagem, Uso de agrotóxicos",12
10 - 20 ha,Araguatins,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",11
20 - 50 ha,Paraiso,"Plantio convencional, Aração e gradagem",11
10 - 20 ha,Miracema,Aração e gradagem,11
20 - 50 ha,Miracema,Aração e gradagem,11
5 - 10 ha,Miracema,Aração e gradagem,11
20 - 50 ha,Gurupi,Aração e gradagem,10
1 - 5 ha,Paraiso,Plantio convencional,10
20 - 50 ha,Araguatins,Aração e gradagem,10
20 - 50 ha,Paraiso,Não usa,9
50 - 100 ha,Paraiso,"Plantio convencional, Aração e gradagem",8
20 - 50 ha,Paraiso,"Aração e gradagem, Pastagem nativa",8
50 - 100 ha,Paraiso,Plantio convencional,8
20 - 50 ha,Araguaina,"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Monocultura",8
20 - 50 ha,Porto,"Roça de toco, Plantio convencional, Monocultura",8
20 - 50 ha,Araguatins,"Plantio convencional, Aração e gradagem",8
1 - 5 ha,Araguatins,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",7
20 - 50 ha,Miracema,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",7
Até 1 ha,Porto,Não usa,7
50 - 100 ha,Araguaina,"Aração e gradagem, Uso de agrotóxicos",6
20 - 50 ha,Miracema,Uso de agrotóxicos,6
50 - 100 ha,Araguaina,"Plantio convencional, Aração e gradagem, Pastagem nativa, Monocultura",6
20 - 50 ha,Taguatinga,Aração e gradagem,6
10 - 20 ha,Paraiso,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",6
20 - 50 ha,Araguaina,"Queimadas, Uso de agrotóxicos",6
20 - 50 ha,Porto,Aração e gradagem,6
50 - 100 ha,Paraiso,Aração e gradagem,6
10 - 20 ha,Colinas,"Aração e gradagem, Uso de agrotóxicos",5
20 - 50 ha,Gurupi,Não usa,5
10 - 20 ha,Araguatins,"Plantio convencional, Uso de agrotóxicos",5
10 - 20 ha,Paraiso,Aração e gradagem,5
10 - 20 ha,Gurupi,"Plantio convencional, Aração e gradagem",5
20 - 50 ha,Miracema,Plantio convencional,5
10 - 20 ha,Paraiso,"Plantio convencional, Aração e gradagem",5
50 - 100 ha,Miracema,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",5
100 - 200 ha,Paraiso,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",5
20 - 50 ha,Araguaina,"Roça de toco, Aração e gradagem, Queimadas, Uso de agrotóxicos",5
20 - 50 ha,Araguatins,"Plantio convencional, Uso de agrotóxicos",5
20 - 50 ha,Araguaina,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",5
100 - 200 ha,Paraiso,Plantio convencional,5
10 - 20 ha,Araguaina,"Roça de toco, Aração e gradagem",5
50 - 100 ha,Paraiso,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",5
50 - 100 ha,Paraiso,Não usa,5
Até 1 ha,Paraiso,Plantio convencional,5
5 - 10 ha,Araguaina,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",4
50 - 100 ha,Miracema,"Aração e gradagem, Uso de agrotóxicos",4
1 - 5 ha,Paraiso,"Plantio convencional, Aração e gradagem",4
20 - 50 ha,Araguaina,"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Uso de agrotóxicos",4
20 - 50 ha,Araguatins,"Roça de toco, Aração e gradagem",4
Até 1 ha,Araguatins,"Aração e gradagem, Uso de agrotóxicos",4
20 - 50 ha,Araguaina,"Plantio convencional, Monocultura, Uso de agrotóxicos",4
20 - 50 ha,Taguatinga,"Roça de toco, Pastagem nativa",4
20 - 50 ha,Taguatinga,"Roça de toco, Aração e gradagem",4
50 - 100 ha,Porto,"Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",4
1 - 5 ha,Miracema,Aração e gradagem,4
1 - 5 ha,Taguatinga,Não usa,4
20 - 50 ha,Araguatins,Roça de toco,4
20 - 50 ha,Gurupi,"Plantio convencional, Uso de agrotóxicos",4
20 - 50 ha,Paraiso,"Plantio convencional, Uso de agrotóxicos",4
10 - 20 ha,Miracema,"Aração e gradagem, Uso de agrotóxicos",4
50 - 100 ha,Miracema,Aração e gradagem,4
1 - 5 ha,Miracema,"Aração e gradagem, Pastagem nativa",4
10 - 20 ha,Paraiso,Plantio convencional,4
20 - 50 ha,Araguatins,"Aração e gradagem, Monocultura, Uso de agrotóxicos",3
50 - 100 ha,Araguaina,"Plantio convencional, Aração e gradagem, Pastagem nativa",3
20 - 50 ha,Araguaina,"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas",3
1 - 5 ha,Araguaina,Aração e gradagem,3
20 - 50 ha,Araguaina,"Roça de toco, Plantio convencional, Aração e gradagem",3
20 - 50 ha,Porto,"Aração e gradagem, Pastagem nativa",3
50 - 100 ha,Gurupi,Aração e gradagem,3
20 - 50 ha,Paraiso,"Roça de toco, Aração e gradagem",3
50 - 100 ha,Paraiso,"Plantio convencional, Pastagem nativa",3
Até 1 ha,Paraiso,Não usa,3
50 - 100 ha,Taguatinga,Roça de toco,3
1 - 5 ha,Taguatinga,"Plantio convencional, Aração e gradagem",3
20 - 50 ha,Colinas,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",3
1 - 5 ha,Porto,Aração e gradagem,3
20 - 50 ha,Porto,"Plantio convencional, Aração e gradagem",3
10 - 20 ha,Porto,"Plantio convencional, Aração e gradagem",3
50 - 100 ha,Gurupi,"Plantio convencional, Aração e gradagem, Monocultura, Uso de agrotóxicos",3
20 - 50 ha,Paraiso,Pastagem nativa,3
10 - 20 ha,Porto,Aração e gradagem,3
50 - 100 ha,Gurupi,"Plantio convencional, Aração e gradagem",3
50 - 100 ha,Paraiso,"Plantio convencional, Uso de agrotóxicos",3
10 - 20 ha,Araguaina,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",3
20 - 50 ha,Paraiso,"Plantio convencional, Aração e gradagem, Pastagem nativa",3
1 - 5 ha,Gurupi,Plantio convencional,3
1 - 5 ha,Araguaina,"Aração e gradagem, Uso de agrotóxicos",3
20 - 50 ha,Taguatinga,Plantio convencional,3
20 - 50 ha,Miracema,"Roça de toco, Plantio convencional",3
5 - 10 ha,Porto,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",3
5 - 10 ha,Paraiso,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",3
10 - 20 ha,Araguaina,"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa",3
50 - 100 ha,Paraiso,Pastagem nativa,3
50 - 100 ha,Colinas,"Aração e gradagem, Uso de agrotóxicos",3
20 - 50 ha,Taguatinga,Roça de toco,3
20 - 50 ha,Miracema,"Roça de toco, Aração e gradagem",3
20 - 50 ha,Araguaina,"Plantio convencional, Aração e gradagem, Monocultura, Uso de agrotóxicos",3
20 - 50 ha,Araguatins,Plantio convencional,3
20 - 50 ha,Porto,Roça de toco,3
20 - 50 ha,Porto,Plantio convencional,3
50 - 100 ha,Paraiso,"Aração e gradagem, Uso de agrotóxicos",3
10 - 20 ha,Taguatinga,"Plantio convencional, Aração e gradagem",3
50 - 100 ha,Miracema,Uso de agrotóxicos,3
20 - 50 ha,Porto,"Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",3
1 - 5 ha,Paraiso,"Roça de toco, Plantio convencional",3
20 - 50 ha,Miracema,"Plantio convencional, Aração e gradagem",3
1 - 5 ha,Paraiso,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",3
50 - 100 ha,Colinas,"Plantio convencional, Aração e gradagem, Pastagem nativa",3
5 - 10 ha,Paraiso,Plantio convencional,3
20 - 50 ha,Araguaina,"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Uso de agrotóxicos",3
50 - 100 ha,Taguatinga,Aração e gradagem,3
100 - 200 ha,Paraiso,"Plantio convencional, Aração e gradagem",3
20 - 50 ha,Taguatinga,"Roça de toco, Aração e gradagem, Pastagem nativa",2
20 - 50 ha,Araguaina,Aração e gradagem,2
100 - 200 ha,Colinas,Aração e gradagem,2
50 - 100 ha,Araguatins,"Roça de toco, Aração e gradagem, Queimadas, Uso de agrotóxicos",2
