atividade_produtiva,area_da_propriedade__hectares__,count
Bovinocultura de corte,20 - 50 ha,58
"Bovinocultura de corte, Avicultura",20 - 50 ha,38
Bovinocultura de corte,50 - 100 ha,29
Bovinocultura de Leite,20 - 50 ha,27
"Bovinocultura de corte, Avicultura, Suinocultura",20 - 50 ha,25
"Bovinocultura de corte, Avicultura, Mandiocultura",20 - 50 ha,18
"Bovinocultura de corte, Mandiocultura",20 - 50 ha,16
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura",20 - 50 ha,15
Bovinocultura de corte,100 - 200 ha,14
Bovinocultura de corte,10 - 20 ha,12
"Bovinocultura de Leite, Avicultura",20 - 50 ha,12
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",20 - 50 ha,11
Olericultura,20 - 50 ha,10
Avicultura,10 - 20 ha,9
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura",20 - 50 ha,9
Bovinocultura de Leite,10 - 20 ha,9
Avicultura,20 - 50 ha,9
Mandiocultura,1 - 5 ha,9
"Bovinocultura de corte, Avicultura, Mandiocultura, Culturas Anuais",20 - 50 ha,9
"Bovinocultura de corte, Bovinocultura de Leite",20 - 50 ha,8
"Avicultura, Olericultura",10 - 20 ha,8
Olericultura,1 - 5 ha,8
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura",20 - 50 ha,8
Fruticultura,20 - 50 ha,7
"Avicultura, Suinocultura",20 - 50 ha,7
"Bovinocultura de corte, Avicultura",10 - 20 ha,7
Mandiocultura,10 - 20 ha,7
Olericultura,10 - 20 ha,6
Olericultura,Até 1 ha,6
"Bovinocultura de corte, Avicultura, Suinocultura",50 - 100 ha,6
"Bovinocultura de corte, Avicultura, Mandiocultura",50 - 100 ha,6
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Culturas Anuais",20 - 50 ha,6
Bovinocultura de corte,5 - 10 ha,6
"Bovinocultura de corte, Avicultura",50 - 100 ha,5
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura",10 - 20 ha,5
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Culturas Anuais",20 - 50 ha,5
Pisicultura,Até 1 ha,5
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",50 - 100 ha,5
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura",20 - 50 ha,5
Fruticultura,5 - 10 ha,5
"Avicultura, Olericultura",Até 1 ha,5
"Avicultura, Mandiocultura, Culturas Anuais",1 - 5 ha,5
Bovinocultura de Leite,50 - 100 ha,5
Fruticultura,10 - 20 ha,5
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura",20 - 50 ha,5
"Bovinocultura de corte, Avicultura",100 - 200 ha,5
"Avicultura, Mandiocultura, Fruticultura",10 - 20 ha,4
