atividade_produtiva,municipio_ibge,count
Bovinocultura de corte,Ponte Alta do Bom Jesus,8
Bovinocultura de corte,Guaraí,7
Bovinocultura de corte,Chapada da Natividade,6
"Bovinocultura de corte, Avicultura",Marianópolis do Tocantins,6
"Bovinocultura de corte, Avicultura",Filadélfia,5
Pisicultura,Lajeado,5
Bovinocultura de Leite,Axixá do Tocantins,5
Avicultura,Carmolândia,5
"Bovinocultura de corte, Avicultura",Peixe,5
Bovinocultura de corte,Paranã,5
Bovinocultura de corte,Paranã,4
Bovinocultura de Leite,Xambioá,4
Olericultura,darcinópolis,4
Bovinocultura de corte,Pedro Afonso,4
"Bovinocultura de corte, Avicultura, Suinocultura",Talismã,4
Bovinocultura de corte,Divinópolis do Tocantins,4
Bovinocultura de corte,Chapada da Natividade,4
"Bovinocultura de corte, Avicultura",Nova Rosalândia,4
Bovinocultura de corte,Divinópolis do Tocantins,4
Bovinocultura de Leite,Jaú do Tocantins,4
Avicultura,Palmas,3
Bovinocultura de corte,Talismã,3
"Bovinocultura de corte, Avicultura, Fruticultura",Miranorte,3
"Bovinocultura de corte, Avicultura, Suinocultura",Gurupi,3
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura",Chapada de Areia,3
"Bovinocultura de corte, Avicultura, Mandiocultura",Paranã,3
"Bovinocultura de corte, Avicultura, Suinocultura",Talismã,3
Avicultura,Couto Magalhães,3
Olericultura,Palmeiras do Tocantins,3
Bovinocultura de corte,Alvorada,3
"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",Figueirópolis,3
Mandiocultura,São Miguel do Tocantins,3
"Bovinocultura de corte, Mandiocultura",Chapada da Natividade,3
Bovinocultura de Leite,Araguanã,3
Bovinocultura de corte,Goiatins,3
Bovinocultura de Leite,Guaraí,3
Mandiocultura,Tocantínia,3
Olericultura,Tupirama,3
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",Miranorte,3
"Bovinocultura de corte, Avicultura, Culturas Anuais",Caseara,3
Bovinocultura de corte,Talismã,2
Bovinocultura de corte,Pium,2
"Pisicultura, Mandiocultura",Tocantínia,2
"Avicultura, Suinocultura",Filadélfia,2
"Bovinocultura de corte, Avicultura, Suinocultura",Gurupi,2
"Bovinocultura de corte, Avicultura, Mandiocultura",Chapada da Natividade,2
"Avicultura, Suinocultura, Fruticultura, Extrativismo Vegetal",Monte Santo do Tocantins,2
"Bovinocultura de corte, Mandiocultura",Cariri do Tocantins,2
"Bovinocultura de Leite, Mandiocultura",Axixá do Tocantins,2
"Bovinocultura de Leite, Avicultura, Mandiocultura, Fruticultura, Olericultura",Ananás,2
"Bovinocultura de corte, Avicultura, Suinocultura",Paranã,2
"Bovinocultura de corte, Avicultura, Mandiocultura",Cristalândia,2
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Olericultura, Culturas Anuais",Palmeiras do Tocantins,2
"Bovinocultura de corte, Mandiocultura",São Bento do Tocantins,2
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura",Marianópolis do Tocantins,2
"Bovinocultura de corte, Mandiocultura",Peixe,2
"Bovinocultura de corte, Avicultura",Santa Rita do Tocantins,2
Bovinocultura de corte,Chapada de Areia,2
"Avicultura, Olericultura",Filadélfia,2
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura",Cristalândia,2
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura",Rio dos Bois,2
Fruticultura,dois Irmãos do Tocantins,2
Avicultura,Dianópolis,2
"Avicultura, Olericultura",Chapada de Areia,2
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",Marianópolis do Tocantins,2
"Bovinocultura de corte, Mandiocultura",Chapada da Natividade,2
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Culturas Anuais",Fortaleza do Tabocão,2
"Avicultura, Mandiocultura, Fruticultura, Olericultura",Dianópolis,2
Bovinocultura de corte,Guaraí,2
"Bovinocultura de corte, Avicultura",Talismã,2
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura",Novo Jardim,2
"Bovinocultura de corte, Avicultura, Mandiocultura",Rio Sono,2
Bovinocultura de corte,Novo Jardim,2
"Avicultura, Olericultura",Araguaína,2
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura",Cristalândia,2
Bovinocultura de Leite,Aragominas,2
"Bovinocultura de Leite, Avicultura",Araguaína,2
Olericultura,Miracema do Tocantins,2
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura",Nova Rosalândia,2
Bovinocultura de corte,Paraíso do Tocantins,2
Bovinocultura de Leite,Ananás,2
"Avicultura, Suinocultura",Palmas,2
"Avicultura, Culturas Anuais",Caseara,2
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura",Monte do Carmo,2
"Bovinocultura de corte, Avicultura",Divinópolis do Tocantins,2
"Avicultura, Mandiocultura",Almas,2
Fruticultura,Miracema do Tocantins,2
"Bovinocultura de Leite, Avicultura",Piraquê,2
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Mandiocultura",Araguanã,2
"Mandiocultura, Extrativismo Vegetal",Lagoa da Confusão,2
"Avicultura, Mandiocultura, Fruticultura",Ananás,2
"Bovinocultura de corte, Bovinocultura de Leite",Araguanã,2
"Bovinocultura de Leite, Avicultura",Miranorte,2
