acessa_ou_ja_acessou_politicas_publicas__,municipio_ibge,count
Crédito Rural,Miranorte,13
Não,Tocantínia,13
Compra Direta (PAA),Chapada de Areia,11
Não,Guaraí,10
Não,Almas,8
Não,Pedro Afonso,8
Crédito Rural,Miranorte,8
Crédito Rural,Paranã,7
Não,Barrolândia,7
Não,Filadélfia,7
Crédito Rural,Paranã,7
Não,Piraquê,7
Não,Dianópolis,6
Não,Chapada de Areia,6
Não,Miranorte,6
Não,Nova Olinda,6
"Crédito Rural, Compra Direta (PAA)",Goiatins,5
Não,Carmolândia,5
Não,Marianópolis do Tocantins,5
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",Nova Rosalândia,5
Bolsa Família,Carmolândia,5
Não,Tupirama,5
Não,Miracema do Tocantins,5
Crédito Rural,Pium,5
Não,Guaraí,5
Crédito Rural,Marianópolis do Tocantins,5
Bolsa Família,Ananás,5
Compra Direta (PAA),Araguaína,5
"Compra Direta (PAA), Merenda Escolar (PENAE)",Araguaína,5
"Crédito Rural, Aposentadoria Rural",Araguanã,4
Não,Ananás,4
Não,Wanderlândia,4
"Compra Direta (PAA), Merenda Escolar (PENAE)",Couto Magalhães,4
Crédito Rural,Paraíso do Tocantins,4
Não,Monte Santo do Tocantins,4
Compra Direta (PAA),Chapada da Natividade,4
Aposentadoria Rural,Caseara,4
"Compra Direta (PAA), Merenda Escolar (PENAE)",Miracema do Tocantins,4
Crédito Rural,Paraíso do Tocantins,4
Não,Paranã,4
Compra Direta (PAA),Chapada da Natividade,4
Crédito Rural,Talismã,4
Não,Rio dos Bois,4
Não,Chapada de Areia,4
Crédito Rural,Ponte Alta do Bom Jesus,4
Crédito Rural,Wanderlândia,4
Crédito Rural,Peixe,4
"Merenda Escolar (PENAE), Bolsa Família",Dianópolis,4
Crédito Rural,Gurupi,4
Não,Pium,4
Aposentadoria Rural,Xambioá,4
Não,Paraíso do Tocantins,4
"Crédito Rural, Aposentadoria Rural",Pium,3
Crédito Rural,Lajeado,3
Crédito Rural,darcinópolis,3
Crédito Rural,Chapada de Areia,3
Crédito Rural,Alvorada,3
Não,Marianópolis do Tocantins,3
Crédito Rural,Piraquê,3
Merenda Escolar (PENAE),Araguaína,3
ATER INDÍGENA,Lagoa da Confusão,3
Aposentadoria Rural,Cristalândia,3
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Palmeiras do Tocantins,3
Crédito Rural,Pium,3
Aposentadoria Rural,Palmas,3
Crédito Rural,Xambioá,3
Não,Filadélfia,3
Não,Rio da Conceição,3
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",Nova Rosalândia,3
Não,Ponte Alta do Bom Jesus,3
Não,Nova Rosalândia,3
Fomento,Ananás,3
Aposentadoria Rural,Marianópolis do Tocantins,3
Crédito Rural,Divinópolis do Tocantins,3
Bolsa Família,Miranorte,3
Bolsa Família,Figueirópolis,3
Compra Direta (PAA),Divinópolis do Tocantins,3
Crédito Rural,Guaraí,3
Aposentadoria Rural,Pium,3
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento, Aposentadoria Rural",Bom Jesus do Tocantins,3
Crédito Rural,Dianópolis,3
Compra Direta (PAA),Aurora do Tocantins,3
Compra Direta (PAA),Rio Sono,3
Bolsa Família,Nova Olinda,3
"Crédito Rural, Aposentadoria Rural",Axixá do Tocantins,3
Crédito Rural,Araguanã,3
Crédito Rural,Muricilândia,3
Não,Peixe,3
Crédito Rural,Filadélfia,3
Não,Paraíso do Tocantins,3
Crédito Rural,Lagoa da Confusão,3
Não,Gurupi,3
Aposentadoria Rural,Miranorte,3
"Crédito Rural, Aposentadoria Rural",Rio Sono,3
Bolsa Família,Nova Olinda,3
Crédito Rural,Axixá do Tocantins,3
Crédito Rural,Palmeiras do Tocantins,3
"Crédito Rural, Fomento",Peixe,3
Compra Direta (PAA),Pium,3
Bolsa Família,Xambioá,3
Não,Alvorada,3
Crédito Rural,Bandeirantes do Tocantins,3
"Fomento, Bolsa Família",Nova Olinda,2
"Crédito Rural, Aposentadoria Rural",Axixá do Tocantins,2
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",Pedro Afonso,2
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento, Bolsa Família",Palmeiras do Tocantins,2
"Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",Palmas,2
Crédito Rural,Palmas,2
"Crédito Rural, Compra Direta (PAA)",Fortaleza do Tabocão,2
Crédito Rural,Dianópolis,2
Bolsa Família,Araguaína,2
Aposentadoria Rural,Jaú do Tocantins,2
Aposentadoria Rural,Aragominas,2
"Crédito Rural, Compra Direta (PAA)",Piraquê,2
"Compra Direta (PAA), Merenda Escolar (PENAE)",Palmeiras do Tocantins,2
Compra Direta (PAA),Ananás,2
Não,Abreulândia,2
Crédito Rural,Fortaleza do Tabocão,2
Não,Araguaína,2
"Crédito Rural, Aposentadoria Rural",dois Irmãos do Tocantins,2
Crédito Rural,Goiatins,2
Não,Araguaína,2
Aposentadoria Rural,Ananás,2
Não,Monte Santo do Tocantins,2
Crédito Rural,Cristalândia,2
"Crédito Rural, Bolsa Família",Araguanã,2
"Compra Direta (PAA), Merenda Escolar (PENAE), CONAB",Palmeiras do Tocantins,2
Não,Miranorte,2
"Crédito Rural, Aposentadoria Rural",Divinópolis do Tocantins,2
"Compra Direta (PAA), Aposentadoria Rural",Luzinópolis,2
"Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",Dianópolis,2
Crédito Rural,Esperantina,2
Bolsa Família,Filadélfia,2
Não,Tupirama,2
Não,Gurupi,2
Compra Direta (PAA),Gurupi,2
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Paranã,2
"Crédito Rural, Aposentadoria Rural",Peixe,2
"Crédito Rural, Compra Direta (PAA)",Caseara,2
Não,Chapada da Natividade,2
"Compra Direta (PAA), Merenda Escolar (PENAE)",Nova Rosalândia,2
Aposentadoria Rural,Sítio Novo do Tocantins,2
Crédito Rural,Sítio Novo do Tocantins,2
Crédito Rural,Aliança do Tocantins,2
"Crédito Rural, Compra Direta (PAA), Aposentadoria Rural",Palmas,2
"Crédito Rural, Aposentadoria Rural",Xambioá,2
"Crédito Rural, Aposentadoria Rural",Gurupi,2
Não,Rio Sono,2
Crédito Rural,Caseara,2
Não,Xambioá,2
"Crédito Rural, Aposentadoria Rural",Ponte Alta do Bom Jesus,2
"Compra Direta (PAA), Merenda Escolar (PENAE)",darcinópolis,2
"Crédito Rural, PNCF",Novo Jardim,2
"Crédito Rural, Compra Direta (PAA)",Chapada de Areia,2
Não,Palmeiras do Tocantins,2
Bolsa Família,Pium,2
Não,Rio Sono,2
Crédito Rural,Santa Rita do Tocantins,2
Crédito Rural,Gurupi,2
"Crédito Rural, Bolsa Família",Monte do Carmo,2
Crédito Rural,Dianópolis,2
Fomento,São Miguel do Tocantins,2
Crédito Rural,Marianópolis do Tocantins,2
Não,Paranã,2
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Pugmil,2
Bolsa Família,Xambioá,2
Compra Direta (PAA),Araguaína,2
"Fomento, Bolsa Família",Paranã,2
Merenda Escolar (PENAE),São Miguel do Tocantins,2
Não,Santa Rita do Tocantins,2
"Crédito Rural, Bolsa Família",São Bento do Tocantins,2
Compra Direta (PAA),Palmeiras do Tocantins,2
Crédito Rural,Riachinho,2
Não,Xambioá,2
Bolsa Família,Tocantínia,2
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Miranorte,2
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",Divinópolis do Tocantins,2
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Goiatins,2
Aposentadoria Rural,Esperantina,2
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",São Miguel do Tocantins,2
"Bolsa Família, Aposentadoria Rural",Marianópolis do Tocantins,2
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",Rio dos Bois,2
"Compra Direta (PAA), Fomento, Aposentadoria Rural",Babaçulândia,2
"Compra Direta (PAA), Bolsa Família",Miranorte,2
Aposentadoria Rural,Dianópolis,2
"Crédito Rural, Compra Direta (PAA), Bolsa Família",Rio dos Bois,2
Bolsa Família,Cristalândia,2
Crédito Rural,Monte do Carmo,2
Crédito Rural,Divinópolis do Tocantins,2
Crédito Rural,Santa Fé do Araguaia,2
Compra Direta (PAA),Nova Rosalândia,2
Crédito Rural,Miranorte,2
Crédito Rural,dois Irmãos do Tocantins,2
"Crédito Rural, Compra Direta (PAA)",Aurora do Tocantins,2
Crédito Rural,Axixá do Tocantins,2
"Compra Direta (PAA), Merenda Escolar (PENAE)",Aliança do Tocantins,2
Bolsa Família,Araguatins,2
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Couto Magalhães,2
Crédito Rural,Nova Olinda,2
"Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",Caseara,2
"Crédito Rural, Aposentadoria Rural",Talismã,2
Não,Divinópolis do Tocantins,2
Aposentadoria Rural,Xambioá,2
Não,Cristalândia,2
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",Gurupi,2
Aposentadoria Rural,Piraquê,2
Crédito Rural,Araguaína,2
"Crédito Rural, Compra Direta (PAA), Bolsa Família",Piraquê,2
Não,Miracema do Tocantins,2
Crédito Rural,Palmeiras do Tocantins,2
Bolsa Família,Jaú do Tocantins,2
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",Bom Jesus do Tocantins,2
"Compra Direta (PAA), Bolsa Família",Rio dos Bois,2
Não,Araguaína,2
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",Luzinópolis,2
Não,Angico,2
"Crédito Rural, Bolsa Família",Filadélfia,2
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), CONAB",Palmeiras do Tocantins,2
"Fomento, Bolsa Família",Nova Olinda,2
"Crédito Rural, Aposentadoria Rural",Cristalândia,2
Compra Direta (PAA),Monte do Carmo,1
Bolsa Família,Porto Nacional,1
"Crédito Rural, Bolsa Família",Axixá do Tocantins,1
"Bolsa Família, Aposentadoria Rural",Ananás,1
PRONAF A,Araguaçu,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Riachinho,1
"Crédito Rural, Merenda Escolar (PENAE), Bolsa Família",Xambioá,1
"Crédito Rural, Compra Direta (PAA)",Riachinho,1
"Crédito Rural, Compra Direta (PAA)",Pium,1
"Compra Direta (PAA), Fomento, Bolsa Família",Pugmil,1
Bolsa Família,Abreulândia,1
"Crédito Rural, Bolsa Família",Lajeado,1
"Crédito Rural, Aposentadoria Rural",Ipueiras,1
Não,Miracema do Tocantins,1
