uso_de_praticas_convencionais,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,municipio_ibge,count
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Araguaína,9
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Miranorte,8
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Piraquê,7
Plantio convencional,,Chapada de Areia,7
Aração e gradagem,,Tocantínia,6
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,Palmeiras do Tocantins,6
"Plantio convencional, Aração e gradagem",,Palmeiras do Tocantins,6
Plantio convencional,,Paraíso do Tocantins,6
Plantio convencional,Não possui degradação,Talismã,6
"Roça de toco, Aração e gradagem",,Carmolândia,5
"Aração e gradagem, Uso de agrotóxicos",Degradação Média,Sítio Novo do Tocantins,5
Aração e gradagem,,Tupirama,5
Não usa,,Lajeado,5
Plantio convencional,,São Miguel do Tocantins,5
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,Palmeiras do Tocantins,5
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Palmeiras do Tocantins,5
"Plantio convencional, Uso de agrotóxicos",Degradação Média,Marianópolis do Tocantins,5
"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa",Pouco degradado,Paranã,4
Plantio convencional,Pouco degradado,Paraíso do Tocantins,4
Aração e gradagem,Pouco degradado,Gurupi,4
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Monocultura",Pouco degradado,Araguanã,4
Plantio convencional,Não possui degradação,Alvorada,4
Plantio convencional,Pouco degradado,Chapada de Areia,4
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Miranorte,4
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Miranorte,4
Aração e gradagem,,Pedro Afonso,4
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,darcinópolis,4
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,darcinópolis,4
