uso_de_praticas_convencionais,area_da_propriedade__hectares__,regional_,count
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",20 - 50 ha,Araguatins,26
Aração e gradagem,20 - 50 ha,Paraiso,25
Plantio convencional,20 - 50 ha,Gurupi,24
"Aração e gradagem, Uso de agrotóxicos",20 - 50 ha,Araguaina,22
"Aração e gradagem, Uso de agrotóxicos",20 - 50 ha,Paraiso,17
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",20 - 50 ha,Gurupi,16
Plantio convencional,20 - 50 ha,Paraiso,16
"Aração e gradagem, Uso de agrotóxicos",20 - 50 ha,Miracema,15
"Plantio convencional, Aração e gradagem",20 - 50 ha,Gurupi,14
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",20 - 50 ha,Paraiso,13
"Aração e gradagem, Uso de agrotóxicos",20 - 50 ha,Araguatins,12
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",10 - 20 ha,Araguatins,11
"Plantio convencional, Aração e gradagem",20 - 50 ha,Paraiso,11
Aração e gradagem,10 - 20 ha,Miracema,11
Aração e gradagem,20 - 50 ha,Miracema,11
Aração e gradagem,5 - 10 ha,Miracema,11
Aração e gradagem,20 - 50 ha,Gurupi,10
Plantio convencional,1 - 5 ha,Paraiso,10
Aração e gradagem,20 - 50 ha,Araguatins,10
Não usa,20 - 50 ha,Paraiso,9
"Plantio convencional, Aração e gradagem",50 - 100 ha,Paraiso,8
"Aração e gradagem, Pastagem nativa",20 - 50 ha,Paraiso,8
Plantio convencional,50 - 100 ha,Paraiso,8
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Monocultura",20 - 50 ha,Araguaina,8
"Roça de toco, Plantio convencional, Monocultura",20 - 50 ha,Porto,8
"Plantio convencional, Aração e gradagem",20 - 50 ha,Araguatins,8
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",1 - 5 ha,Araguatins,7
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",20 - 50 ha,Miracema,7
Não usa,Até 1 ha,Porto,7
"Aração e gradagem, Uso de agrotóxicos",50 - 100 ha,Araguaina,6
Uso de agrotóxicos,20 - 50 ha,Miracema,6
"Plantio convencional, Aração e gradagem, Pastagem nativa, Monocultura",50 - 100 ha,Araguaina,6
Aração e gradagem,20 - 50 ha,Taguatinga,6
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",10 - 20 ha,Paraiso,6
"Queimadas, Uso de agrotóxicos",20 - 50 ha,Araguaina,6
Aração e gradagem,20 - 50 ha,Porto,6
Aração e gradagem,50 - 100 ha,Paraiso,6
"Aração e gradagem, Uso de agrotóxicos",10 - 20 ha,Colinas,5
Não usa,20 - 50 ha,Gurupi,5
"Plantio convencional, Uso de agrotóxicos",10 - 20 ha,Araguatins,5
Aração e gradagem,10 - 20 ha,Paraiso,5
"Plantio convencional, Aração e gradagem",10 - 20 ha,Gurupi,5
Plantio convencional,20 - 50 ha,Miracema,5
"Plantio convencional, Aração e gradagem",10 - 20 ha,Paraiso,5
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",50 - 100 ha,Miracema,5
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",100 - 200 ha,Paraiso,5
"Roça de toco, Aração e gradagem, Queimadas, Uso de agrotóxicos",20 - 50 ha,Araguaina,5
"Plantio convencional, Uso de agrotóxicos",20 - 50 ha,Araguatins,5
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",20 - 50 ha,Araguaina,5
Plantio convencional,100 - 200 ha,Paraiso,5
"Roça de toco, Aração e gradagem",10 - 20 ha,Araguaina,5
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",50 - 100 ha,Paraiso,5
Não usa,50 - 100 ha,Paraiso,5
Plantio convencional,Até 1 ha,Paraiso,5
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",5 - 10 ha,Araguaina,4
"Aração e gradagem, Uso de agrotóxicos",50 - 100 ha,Miracema,4
"Plantio convencional, Aração e gradagem",1 - 5 ha,Paraiso,4
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Uso de agrotóxicos",20 - 50 ha,Araguaina,4
"Roça de toco, Aração e gradagem",20 - 50 ha,Araguatins,4
