uso_de_praticas_sustentaveis_,area_da_propriedade__hectares__,regional_,count
Aceiros,20 - 50 ha,Araguaina,26
Aceiros,20 - 50 ha,Gurupi,24
Aceiros,20 - 50 ha,Paraiso,21
Não Usa,20 - 50 ha,Paraiso,17
"Aceiros, Calagem, Adubação",20 - 50 ha,Araguaina,15
"Aceiros, Calagem, Adubação",20 - 50 ha,Paraiso,14
Aceiros,10 - 20 ha,Araguaina,14
"Aceiros, Adubação",20 - 50 ha,Paraiso,13
"Aceiros, Recuperação de pastagens",20 - 50 ha,Araguaina,12
Aceiros,50 - 100 ha,Paraiso,12
Aceiros,20 - 50 ha,Porto,12
Não Usa,50 - 100 ha,Paraiso,12
"Aceiros, Adubação",20 - 50 ha,Gurupi,12
"Aceiros, Calagem, Adubação",20 - 50 ha,Miracema,11
Não Usa,20 - 50 ha,Gurupi,10
"Aceiros, Adubação",20 - 50 ha,Miracema,10
Aceiros,20 - 50 ha,Miracema,9
Aceiros,10 - 20 ha,Paraiso,8
"Aceiros, Calagem, Adubação",20 - 50 ha,Porto,8
"Rotação de Cultura, Aceiros",20 - 50 ha,Araguaina,8
"Aceiros, Descarte correto de embalagens",20 - 50 ha,Araguatins,8
Aceiros,5 - 10 ha,Miracema,7
"Aceiros, Adubação",50 - 100 ha,Paraiso,7
"Aceiros, Calagem",20 - 50 ha,Gurupi,7
Aceiros,10 - 20 ha,Miracema,6
Aceiros,100 - 200 ha,Paraiso,6
"Aceiros, Recuperação de pastagens",20 - 50 ha,Araguatins,6
Aceiros,20 - 50 ha,Taguatinga,6
Não Usa,Até 1 ha,Porto,6
"Aceiros, Descarte correto de embalagens, Adubação",20 - 50 ha,Araguatins,6
"Aceiros, Calagem, Adubação",20 - 50 ha,Gurupi,5
Aceiros,50 - 100 ha,Taguatinga,5
Aceiros,10 - 20 ha,Araguatins,5
"Aceiros, Calagem, Adubação",50 - 100 ha,Colinas,5
"Aceiros, Calagem, Adubação",50 - 100 ha,Araguaina,5
Aceiros,50 - 100 ha,Araguaina,5
Aceiros,20 - 50 ha,Araguatins,5
"Aceiros, Adubação",20 - 50 ha,Araguatins,5
"Aceiros, Calagem",50 - 100 ha,Gurupi,5
Rotação de Cultura,20 - 50 ha,Taguatinga,4
"Aceiros, Consórcio",20 - 50 ha,Araguatins,4
Adubação verde,1 - 5 ha,Paraiso,4
"Aceiros, Calagem",20 - 50 ha,Paraiso,4
"Aceiros, Calagem, Adubação",50 - 100 ha,Miracema,4
"Aceiros, Calagem, Adubação",5 - 10 ha,Miracema,4
"Aceiros, Calagem, Recuperação de pastagens, Adubação",20 - 50 ha,Paraiso,4
"Aceiros, Calagem, Adubação",100 - 200 ha,Paraiso,4
