uso_de_praticas_sustentaveis_,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,municipio_ibge,count
Não Usa,Degradação Média,Marianópolis do Tocantins,10
"Aceiros, Adubação",,Palmeiras do Tocantins,8
"Aceiros, Calagem, Adubação",Não possui degradação,Miranorte,8
"Aceiros, Adubação",Não possui degradação,Miranorte,7
"Aceiros, Adubação",Não possui degradação,Miranorte,6
"Aceiros, Calagem, Adubação",Não possui degradação,Guaraí,6
"Aceiros, Consórcio",Pouco degradado,Ananás,6
Aceiros,,Xambioá,5
Não Usa,,Lajeado,5
"Aceiros, Recuperação de pastagens",Pouco degradado,Araguaína,5
Rotação de Cultura,Não possui degradação,Paranã,5
Aceiros,Não possui degradação,Talismã,5
"Aceiros, Descarte correto de embalagens",Degradação Média,Sítio Novo do Tocantins,4
"Rotação de Cultura, Aceiros, Consórcio, Recuperação de pastagens, Plantio direto",Pouco degradado,Paranã,4
"Aceiros, Recuperação de pastagens",Pouco degradado,Piraquê,4
Aceiros,Não possui degradação,Alvorada,4
Aceiros,Degradação Média,Chapada de Areia,4
Consórcio,,Tocantínia,4
Adubação,Degradação Média,Marianópolis do Tocantins,4
Aceiros,Não possui degradação,Talismã,4
"Aceiros, Descarte correto de embalagens, Adubação",Pouco degradado,Palmeiras do Tocantins,4
Aceiros,,Tupirama,4
Aceiros,Pouco degradado,Axixá do Tocantins,4
"Aceiros, Calagem",Pouco degradado,Gurupi,4
Aceiros,Pouco degradado,Ponte Alta do Bom Jesus,4
Aceiros,Pouco degradado,Araguanã,4
"Aceiros, Adubação",Pouco degradado,Pium,3
"Adubação verde, Plantio direto",Não possui degradação,Chapada de Areia,3
"Aceiros, Calagem, Adubação",Pouco degradado,Araguaína,3
Aceiros,Pouco degradado,Monte do Carmo,3
Adubação verde,,Paraíso do Tocantins,3
"Aceiros, Calagem",Degradação Média,Porto Alegre do Tocantins,3
"Aceiros, Plantio direto, Adubação",,Carmolândia,3
"Rotação de Cultura, Aceiros, Adubação",Não possui degradação,Miranorte,3
"Plantio direto, Adubação",Degradação Média,Xambioá,3
Não Usa,,Caseara,3
"Adubação verde, Plantio direto",Não possui degradação,Monte Santo do Tocantins,3
Não Usa,Não possui degradação,Talismã,3
Aceiros,Pouco degradado,Pedro Afonso,3
"Calagem, Recuperação de pastagens, Adubação",Pouco degradado,Figueirópolis,3
