usa_agrotoxicos_,area_da_propriedade__hectares__,regional_,count
Sim,20 - 50 ha,Araguaina,95
Sim,20 - 50 ha,Araguatins,72
Não,20 - 50 ha,Paraiso,70
Sim,20 - 50 ha,Paraiso,65
Não,20 - 50 ha,Gurupi,53
Sim,20 - 50 ha,Miracema,50
Sim,20 - 50 ha,Gurupi,36
Não,20 - 50 ha,Taguatinga,35
Não,20 - 50 ha,Porto,34
Sim,50 - 100 ha,Paraiso,28
Não,50 - 100 ha,Paraiso,28
Sim,10 - 20 ha,Araguatins,28
Sim,50 - 100 ha,Araguaina,25
Sim,100 - 200 ha,Paraiso,21
Não,50 - 100 ha,Taguatinga,21
Não,20 - 50 ha,Araguaina,21
Sim,50 - 100 ha,Miracema,21
Não,10 - 20 ha,Araguaina,20
Não,20 - 50 ha,Araguatins,19
Não,10 - 20 ha,Paraiso,19
Sim,1 - 5 ha,Araguatins,19
Não,10 - 20 ha,Miracema,19
Sim,10 - 20 ha,Araguaina,17
Não,10 - 20 ha,Taguatinga,17
Sim,10 - 20 ha,Paraiso,16
Não,20 - 50 ha,Miracema,16
Não,50 - 100 ha,Araguaina,15
Sim,Até 1 ha,Araguatins,14
Não,1 - 5 ha,Araguaina,13
Não,1 - 5 ha,Paraiso,13
Não,5 - 10 ha,Miracema,12
Sim,1 - 5 ha,Paraiso,12
Sim,5 - 10 ha,Araguaina,12
Sim,10 - 20 ha,Miracema,12
Não,1 - 5 ha,Taguatinga,11
Sim,20 - 50 ha,Colinas,11
Não,1 - 5 ha,Miracema,11
Sim,5 - 10 ha,Miracema,10
Não,100 - 200 ha,Taguatinga,10
Sim,5 - 10 ha,Araguatins,10
Não,10 - 20 ha,Gurupi,10
Não,50 - 100 ha,Gurupi,10
Não,10 - 20 ha,Porto,10
Sim,20 - 50 ha,Porto,10
Sim,20 - 50 ha,Taguatinga,10
Não,Até 1 ha,Paraiso,9
Não,100 - 200 ha,Paraiso,9
Sim,5 - 10 ha,Paraiso,8
Sim,10 - 20 ha,Colinas,8
Não,1 - 5 ha,Porto,8
Sim,50 - 100 ha,Araguatins,8
Sim,1 - 5 ha,Araguaina,8
Não,Até 1 ha,Porto,7
Não,5 - 10 ha,Taguatinga,7
Sim,1 - 5 ha,Taguatinga,7
Sim,1 - 5 ha,Miracema,7
Sim,10 - 20 ha,Taguatinga,6
Sim,50 - 100 ha,Gurupi,6
Sim,10 - 20 ha,Gurupi,6
Sim,50 - 100 ha,Colinas,6
Não,5 - 10 ha,Paraiso,6
Sim,50 - 100 ha,Porto,6
Não,50 - 100 ha,Porto,5
Sim,5 - 10 ha,Colinas,5
Sim,5 - 10 ha,Taguatinga,5
Não,200 - 320 ha,Paraiso,5
Não,Até 1 ha,Araguatins,4
Sim,100 - 200 ha,Gurupi,4
Não,100 - 200 ha,Miracema,4
Sim,100 - 200 ha,Miracema,4
Não,1 - 5 ha,Gurupi,4
Sim,200 - 320 ha,Taguatinga,4
Não,50 - 100 ha,Colinas,4
Sim,50 - 100 ha,Taguatinga,4
Não,5 - 10 ha,Araguatins,4
Sim,1 - 5 ha,Colinas,4
Não,50 - 100 ha,Miracema,4
Sim,10 - 20 ha,Porto,3
Não,5 - 10 ha,Gurupi,3
Sim,100 - 200 ha,Araguaina,3
Sim,5 - 10 ha,Porto,3
Não,Até 1 ha,Taguatinga,3
Sim,100 - 200 ha,Taguatinga,3
Sim,1 - 5 ha,Porto,3
Sim,200 - 320 ha,Araguaina,3
Não,5 - 10 ha,Porto,2
Sim,100 - 200 ha,Colinas,2
Não,1 - 5 ha,Araguatins,2
Sim,Até 1 ha,Araguaina,2
Sim,Acima de 320 ha,Colinas,2
Sim,100 - 200 ha,Araguatins,2
Não,200 - 320 ha,Taguatinga,2
Não,Até 1 ha,Araguaina,2
Não,Acima de 320 ha,Paraiso,1
Sim,Até 1 ha,Paraiso,1
Não,100 - 200 ha,Araguaina,1
Não,200 - 320 ha,Gurupi,1
Sim,5 - 10 ha,Gurupi,1
Não,10 - 20 ha,Araguatins,1
Sim,200 - 320 ha,Gurupi,1
Não,Até 1 ha,Miracema,1
Não,200 - 320 ha,Miracema,1
Não,100 - 200 ha,Araguatins,1
Não,5 - 10 ha,Araguaina,1
Não,20 - 50 ha,Colinas,1
Não,10 - 20 ha,Colinas,1
Sim,Acima de 320 ha,Araguatins,1
Sim,100 - 200 ha,Porto,1
Sim,200 - 320 ha,Paraiso,1
Não,50 - 100 ha,Araguatins,1
Não,100 - 200 ha,Gurupi,1
Sim,Até 1 ha,Gurupi,1
Não,100 - 200 ha,Porto,1
