,codigo_final,municipio_ibge,regional,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens,degradacao_ord
0,1713205.0,Miracema do Tocantins,Miracema,pouco degradado,1.0
1,1715002.0,Nova Rosalândia,Paraiso,degradacao media,2.0
2,1707009.0,Dianópolis,Taguatinga,nao possui degradacao,0.0
3,1707009.0,Dianópolis,Taguatinga,pouco degradado,1.0
4,1714880.0,Nova Olinda,Araguaina,nao possui degradacao,0.0
5,1707207.0,dois Irmãos do Tocantins,Miracema,nan,
6,1713205.0,Miracema do Tocantins,Miracema,nan,
7,1716109.0,Paraíso do Tocantins,Paraiso,nan,
8,1720101.0,São Bento do Tocantins,Araguatins,nan,
9,1702000.0,Araguaçu,Gurupi,nan,
10,1706506.0,darcinópolis,Araguatins,nan,
11,1706001.0,Couto Magalhães,Colinas,nan,
12,1721000.0,Palmas,Porto,nan,
13,1707702.0,Filadélfia,Araguaina,nan,
14,1722107.0,Xambioá,Araguaina,nan,
15,1704600.0,Chapada de Areia,Paraiso,nan,
16,1707009.0,Dianópolis,Taguatinga,nan,
17,1707207.0,dois Irmãos do Tocantins,Paraiso,nan,
18,1720978.0,Talismã,Gurupi,nan,
19,1707009.0,Dianópolis,Paraiso,nan,
20,1721109.0,Tocantínia,Miracema,nan,
21,1713205.0,Miracema do Tocantins,Miracema,pouco degradado,1.0
22,1706001.0,Couto Magalhães,Colinas,nan,
23,1703883.0,Carmolândia,Araguaina,nan,
24,1718758.0,Rio Sono,Miracema,nan,
25,1703883.0,Carmolândia,Araguaina,nan,
26,1703909.0,Caseara,Paraiso,nao possui degradacao,0.0
27,1716109.0,Paraíso do Tocantins,Paraiso,nan,
28,1707009.0,Dianópolis,Taguatinga,nan,
29,1707009.0,Dianópolis,Paraiso,nan,
30,1703883.0,Carmolândia,Araguaina,nan,
31,1721000.0,Palmas,Porto,nan,
32,1706001.0,Couto Magalhães,Colinas,nan,
33,1703883.0,Carmolândia,Araguaina,nan,
34,1703883.0,Carmolândia,Araguaina,nan,
35,1718204.0,Porto Nacional,Porto,nan,
36,1703008.0,Babaçulândia,Araguaina,nan,
37,1718451.0,Pugmil,Paraiso,nan,
38,1703909.0,Caseara,Paraiso,nan,
39,1703909.0,Caseara,Paraiso,nan,
40,1701309.0,Aragominas,Araguaina,nan,
41,1713601.0,Monte do Carmo,Porto,nan,
42,1702703.0,Aurora do Tocantins,Taguatinga,pouco degradado,1.0
43,1702208.0,Araguatins,Araguatins,nan,
44,1712454.0,Luzinópolis,Araguatins,nan,
45,1700400.0,Almas,Taguatinga,nan,
46,1700400.0,Almas,Taguatinga,nan,
47,1716604.0,Peixe,Gurupi,nan,
48,1701002.0,Ananás,Araguatins,nan,
49,1715754.0,Palmeirópolis,Gurupi,nan,
50,1721109.0,Tocantínia,Miracema,nan,
51,1721000.0,Palmas,Porto,nan,
52,1701002.0,Ananás,Araguatins,nan,
53,1721000.0,Palmas,Porto,nan,
54,1720804.0,Sítio Novo do Tocantins,Araguatins,nan,
55,1701051.0,Angico,Araguatins,nan,
56,1715101.0,Novo Acordo,Porto,nan,
57,1722081.0,Wanderlândia,Araguaina,nan,
58,1700400.0,Almas,Taguatinga,nan,
59,1707652.0,Figueirópolis,Gurupi,nan,
60,1703008.0,Babaçulândia,Araguaina,nan,
61,1712504.0,Marianópolis do Tocantins,Paraiso,nan,
62,1720804.0,Sítio Novo do Tocantins,Araguatins,nan,
63,1703008.0,Babaçulândia,Araguaina,nan,
64,1717503.0,Pium,Paraiso,nan,
65,1704600.0,Chapada de Areia,Paraiso,nan,
66,1704600.0,Chapada de Areia,Paraiso,nan,
67,1701051.0,Angico,Araguatins,nan,
68,1716109.0,Paraíso do Tocantins,Paraiso,nan,
69,1703883.0,Carmolândia,Araguaina,nan,
70,1700400.0,Almas,Taguatinga,nan,
71,1707405.0,Esperantina,Araguatins,nan,
72,1717206.0,Piraquê,Araguaina,nao possui degradacao,0.0
73,1713809.0,Palmeiras do Tocantins,Araguatins,nan,
74,1722081.0,Wanderlândia,Araguaina,nan,
75,1721000.0,Palmas,Porto,nan,
76,1713205.0,Miracema do Tocantins,Miracema,nan,
77,1713809.0,Palmeiras do Tocantins,Araguatins,nan,
78,1722107.0,Xambioá,Araguaina,nan,
79,1716604.0,Peixe,Gurupi,nan,
80,1718659.0,Rio da Conceição,Taguatinga,nan,
81,1702109.0,Araguaína,Araguaina,nan,
82,1707702.0,Filadélfia,Araguaina,nan,
83,1707702.0,Filadélfia,Araguaina,nan,
84,1704600.0,Chapada de Areia,Paraiso,nan,
85,1718659.0,Rio da Conceição,Taguatinga,pouco degradado,1.0
86,1720200.0,São Miguel do Tocantins,Araguatins,nan,
87,1713809.0,Palmeiras do Tocantins,Araguatins,nan,
