,codigo_final,municipio_ibge,regional,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens
0,1713205.0,Miracema do Tocantins,Miracema,Pouco degradado
1,1715002.0,Nova Rosalândia,Paraiso,Degradação Média
2,1707009.0,Dianópolis,Taguatinga,Não possui degradação
3,1707009.0,Dianópolis,Taguatinga,Pouco degradado
4,1714880.0,Nova Olinda,Araguaina,Não possui degradação
5,1707207.0,dois Irmãos do Tocantins,Miracema,
6,1713205.0,Miracema do Tocantins,Miracema,
7,1716109.0,Paraíso do Tocantins,Paraiso,
8,1720101.0,São Bento do Tocantins,Araguatins,
9,1702000.0,Araguaçu,Gurupi,
10,1706506.0,darcinópolis,Araguatins,
11,1706001.0,Couto Magalhães,Colinas,
12,1721000.0,Palmas,Porto,
13,1707702.0,Filadélfia,Araguaina,
14,1722107.0,Xambioá,Araguaina,
15,1704600.0,Chapada de Areia,Paraiso,
16,1707009.0,Dianópolis,Taguatinga,
17,1707207.0,dois Irmãos do Tocantins,Paraiso,
18,1720978.0,Talismã,Gurupi,
19,1707009.0,Dianópolis,Paraiso,
20,1721109.0,Tocantínia,Miracema,
21,1713205.0,Miracema do Tocantins,Miracema,Pouco degradado
22,1706001.0,Couto Magalhães,Colinas,
23,1703883.0,Carmolândia,Araguaina,
24,1718758.0,Rio Sono,Miracema,
25,1703883.0,Carmolândia,Araguaina,
26,1703909.0,Caseara,Paraiso,Não possui degradação
27,1716109.0,Paraíso do Tocantins,Paraiso,
28,1707009.0,Dianópolis,Taguatinga,
29,1707009.0,Dianópolis,Paraiso,
30,1703883.0,Carmolândia,Araguaina,
31,1721000.0,Palmas,Porto,
32,1706001.0,Couto Magalhães,Colinas,
33,1703883.0,Carmolândia,Araguaina,
34,1703883.0,Carmolândia,Araguaina,
35,1718204.0,Porto Nacional,Porto,
36,1703008.0,Babaçulândia,Araguaina,
37,1718451.0,Pugmil,Paraiso,
38,1703909.0,Caseara,Paraiso,
39,1703909.0,Caseara,Paraiso,
40,1701309.0,Aragominas,Araguaina,
41,1713601.0,Monte do Carmo,Porto,
42,1702703.0,Aurora do Tocantins,Taguatinga,Pouco degradado
43,1702208.0,Araguatins,Araguatins,
44,1712454.0,Luzinópolis,Araguatins,
45,1700400.0,Almas,Taguatinga,
46,1700400.0,Almas,Taguatinga,
47,1716604.0,Peixe,Gurupi,
48,1701002.0,Ananás,Araguatins,
49,1715754.0,Palmeirópolis,Gurupi,
50,1721109.0,Tocantínia,Miracema,
51,1721000.0,Palmas,Porto,
52,1701002.0,Ananás,Araguatins,
53,1721000.0,Palmas,Porto,
54,1720804.0,Sítio Novo do Tocantins,Araguatins,
55,1701051.0,Angico,Araguatins,
56,1715101.0,Novo Acordo,Porto,
57,1722081.0,Wanderlândia,Araguaina,
58,1700400.0,Almas,Taguatinga,
59,1707652.0,Figueirópolis,Gurupi,
60,1703008.0,Babaçulândia,Araguaina,
61,1712504.0,Marianópolis do Tocantins,Paraiso,
62,1720804.0,Sítio Novo do Tocantins,Araguatins,
63,1703008.0,Babaçulândia,Araguaina,
64,1717503.0,Pium,Paraiso,
65,1704600.0,Chapada de Areia,Paraiso,
66,1704600.0,Chapada de Areia,Paraiso,
67,1701051.0,Angico,Araguatins,
68,1716109.0,Paraíso do Tocantins,Paraiso,
69,1703883.0,Carmolândia,Araguaina,
70,1700400.0,Almas,Taguatinga,
71,1707405.0,Esperantina,Araguatins,
72,1717206.0,Piraquê,Araguaina,Não possui degradação
73,1713809.0,Palmeiras do Tocantins,Araguatins,
74,1722081.0,Wanderlândia,Araguaina,
75,1721000.0,Palmas,Porto,
76,1713205.0,Miracema do Tocantins,Miracema,
77,1713809.0,Palmeiras do Tocantins,Araguatins,
78,1722107.0,Xambioá,Araguaina,
79,1716604.0,Peixe,Gurupi,
80,1718659.0,Rio da Conceição,Taguatinga,
81,1702109.0,Araguaína,Araguaina,
82,1707702.0,Filadélfia,Araguaina,
83,1707702.0,Filadélfia,Araguaina,
84,1704600.0,Chapada de Areia,Paraiso,
85,1718659.0,Rio da Conceição,Taguatinga,Pouco degradado
86,1720200.0,São Miguel do Tocantins,Araguatins,
87,1713809.0,Palmeiras do Tocantins,Araguatins,
88,1722107.0,Xambioá,Araguaina,
89,1707702.0,Filadélfia,Araguaina,
90,1707009.0,Dianópolis,Taguatinga,
91,1700301.0,Aguiarnópolis,Araguatins,
92,1721109.0,Tocantínia,Miracema,
93,1704600.0,Chapada de Areia,Paraiso,
94,1718709.0,Rio dos Bois,Miracema,
95,1702109.0,Araguaína,Araguaina,
96,1713809.0,Palmeiras do Tocantins,Araguatins,
97,1713809.0,Palmeiras do Tocantins,Araguatins,
98,1708254.0,Fortaleza do Tabocão,Miracema,
99,1713809.0,Palmeiras do Tocantins,Araguatins,
100,1702109.0,Araguaína,Araguaina,
