atividade_produtiva,area_da_propriedade__hectares__,count
Bovinocultura de corte,20 - 50 ha,58
Bovinocultura de corte,20 - 50 ha,38
Avicultura,20 - 50 ha,38
Bovinocultura de corte,50 - 100 ha,29
Bovinocultura de leite,20 - 50 ha,27
Bovinocultura de corte,20 - 50 ha,25
Avicultura,20 - 50 ha,25
Suinocultura,20 - 50 ha,25
Bovinocultura de corte,20 - 50 ha,18
Avicultura,20 - 50 ha,18
Mandiocultura,20 - 50 ha,18
Bovinocultura de corte,20 - 50 ha,16
Mandiocultura,20 - 50 ha,16
Bovinocultura de corte,20 - 50 ha,15
Avicultura,20 - 50 ha,15
Suinocultura,20 - 50 ha,15
Mandiocultura,20 - 50 ha,15
Bovinocultura de corte,100 - 200 ha,14
Bovinocultura de corte,10 - 20 ha,12
Bovinocultura de leite,20 - 50 ha,12
Avicultura,20 - 50 ha,12
Bovinocultura mista (touro - com características de corte,20 - 50 ha,11
Vaca - cruzada,20 - 50 ha,11
Principais produtos comercializados - bezerros,20 - 50 ha,11
Leite) -,20 - 50 ha,11
Olericultura,20 - 50 ha,10
Avicultura,10 - 20 ha,9
Bovinocultura mista (touro - com características de corte,20 - 50 ha,9
Vaca - cruzada,20 - 50 ha,9
Principais produtos comercializados - bezerros,20 - 50 ha,9
Leite) -,20 - 50 ha,9
Avicultura,20 - 50 ha,9
Bovinocultura de leite,10 - 20 ha,9
Avicultura,20 - 50 ha,9
Mandiocultura,1 - 5 ha,9
Bovinocultura de corte,20 - 50 ha,9
Avicultura,20 - 50 ha,9
Mandiocultura,20 - 50 ha,9
Culturas anuais,20 - 50 ha,9
Bovinocultura de corte,20 - 50 ha,8
Bovinocultura de leite,20 - 50 ha,8
Avicultura,10 - 20 ha,8
Olericultura,10 - 20 ha,8
Olericultura,1 - 5 ha,8
Bovinocultura mista (touro - com características de corte,20 - 50 ha,8
Vaca - cruzada,20 - 50 ha,8
Principais produtos comercializados - bezerros,20 - 50 ha,8
Leite) -,20 - 50 ha,8
Avicultura,20 - 50 ha,8
Suinocultura,20 - 50 ha,8
Fruticultura,20 - 50 ha,7
Avicultura,20 - 50 ha,7
Suinocultura,20 - 50 ha,7
Bovinocultura de corte,10 - 20 ha,7
Avicultura,10 - 20 ha,7
Mandiocultura,10 - 20 ha,7
Olericultura,10 - 20 ha,6
Olericultura,Até 1 ha,6
Bovinocultura de corte,50 - 100 ha,6
Avicultura,50 - 100 ha,6
Suinocultura,50 - 100 ha,6
Bovinocultura de corte,50 - 100 ha,6
Avicultura,50 - 100 ha,6
Mandiocultura,50 - 100 ha,6
Bovinocultura de corte,20 - 50 ha,6
Avicultura,20 - 50 ha,6
Suinocultura,20 - 50 ha,6
Mandiocultura,20 - 50 ha,6
Culturas anuais,20 - 50 ha,6
Bovinocultura de corte,5 - 10 ha,6
Bovinocultura de corte,50 - 100 ha,5
Avicultura,50 - 100 ha,5
Bovinocultura de corte,10 - 20 ha,5
Avicultura,10 - 20 ha,5
Suinocultura,10 - 20 ha,5
Mandiocultura,10 - 20 ha,5
Bovinocultura mista (touro - com características de corte,20 - 50 ha,5
Vaca - cruzada,20 - 50 ha,5
Principais produtos comercializados - bezerros,20 - 50 ha,5
Leite) -,20 - 50 ha,5
Avicultura,20 - 50 ha,5
Suinocultura,20 - 50 ha,5
Mandiocultura,20 - 50 ha,5
Culturas anuais,20 - 50 ha,5
Pisicultura,Até 1 ha,5
Bovinocultura mista (touro - com características de corte,50 - 100 ha,5
Vaca - cruzada,50 - 100 ha,5
Principais produtos comercializados - bezerros,50 - 100 ha,5
Leite) -,50 - 100 ha,5
Bovinocultura de corte,20 - 50 ha,5
Avicultura,20 - 50 ha,5
Suinocultura,20 - 50 ha,5
Mandiocultura,20 - 50 ha,5
Fruticultura,20 - 50 ha,5
Fruticultura,5 - 10 ha,5
Avicultura,Até 1 ha,5
Olericultura,Até 1 ha,5
Avicultura,1 - 5 ha,5
Mandiocultura,1 - 5 ha,5
Culturas anuais,1 - 5 ha,5
Bovinocultura de leite,50 - 100 ha,5
Fruticultura,10 - 20 ha,5
Bovinocultura de corte,20 - 50 ha,5
Bovinocultura de leite,20 - 50 ha,5
Avicultura,20 - 50 ha,5
Bovinocultura de corte,100 - 200 ha,5
Avicultura,100 - 200 ha,5
Avicultura,10 - 20 ha,4
Mandiocultura,10 - 20 ha,4
Fruticultura,10 - 20 ha,4
Bovinocultura mista (touro - com características de corte,100 - 200 ha,4
Vaca - cruzada,100 - 200 ha,4
Principais produtos comercializados - bezerros,100 - 200 ha,4
Leite) -,100 - 200 ha,4
Avicultura,100 - 200 ha,4
