atividade_produtiva,municipio_ibge,count
Bovinocultura de corte,Ponte Alta do Bom Jesus,8
Bovinocultura de corte,Guaraí,7
Bovinocultura de corte,Chapada da Natividade,6
Bovinocultura de corte,Marianópolis do Tocantins,6
Avicultura,Marianópolis do Tocantins,6
Bovinocultura de corte,Filadélfia,5
Avicultura,Filadélfia,5
Pisicultura,Lajeado,5
Bovinocultura de leite,Axixá do Tocantins,5
Avicultura,Carmolândia,5
Bovinocultura de corte,Peixe,5
Avicultura,Peixe,5
Bovinocultura de corte,Paranã,5
Bovinocultura de corte,Paranã,4
Bovinocultura de leite,Xambioá,4
Olericultura,darcinópolis,4
Bovinocultura de corte,Pedro Afonso,4
Bovinocultura de corte,Talismã,4
Avicultura,Talismã,4
Suinocultura,Talismã,4
Bovinocultura de corte,Divinópolis do Tocantins,4
Bovinocultura de corte,Chapada da Natividade,4
Bovinocultura de corte,Nova Rosalândia,4
Avicultura,Nova Rosalândia,4
Bovinocultura de corte,Divinópolis do Tocantins,4
Bovinocultura de leite,Jaú do Tocantins,4
Avicultura,Palmas,3
Bovinocultura de corte,Talismã,3
Bovinocultura de corte,Miranorte,3
Avicultura,Miranorte,3
Fruticultura,Miranorte,3
Bovinocultura de corte,Gurupi,3
Avicultura,Gurupi,3
Suinocultura,Gurupi,3
Bovinocultura mista (touro - com características de corte,Chapada de Areia,3
Vaca - cruzada,Chapada de Areia,3
Principais produtos comercializados - bezerros,Chapada de Areia,3
Leite) -,Chapada de Areia,3
Avicultura,Chapada de Areia,3
Suinocultura,Chapada de Areia,3
Mandiocultura,Chapada de Areia,3
Bovinocultura de corte,Paranã,3
Avicultura,Paranã,3
Mandiocultura,Paranã,3
Bovinocultura de corte,Talismã,3
Avicultura,Talismã,3
Suinocultura,Talismã,3
Avicultura,Couto Magalhães,3
Olericultura,Palmeiras do Tocantins,3
Bovinocultura de corte,Alvorada,3
Bovinocultura de corte,Figueirópolis,3
Bovinocultura mista (touro - com características de corte,Figueirópolis,3
Vaca - cruzada,Figueirópolis,3
Principais produtos comercializados - bezerros,Figueirópolis,3
Leite) -,Figueirópolis,3
Mandiocultura,São Miguel do Tocantins,3
Bovinocultura de corte,Chapada da Natividade,3
Mandiocultura,Chapada da Natividade,3
Bovinocultura de leite,Araguanã,3
Bovinocultura de corte,Goiatins,3
Bovinocultura de leite,Guaraí,3
Mandiocultura,Tocantínia,3
Olericultura,Tupirama,3
Bovinocultura mista (touro - com características de corte,Miranorte,3
Vaca - cruzada,Miranorte,3
Principais produtos comercializados - bezerros,Miranorte,3
Leite) -,Miranorte,3
Bovinocultura de corte,Caseara,3
Avicultura,Caseara,3
Culturas anuais,Caseara,3
Bovinocultura de corte,Talismã,2
Bovinocultura de corte,Pium,2
Pisicultura,Tocantínia,2
Mandiocultura,Tocantínia,2
Avicultura,Filadélfia,2
Suinocultura,Filadélfia,2
Bovinocultura de corte,Gurupi,2
Avicultura,Gurupi,2
Suinocultura,Gurupi,2
Bovinocultura de corte,Chapada da Natividade,2
Avicultura,Chapada da Natividade,2
Mandiocultura,Chapada da Natividade,2
Avicultura,Monte Santo do Tocantins,2
Suinocultura,Monte Santo do Tocantins,2
Fruticultura,Monte Santo do Tocantins,2
Extrativismo vegetal,Monte Santo do Tocantins,2
Bovinocultura de corte,Cariri do Tocantins,2
Mandiocultura,Cariri do Tocantins,2
Bovinocultura de leite,Axixá do Tocantins,2
Mandiocultura,Axixá do Tocantins,2
Bovinocultura de leite,Ananás,2
Avicultura,Ananás,2
Mandiocultura,Ananás,2
Fruticultura,Ananás,2
Olericultura,Ananás,2
Bovinocultura de corte,Paranã,2
Avicultura,Paranã,2
Suinocultura,Paranã,2
Bovinocultura de corte,Cristalândia,2
Avicultura,Cristalândia,2
Mandiocultura,Cristalândia,2
Bovinocultura mista (touro - com características de corte,Palmeiras do Tocantins,2
Vaca - cruzada,Palmeiras do Tocantins,2
Principais produtos comercializados - bezerros,Palmeiras do Tocantins,2
Leite) -,Palmeiras do Tocantins,2
Avicultura,Palmeiras do Tocantins,2
Olericultura,Palmeiras do Tocantins,2
Culturas anuais,Palmeiras do Tocantins,2
Bovinocultura de corte,São Bento do Tocantins,2
Mandiocultura,São Bento do Tocantins,2
Bovinocultura mista (touro - com características de corte,Marianópolis do Tocantins,2
Vaca - cruzada,Marianópolis do Tocantins,2
Principais produtos comercializados - bezerros,Marianópolis do Tocantins,2
Leite) -,Marianópolis do Tocantins,2
Avicultura,Marianópolis do Tocantins,2
Bovinocultura de corte,Peixe,2
Mandiocultura,Peixe,2
Bovinocultura de corte,Santa Rita do Tocantins,2
Avicultura,Santa Rita do Tocantins,2
Bovinocultura de corte,Chapada de Areia,2
Avicultura,Filadélfia,2
Olericultura,Filadélfia,2
Bovinocultura de corte,Cristalândia,2
Avicultura,Cristalândia,2
Suinocultura,Cristalândia,2
Mandiocultura,Cristalândia,2
Bovinocultura de corte,Rio dos Bois,2
Avicultura,Rio dos Bois,2
Suinocultura,Rio dos Bois,2
Mandiocultura,Rio dos Bois,2
Fruticultura,dois Irmãos do Tocantins,2
Avicultura,Dianópolis,2
Avicultura,Chapada de Areia,2
Olericultura,Chapada de Areia,2
Bovinocultura mista (touro - com características de corte,Marianópolis do Tocantins,2
Vaca - cruzada,Marianópolis do Tocantins,2
Principais produtos comercializados - bezerros,Marianópolis do Tocantins,2
Leite) -,Marianópolis do Tocantins,2
Bovinocultura de corte,Chapada da Natividade,2
Mandiocultura,Chapada da Natividade,2
Bovinocultura mista (touro - com características de corte,Fortaleza do Tabocão,2
Vaca - cruzada,Fortaleza do Tabocão,2
Principais produtos comercializados - bezerros,Fortaleza do Tabocão,2
Leite) -,Fortaleza do Tabocão,2
Avicultura,Fortaleza do Tabocão,2
