acessa_ou_ja_acessou_politicas_publicas__,municipio_ibge,count
Crédito rural,Miranorte,13
Não,Tocantínia,13
Compra direta (paa),Chapada de Areia,11
Não,Guaraí,10
Não,Almas,8
Não,Pedro Afonso,8
Crédito rural,Miranorte,8
Crédito rural,Paranã,7
Não,Barrolândia,7
Não,Filadélfia,7
Crédito rural,Paranã,7
Não,Piraquê,7
Não,Dianópolis,6
Não,Chapada de Areia,6
Não,Miranorte,6
Não,Nova Olinda,6
Crédito rural,Goiatins,5
Compra direta (paa),Goiatins,5
Não,Carmolândia,5
Não,Marianópolis do Tocantins,5
Compra direta (paa),Nova Rosalândia,5
Merenda escolar (penae),Nova Rosalândia,5
Fomento,Nova Rosalândia,5
Bolsa família,Carmolândia,5
Não,Tupirama,5
Não,Miracema do Tocantins,5
Crédito rural,Pium,5
Não,Guaraí,5
Crédito rural,Marianópolis do Tocantins,5
Bolsa família,Ananás,5
Compra direta (paa),Araguaína,5
Compra direta (paa),Araguaína,5
Merenda escolar (penae),Araguaína,5
Crédito rural,Araguanã,4
Aposentadoria rural,Araguanã,4
Não,Ananás,4
Não,Wanderlândia,4
Compra direta (paa),Couto Magalhães,4
Merenda escolar (penae),Couto Magalhães,4
Crédito rural,Paraíso do Tocantins,4
Não,Monte Santo do Tocantins,4
Compra direta (paa),Chapada da Natividade,4
Aposentadoria rural,Caseara,4
Compra direta (paa),Miracema do Tocantins,4
Merenda escolar (penae),Miracema do Tocantins,4
Crédito rural,Paraíso do Tocantins,4
Não,Paranã,4
Compra direta (paa),Chapada da Natividade,4
Crédito rural,Talismã,4
Não,Rio dos Bois,4
Não,Chapada de Areia,4
Crédito rural,Ponte Alta do Bom Jesus,4
Crédito rural,Wanderlândia,4
Crédito rural,Peixe,4
Merenda escolar (penae),Dianópolis,4
Bolsa família,Dianópolis,4
Crédito rural,Gurupi,4
Não,Pium,4
Aposentadoria rural,Xambioá,4
Não,Paraíso do Tocantins,4
Crédito rural,Pium,3
Aposentadoria rural,Pium,3
Crédito rural,Lajeado,3
Crédito rural,darcinópolis,3
Crédito rural,Chapada de Areia,3
Crédito rural,Alvorada,3
Não,Marianópolis do Tocantins,3
Crédito rural,Piraquê,3
Merenda escolar (penae),Araguaína,3
Ater indígena,Lagoa da Confusão,3
Aposentadoria rural,Cristalândia,3
Crédito rural,Palmeiras do Tocantins,3
Compra direta (paa),Palmeiras do Tocantins,3
Merenda escolar (penae),Palmeiras do Tocantins,3
Crédito rural,Pium,3
Aposentadoria rural,Palmas,3
Crédito rural,Xambioá,3
Não,Filadélfia,3
Não,Rio da Conceição,3
Compra direta (paa),Nova Rosalândia,3
Merenda escolar (penae),Nova Rosalândia,3
Fomento,Nova Rosalândia,3
Não,Ponte Alta do Bom Jesus,3
Não,Nova Rosalândia,3
Fomento,Ananás,3
Aposentadoria rural,Marianópolis do Tocantins,3
Crédito rural,Divinópolis do Tocantins,3
Bolsa família,Miranorte,3
Bolsa família,Figueirópolis,3
Compra direta (paa),Divinópolis do Tocantins,3
Crédito rural,Guaraí,3
Aposentadoria rural,Pium,3
Compra direta (paa),Bom Jesus do Tocantins,3
Merenda escolar (penae),Bom Jesus do Tocantins,3
Fomento,Bom Jesus do Tocantins,3
Aposentadoria rural,Bom Jesus do Tocantins,3
Crédito rural,Dianópolis,3
Compra direta (paa),Aurora do Tocantins,3
Compra direta (paa),Rio Sono,3
Bolsa família,Nova Olinda,3
Crédito rural,Axixá do Tocantins,3
Aposentadoria rural,Axixá do Tocantins,3
Crédito rural,Araguanã,3
Crédito rural,Muricilândia,3
Não,Peixe,3
Crédito rural,Filadélfia,3
Não,Paraíso do Tocantins,3
Crédito rural,Lagoa da Confusão,3
Não,Gurupi,3
Aposentadoria rural,Miranorte,3
Crédito rural,Rio Sono,3
Aposentadoria rural,Rio Sono,3
Bolsa família,Nova Olinda,3
Crédito rural,Axixá do Tocantins,3
Crédito rural,Palmeiras do Tocantins,3
Crédito rural,Peixe,3
Fomento,Peixe,3
Compra direta (paa),Pium,3
Bolsa família,Xambioá,3
Não,Alvorada,3
Crédito rural,Bandeirantes do Tocantins,3
Fomento,Nova Olinda,2
Bolsa família,Nova Olinda,2
Crédito rural,Axixá do Tocantins,2
Aposentadoria rural,Axixá do Tocantins,2
Compra direta (paa),Pedro Afonso,2
Merenda escolar (penae),Pedro Afonso,2
Fomento,Pedro Afonso,2
Crédito rural,Palmeiras do Tocantins,2
Compra direta (paa),Palmeiras do Tocantins,2
Merenda escolar (penae),Palmeiras do Tocantins,2
Fomento,Palmeiras do Tocantins,2
Bolsa família,Palmeiras do Tocantins,2
Compra direta (paa),Palmas,2
Merenda escolar (penae),Palmas,2
Aposentadoria rural,Palmas,2
Crédito rural,Palmas,2
Crédito rural,Fortaleza do Tabocão,2
Compra direta (paa),Fortaleza do Tabocão,2
Crédito rural,Dianópolis,2
Bolsa família,Araguaína,2
Aposentadoria rural,Jaú do Tocantins,2
Aposentadoria rural,Aragominas,2
Crédito rural,Piraquê,2
Compra direta (paa),Piraquê,2
Compra direta (paa),Palmeiras do Tocantins,2
Merenda escolar (penae),Palmeiras do Tocantins,2
Compra direta (paa),Ananás,2
Não,Abreulândia,2
Crédito rural,Fortaleza do Tabocão,2
Não,Araguaína,2
Crédito rural,dois Irmãos do Tocantins,2
Aposentadoria rural,dois Irmãos do Tocantins,2
Crédito rural,Goiatins,2
Não,Araguaína,2
Aposentadoria rural,Ananás,2
Não,Monte Santo do Tocantins,2
Crédito rural,Cristalândia,2
Crédito rural,Araguanã,2
Bolsa família,Araguanã,2
Compra direta (paa),Palmeiras do Tocantins,2
Merenda escolar (penae),Palmeiras do Tocantins,2
Conab,Palmeiras do Tocantins,2
Não,Miranorte,2
Crédito rural,Divinópolis do Tocantins,2
Aposentadoria rural,Divinópolis do Tocantins,2
Compra direta (paa),Luzinópolis,2
Aposentadoria rural,Luzinópolis,2
Compra direta (paa),Dianópolis,2
Merenda escolar (penae),Dianópolis,2
Aposentadoria rural,Dianópolis,2
Crédito rural,Esperantina,2
Bolsa família,Filadélfia,2
Não,Tupirama,2
Não,Gurupi,2
Compra direta (paa),Gurupi,2
Crédito rural,Paranã,2
Compra direta (paa),Paranã,2
Merenda escolar (penae),Paranã,2
Crédito rural,Peixe,2
Aposentadoria rural,Peixe,2
Crédito rural,Caseara,2
Compra direta (paa),Caseara,2
Não,Chapada da Natividade,2
Compra direta (paa),Nova Rosalândia,2
Merenda escolar (penae),Nova Rosalândia,2
Aposentadoria rural,Sítio Novo do Tocantins,2
Crédito rural,Sítio Novo do Tocantins,2
Crédito rural,Aliança do Tocantins,2
Crédito rural,Palmas,2
Compra direta (paa),Palmas,2
Aposentadoria rural,Palmas,2
Crédito rural,Xambioá,2
Aposentadoria rural,Xambioá,2
Crédito rural,Gurupi,2
Aposentadoria rural,Gurupi,2
Não,Rio Sono,2
Crédito rural,Caseara,2
Não,Xambioá,2
Crédito rural,Ponte Alta do Bom Jesus,2
Aposentadoria rural,Ponte Alta do Bom Jesus,2
Compra direta (paa),darcinópolis,2
Merenda escolar (penae),darcinópolis,2
Crédito rural,Novo Jardim,2
Pncf,Novo Jardim,2
Crédito rural,Chapada de Areia,2
Compra direta (paa),Chapada de Areia,2
Não,Palmeiras do Tocantins,2
Bolsa família,Pium,2
Não,Rio Sono,2
Crédito rural,Santa Rita do Tocantins,2
Crédito rural,Gurupi,2
Crédito rural,Monte do Carmo,2
Bolsa família,Monte do Carmo,2
Crédito rural,Dianópolis,2
Fomento,São Miguel do Tocantins,2
Crédito rural,Marianópolis do Tocantins,2
Não,Paranã,2
Crédito rural,Pugmil,2
Compra direta (paa),Pugmil,2
Merenda escolar (penae),Pugmil,2
Bolsa família,Xambioá,2
Compra direta (paa),Araguaína,2
Fomento,Paranã,2
Bolsa família,Paranã,2
Merenda escolar (penae),São Miguel do Tocantins,2
Não,Santa Rita do Tocantins,2
Crédito rural,São Bento do Tocantins,2
Bolsa família,São Bento do Tocantins,2
Compra direta (paa),Palmeiras do Tocantins,2
Crédito rural,Riachinho,2
Não,Xambioá,2
Bolsa família,Tocantínia,2
Crédito rural,Miranorte,2
Compra direta (paa),Miranorte,2
Merenda escolar (penae),Miranorte,2
Crédito rural,Divinópolis do Tocantins,2
Compra direta (paa),Divinópolis do Tocantins,2
Merenda escolar (penae),Divinópolis do Tocantins,2
Fomento,Divinópolis do Tocantins,2
Crédito rural,Goiatins,2
Compra direta (paa),Goiatins,2
Merenda escolar (penae),Goiatins,2
Aposentadoria rural,Esperantina,2
Compra direta (paa),São Miguel do Tocantins,2
Merenda escolar (penae),São Miguel do Tocantins,2
Fomento,São Miguel do Tocantins,2
Bolsa família,Marianópolis do Tocantins,2
Aposentadoria rural,Marianópolis do Tocantins,2
Crédito rural,Rio dos Bois,2
Compra direta (paa),Rio dos Bois,2
Merenda escolar (penae),Rio dos Bois,2
Fomento,Rio dos Bois,2
Compra direta (paa),Babaçulândia,2
Fomento,Babaçulândia,2
Aposentadoria rural,Babaçulândia,2
Compra direta (paa),Miranorte,2
Bolsa família,Miranorte,2
Aposentadoria rural,Dianópolis,2
Crédito rural,Rio dos Bois,2
Compra direta (paa),Rio dos Bois,2
Bolsa família,Rio dos Bois,2
Bolsa família,Cristalândia,2
Crédito rural,Monte do Carmo,2
Crédito rural,Divinópolis do Tocantins,2
Crédito rural,Santa Fé do Araguaia,2
Compra direta (paa),Nova Rosalândia,2
Crédito rural,Miranorte,2
Crédito rural,dois Irmãos do Tocantins,2
Crédito rural,Aurora do Tocantins,2
Compra direta (paa),Aurora do Tocantins,2
Crédito rural,Axixá do Tocantins,2
Compra direta (paa),Aliança do Tocantins,2
Merenda escolar (penae),Aliança do Tocantins,2
Bolsa família,Araguatins,2
Crédito rural,Couto Magalhães,2
Compra direta (paa),Couto Magalhães,2
Merenda escolar (penae),Couto Magalhães,2
Crédito rural,Nova Olinda,2
Compra direta (paa),Caseara,2
Merenda escolar (penae),Caseara,2
Aposentadoria rural,Caseara,2
Crédito rural,Talismã,2
Aposentadoria rural,Talismã,2
Não,Divinópolis do Tocantins,2
Aposentadoria rural,Xambioá,2
Não,Cristalândia,2
Crédito rural,Gurupi,2
Compra direta (paa),Gurupi,2
Merenda escolar (penae),Gurupi,2
Aposentadoria rural,Gurupi,2
Aposentadoria rural,Piraquê,2
Crédito rural,Araguaína,2
Crédito rural,Piraquê,2
Compra direta (paa),Piraquê,2
Bolsa família,Piraquê,2
Não,Miracema do Tocantins,2
Crédito rural,Palmeiras do Tocantins,2
Bolsa família,Jaú do Tocantins,2
Compra direta (paa),Bom Jesus do Tocantins,2
Merenda escolar (penae),Bom Jesus do Tocantins,2
Fomento,Bom Jesus do Tocantins,2
Compra direta (paa),Rio dos Bois,2
Bolsa família,Rio dos Bois,2
Não,Araguaína,2
