uso_de_praticas_convencionais,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,municipio_ibge,count
Aração,Pouco degradado,Araguaína,9
Gradagem,Pouco degradado,Araguaína,9
Uso de agrotóxicos,Pouco degradado,Araguaína,9
Aração,Não possui degradação,Miranorte,8
Gradagem,Não possui degradação,Miranorte,8
Uso de agrotóxicos,Não possui degradação,Miranorte,8
Aração,Pouco degradado,Piraquê,7
Gradagem,Pouco degradado,Piraquê,7
Uso de agrotóxicos,Pouco degradado,Piraquê,7
Plantio convencional,,Chapada de Areia,7
Aração,,Tocantínia,6
Gradagem,,Tocantínia,6
Plantio convencional,,Palmeiras do Tocantins,6
Aração,,Palmeiras do Tocantins,6
Gradagem,,Palmeiras do Tocantins,6
Uso de agrotóxicos,,Palmeiras do Tocantins,6
Plantio convencional,,Palmeiras do Tocantins,6
Aração,,Palmeiras do Tocantins,6
Gradagem,,Palmeiras do Tocantins,6
Plantio convencional,,Paraíso do Tocantins,6
Plantio convencional,Não possui degradação,Talismã,6
Roça de toco,,Carmolândia,5
Aração,,Carmolândia,5
Gradagem,,Carmolândia,5
Aração,Degradação Média,Sítio Novo do Tocantins,5
Gradagem,Degradação Média,Sítio Novo do Tocantins,5
Uso de agrotóxicos,Degradação Média,Sítio Novo do Tocantins,5
Aração,,Tupirama,5
Gradagem,,Tupirama,5
Não usa,,Lajeado,5
Plantio convencional,,São Miguel do Tocantins,5
Plantio convencional,,Palmeiras do Tocantins,5
Aração,,Palmeiras do Tocantins,5
Gradagem,,Palmeiras do Tocantins,5
Uso de agrotóxicos,,Palmeiras do Tocantins,5
Plantio convencional,Pouco degradado,Palmeiras do Tocantins,5
Aração,Pouco degradado,Palmeiras do Tocantins,5
Gradagem,Pouco degradado,Palmeiras do Tocantins,5
Uso de agrotóxicos,Pouco degradado,Palmeiras do Tocantins,5
Plantio convencional,Degradação Média,Marianópolis do Tocantins,5
Uso de agrotóxicos,Degradação Média,Marianópolis do Tocantins,5
Plantio convencional,Pouco degradado,Paranã,4
Aração,Pouco degradado,Paranã,4
Gradagem,Pouco degradado,Paranã,4
Queimadas,Pouco degradado,Paranã,4
Pastagem nativa,Pouco degradado,Paranã,4
Plantio convencional,Pouco degradado,Paraíso do Tocantins,4
Aração,Pouco degradado,Gurupi,4
Gradagem,Pouco degradado,Gurupi,4
Roça de toco,Pouco degradado,Araguanã,4
Plantio convencional,Pouco degradado,Araguanã,4
Aração,Pouco degradado,Araguanã,4
Gradagem,Pouco degradado,Araguanã,4
Queimadas,Pouco degradado,Araguanã,4
Monocultura,Pouco degradado,Araguanã,4
Plantio convencional,Não possui degradação,Alvorada,4
Plantio convencional,Pouco degradado,Chapada de Areia,4
Plantio convencional,Não possui degradação,Miranorte,4
Aração,Não possui degradação,Miranorte,4
Gradagem,Não possui degradação,Miranorte,4
Uso de agrotóxicos,Não possui degradação,Miranorte,4
Plantio convencional,Não possui degradação,Miranorte,4
Aração,Não possui degradação,Miranorte,4
Gradagem,Não possui degradação,Miranorte,4
Uso de agrotóxicos,Não possui degradação,Miranorte,4
Aração,,Pedro Afonso,4
Gradagem,,Pedro Afonso,4
Plantio convencional,,darcinópolis,4
Aração,,darcinópolis,4
Gradagem,,darcinópolis,4
Uso de agrotóxicos,,darcinópolis,4
Plantio convencional,,darcinópolis,4
Aração,,darcinópolis,4
Gradagem,,darcinópolis,4
Uso de agrotóxicos,,darcinópolis,4
Plantio convencional,Pouco degradado,Figueirópolis,3
Aração,Pouco degradado,Figueirópolis,3
Gradagem,Pouco degradado,Figueirópolis,3
Monocultura,Pouco degradado,Figueirópolis,3
Uso de agrotóxicos,Pouco degradado,Figueirópolis,3
Plantio convencional,,Nova Olinda,3
Aração,,Nova Olinda,3
Gradagem,,Nova Olinda,3
Pastagem nativa,,Nova Olinda,3
Monocultura,,Nova Olinda,3
Plantio convencional,Não possui degradação,Miranorte,3
Uso de agrotóxicos,Não possui degradação,Miranorte,3
Aração,,Rio dos Bois,3
Gradagem,,Rio dos Bois,3
Plantio convencional,Degradação Média,Nova Rosalândia,3
Plantio convencional,Não possui degradação,Chapada de Areia,3
Plantio convencional,,Araguaína,3
Aração,,Araguaína,3
Gradagem,,Araguaína,3
Uso de agrotóxicos,,Araguaína,3
Roça de toco,Degradação Média,Xambioá,3
Plantio convencional,Degradação Média,Xambioá,3
Queimadas,Degradação Média,Xambioá,3
Uso de agrotóxicos,Degradação Média,Xambioá,3
Plantio convencional,,Caseara,3
Roça de toco,,Ananás,3
Queimadas,,Ananás,3
Aração,Pouco degradado,Rio dos Bois,3
Gradagem,Pouco degradado,Rio dos Bois,3
Uso de agrotóxicos,Pouco degradado,Rio dos Bois,3
Não usa,Não possui degradação,Talismã,3
Plantio convencional,Pouco degradado,Barrolândia,3
Aração,Pouco degradado,Barrolândia,3
Gradagem,Pouco degradado,Barrolândia,3
Uso de agrotóxicos,Pouco degradado,Barrolândia,3
Aração,,Palmas,3
Gradagem,,Palmas,3
Plantio convencional,Pouco degradado,dois Irmãos do Tocantins,3
Aração,Pouco degradado,dois Irmãos do Tocantins,3
Gradagem,Pouco degradado,dois Irmãos do Tocantins,3
Uso de agrotóxicos,Pouco degradado,dois Irmãos do Tocantins,3
Plantio convencional,Degradação Média,Nova Rosalândia,3
Aração,Degradação Média,Nova Rosalândia,3
Gradagem,Degradação Média,Nova Rosalândia,3
Roça de toco,Não possui degradação,Paranã,3
Pastagem nativa,Não possui degradação,Paranã,3
Uso de agrotóxicos,Não possui degradação,Miranorte,3
Uso de agrotóxicos,Pouco degradado,Fortaleza do Tabocão,3
Aração,,Santa Maria do Tocantins,3
Gradagem,,Santa Maria do Tocantins,3
Plantio convencional,Pouco degradado,Peixe,3
Aração,Pouco degradado,Peixe,3
Gradagem,Pouco degradado,Peixe,3
Plantio convencional,Pouco degradado,Couto Magalhães,3
Aração,Pouco degradado,Couto Magalhães,3
Gradagem,Pouco degradado,Couto Magalhães,3
Pastagem nativa,Pouco degradado,Couto Magalhães,3
Plantio convencional,Pouco degradado,Peixe,3
Aração,Pouco degradado,Peixe,3
Gradagem,Pouco degradado,Peixe,3
Uso de agrotóxicos,Pouco degradado,Peixe,3
Aração,Pouco degradado,Miranorte,3
Gradagem,Pouco degradado,Miranorte,3
Uso de agrotóxicos,Pouco degradado,Miranorte,3
Aração,Não possui degradação,Pedro Afonso,3
Gradagem,Não possui degradação,Pedro Afonso,3
Aração,Pouco degradado,Pedro Afonso,3
Gradagem,Pouco degradado,Pedro Afonso,3
Roça de toco,,Filadélfia,3
Queimadas,,Filadélfia,3
Pastagem nativa,,Filadélfia,3
Não usa,Não possui degradação,Guaraí,3
Não usa,Degradação Média,Marianópolis do Tocantins,3
Queimadas,Não possui degradação,Ananás,3
Plantio convencional,Degradação Média,Chapada de Areia,3
Aração,Pouco degradado,Ananás,3
Gradagem,Pouco degradado,Ananás,3
Aração,,Wanderlândia,3
Gradagem,,Wanderlândia,3
Roça de toco,,São Bento do Tocantins,3
Aração,,Araguaína,3
Gradagem,,Araguaína,3
Uso de agrotóxicos,,Araguaína,3
Não usa,,Divinópolis do Tocantins,2
Roça de toco,Não possui degradação,Rio Sono,2
Plantio convencional,Não possui degradação,Rio Sono,2
Aração,Degradação Média,Chapada da Natividade,2
Gradagem,Degradação Média,Chapada da Natividade,2
Plantio convencional,Não possui degradação,Caseara,2
Plantio convencional,,Barrolândia,2
Aração,,Barrolândia,2
Gradagem,,Barrolândia,2
Plantio convencional,Pouco degradado,Gurupi,2
Aração,Pouco degradado,Gurupi,2
Gradagem,Pouco degradado,Gurupi,2
Aração,Pouco degradado,Goiatins,2
Gradagem,Pouco degradado,Goiatins,2
Queimadas,Pouco degradado,Goiatins,2
Pastagem nativa,Pouco degradado,Goiatins,2
Roça de toco,Não possui degradação,Dianópolis,2
Queimadas,Não possui degradação,Dianópolis,2
Aração,Degradação Média,Pedro Afonso,2
Gradagem,Degradação Média,Pedro Afonso,2
Não usa,,Silvanópolis,2
Pastagem nativa,Degradação Média,Marianópolis do Tocantins,2
Aração,,Wanderlândia,2
Gradagem,,Wanderlândia,2
Uso de agrotóxicos,,Wanderlândia,2
Aração,Degradação Média,Porto Alegre do Tocantins,2
Gradagem,Degradação Média,Porto Alegre do Tocantins,2
Roça de toco,Pouco degradado,Araguaína,2
Plantio convencional,Pouco degradado,Araguaína,2
Aração,Pouco degradado,Araguaína,2
Gradagem,Pouco degradado,Araguaína,2
Queimadas,Pouco degradado,Araguaína,2
Pastagem nativa,Pouco degradado,Araguaína,2
Uso de agrotóxicos,Pouco degradado,Araguaína,2
Plantio convencional,,Gurupi,2
Plantio convencional,Degradação Média,Paranã,2
Aração,Degradação Média,Paranã,2
Gradagem,Degradação Média,Paranã,2
Queimadas,Degradação Média,Paranã,2
Pastagem nativa,Degradação Média,Paranã,2
Aração,Pouco degradado,Paranã,2
Gradagem,Pouco degradado,Paranã,2
Queimadas,Pouco degradado,Paranã,2
Pastagem nativa,Pouco degradado,Paranã,2
Aração,Pouco degradado,Divinópolis do Tocantins,2
Gradagem,Pouco degradado,Divinópolis do Tocantins,2
Plantio convencional,Não possui degradação,Divinópolis do Tocantins,2
Aração,Não possui degradação,Divinópolis do Tocantins,2
Gradagem,Não possui degradação,Divinópolis do Tocantins,2
Plantio convencional,,Rio Sono,2
