uso_de_praticas_convencionais,area_da_propriedade__hectares__,regional_,count
Plantio convencional,20 - 50 ha,Araguatins,26
Aração,20 - 50 ha,Araguatins,26
Gradagem,20 - 50 ha,Araguatins,26
Uso de agrotóxicos,20 - 50 ha,Araguatins,26
Aração,20 - 50 ha,Paraiso,25
Gradagem,20 - 50 ha,Paraiso,25
Plantio convencional,20 - 50 ha,Gurupi,24
Aração,20 - 50 ha,Araguaina,22
Gradagem,20 - 50 ha,Araguaina,22
Uso de agrotóxicos,20 - 50 ha,Araguaina,22
Aração,20 - 50 ha,Paraiso,17
Gradagem,20 - 50 ha,Paraiso,17
Uso de agrotóxicos,20 - 50 ha,Paraiso,17
Plantio convencional,20 - 50 ha,Gurupi,16
Aração,20 - 50 ha,Gurupi,16
Gradagem,20 - 50 ha,Gurupi,16
Uso de agrotóxicos,20 - 50 ha,Gurupi,16
Plantio convencional,20 - 50 ha,Paraiso,16
Aração,20 - 50 ha,Miracema,15
Gradagem,20 - 50 ha,Miracema,15
Uso de agrotóxicos,20 - 50 ha,Miracema,15
Plantio convencional,20 - 50 ha,Gurupi,14
Aração,20 - 50 ha,Gurupi,14
Gradagem,20 - 50 ha,Gurupi,14
Plantio convencional,20 - 50 ha,Paraiso,13
Aração,20 - 50 ha,Paraiso,13
Gradagem,20 - 50 ha,Paraiso,13
Uso de agrotóxicos,20 - 50 ha,Paraiso,13
Aração,20 - 50 ha,Araguatins,12
Gradagem,20 - 50 ha,Araguatins,12
Uso de agrotóxicos,20 - 50 ha,Araguatins,12
Plantio convencional,10 - 20 ha,Araguatins,11
Aração,10 - 20 ha,Araguatins,11
Gradagem,10 - 20 ha,Araguatins,11
Uso de agrotóxicos,10 - 20 ha,Araguatins,11
Plantio convencional,20 - 50 ha,Paraiso,11
Aração,20 - 50 ha,Paraiso,11
Gradagem,20 - 50 ha,Paraiso,11
Aração,10 - 20 ha,Miracema,11
Gradagem,10 - 20 ha,Miracema,11
Aração,20 - 50 ha,Miracema,11
Gradagem,20 - 50 ha,Miracema,11
Aração,5 - 10 ha,Miracema,11
Gradagem,5 - 10 ha,Miracema,11
Aração,20 - 50 ha,Gurupi,10
Gradagem,20 - 50 ha,Gurupi,10
Plantio convencional,1 - 5 ha,Paraiso,10
Aração,20 - 50 ha,Araguatins,10
Gradagem,20 - 50 ha,Araguatins,10
Não usa,20 - 50 ha,Paraiso,9
Plantio convencional,50 - 100 ha,Paraiso,8
Aração,50 - 100 ha,Paraiso,8
Gradagem,50 - 100 ha,Paraiso,8
Aração,20 - 50 ha,Paraiso,8
Gradagem,20 - 50 ha,Paraiso,8
Pastagem nativa,20 - 50 ha,Paraiso,8
Plantio convencional,50 - 100 ha,Paraiso,8
Roça de toco,20 - 50 ha,Araguaina,8
Plantio convencional,20 - 50 ha,Araguaina,8
Aração,20 - 50 ha,Araguaina,8
Gradagem,20 - 50 ha,Araguaina,8
Queimadas,20 - 50 ha,Araguaina,8
Monocultura,20 - 50 ha,Araguaina,8
Roça de toco,20 - 50 ha,Porto,8
Plantio convencional,20 - 50 ha,Porto,8
Monocultura,20 - 50 ha,Porto,8
Plantio convencional,20 - 50 ha,Araguatins,8
Aração,20 - 50 ha,Araguatins,8
Gradagem,20 - 50 ha,Araguatins,8
Plantio convencional,1 - 5 ha,Araguatins,7
Aração,1 - 5 ha,Araguatins,7
Gradagem,1 - 5 ha,Araguatins,7
Uso de agrotóxicos,1 - 5 ha,Araguatins,7
Plantio convencional,20 - 50 ha,Miracema,7
Aração,20 - 50 ha,Miracema,7
Gradagem,20 - 50 ha,Miracema,7
Uso de agrotóxicos,20 - 50 ha,Miracema,7
Não usa,Até 1 ha,Porto,7
Aração,50 - 100 ha,Araguaina,6
Gradagem,50 - 100 ha,Araguaina,6
Uso de agrotóxicos,50 - 100 ha,Araguaina,6
