uso_de_praticas_sustentaveis_,area_da_propriedade__hectares__,regional_,count
Aceiros,20 - 50 ha,Araguaina,26
Aceiros,20 - 50 ha,Gurupi,24
Aceiros,20 - 50 ha,Paraiso,21
Não usa,20 - 50 ha,Paraiso,17
Aceiros,20 - 50 ha,Araguaina,15
Calagem,20 - 50 ha,Araguaina,15
Adubação,20 - 50 ha,Araguaina,15
Aceiros,20 - 50 ha,Paraiso,14
Calagem,20 - 50 ha,Paraiso,14
Adubação,20 - 50 ha,Paraiso,14
Aceiros,10 - 20 ha,Araguaina,14
Aceiros,20 - 50 ha,Paraiso,13
Adubação,20 - 50 ha,Paraiso,13
Aceiros,20 - 50 ha,Araguaina,12
Recuperação de pastagens,20 - 50 ha,Araguaina,12
Aceiros,50 - 100 ha,Paraiso,12
Aceiros,20 - 50 ha,Porto,12
Não usa,50 - 100 ha,Paraiso,12
Aceiros,20 - 50 ha,Gurupi,12
Adubação,20 - 50 ha,Gurupi,12
Aceiros,20 - 50 ha,Miracema,11
Calagem,20 - 50 ha,Miracema,11
Adubação,20 - 50 ha,Miracema,11
Não usa,20 - 50 ha,Gurupi,10
Aceiros,20 - 50 ha,Miracema,10
Adubação,20 - 50 ha,Miracema,10
Aceiros,20 - 50 ha,Miracema,9
Aceiros,10 - 20 ha,Paraiso,8
Aceiros,20 - 50 ha,Porto,8
Calagem,20 - 50 ha,Porto,8
Adubação,20 - 50 ha,Porto,8
Rotação de cultura,20 - 50 ha,Araguaina,8
Aceiros,20 - 50 ha,Araguaina,8
Aceiros,20 - 50 ha,Araguatins,8
Descarte correto de embalagens,20 - 50 ha,Araguatins,8
Aceiros,5 - 10 ha,Miracema,7
Aceiros,50 - 100 ha,Paraiso,7
Adubação,50 - 100 ha,Paraiso,7
Aceiros,20 - 50 ha,Gurupi,7
Calagem,20 - 50 ha,Gurupi,7
Aceiros,10 - 20 ha,Miracema,6
Aceiros,100 - 200 ha,Paraiso,6
Aceiros,20 - 50 ha,Araguatins,6
Recuperação de pastagens,20 - 50 ha,Araguatins,6
Aceiros,20 - 50 ha,Taguatinga,6
Não usa,Até 1 ha,Porto,6
Aceiros,20 - 50 ha,Araguatins,6
Descarte correto de embalagens,20 - 50 ha,Araguatins,6
Adubação,20 - 50 ha,Araguatins,6
Aceiros,20 - 50 ha,Gurupi,5
Calagem,20 - 50 ha,Gurupi,5
Adubação,20 - 50 ha,Gurupi,5
Aceiros,50 - 100 ha,Taguatinga,5
Aceiros,10 - 20 ha,Araguatins,5
Aceiros,50 - 100 ha,Colinas,5
Calagem,50 - 100 ha,Colinas,5
Adubação,50 - 100 ha,Colinas,5
Aceiros,50 - 100 ha,Araguaina,5
Calagem,50 - 100 ha,Araguaina,5
