uso_de_praticas_sustentaveis_,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,municipio_ibge,count
Não usa,Degradação Média,Marianópolis do Tocantins,10
Aceiros,,Palmeiras do Tocantins,8
Adubação,,Palmeiras do Tocantins,8
Aceiros,Não possui degradação,Miranorte,8
Calagem,Não possui degradação,Miranorte,8
Adubação,Não possui degradação,Miranorte,8
Aceiros,Não possui degradação,Miranorte,7
Adubação,Não possui degradação,Miranorte,7
Aceiros,Não possui degradação,Miranorte,6
Adubação,Não possui degradação,Miranorte,6
Aceiros,Não possui degradação,Guaraí,6
Calagem,Não possui degradação,Guaraí,6
Adubação,Não possui degradação,Guaraí,6
Aceiros,Pouco degradado,Ananás,6
Consórcio,Pouco degradado,Ananás,6
Aceiros,,Xambioá,5
Não usa,,Lajeado,5
Aceiros,Pouco degradado,Araguaína,5
Recuperação de pastagens,Pouco degradado,Araguaína,5
Rotação de cultura,Não possui degradação,Paranã,5
Aceiros,Não possui degradação,Talismã,5
Aceiros,Degradação Média,Sítio Novo do Tocantins,4
Descarte correto de embalagens,Degradação Média,Sítio Novo do Tocantins,4
Rotação de cultura,Pouco degradado,Paranã,4
Aceiros,Pouco degradado,Paranã,4
Consórcio,Pouco degradado,Paranã,4
Recuperação de pastagens,Pouco degradado,Paranã,4
Plantio direto,Pouco degradado,Paranã,4
Aceiros,Pouco degradado,Piraquê,4
Recuperação de pastagens,Pouco degradado,Piraquê,4
Aceiros,Não possui degradação,Alvorada,4
Aceiros,Degradação Média,Chapada de Areia,4
Consórcio,,Tocantínia,4
Adubação,Degradação Média,Marianópolis do Tocantins,4
Aceiros,Não possui degradação,Talismã,4
Aceiros,Pouco degradado,Palmeiras do Tocantins,4
Descarte correto de embalagens,Pouco degradado,Palmeiras do Tocantins,4
Adubação,Pouco degradado,Palmeiras do Tocantins,4
Aceiros,,Tupirama,4
Aceiros,Pouco degradado,Axixá do Tocantins,4
Aceiros,Pouco degradado,Gurupi,4
Calagem,Pouco degradado,Gurupi,4
Aceiros,Pouco degradado,Ponte Alta do Bom Jesus,4
Aceiros,Pouco degradado,Araguanã,4
Aceiros,Pouco degradado,Pium,3
Adubação,Pouco degradado,Pium,3
Adubação verde,Não possui degradação,Chapada de Areia,3
Plantio direto,Não possui degradação,Chapada de Areia,3
Aceiros,Pouco degradado,Araguaína,3
Calagem,Pouco degradado,Araguaína,3
Adubação,Pouco degradado,Araguaína,3
Aceiros,Pouco degradado,Monte do Carmo,3
Adubação verde,,Paraíso do Tocantins,3
Aceiros,Degradação Média,Porto Alegre do Tocantins,3
Calagem,Degradação Média,Porto Alegre do Tocantins,3
Aceiros,,Carmolândia,3
Plantio direto,,Carmolândia,3
Adubação,,Carmolândia,3
Rotação de cultura,Não possui degradação,Miranorte,3
Aceiros,Não possui degradação,Miranorte,3
Adubação,Não possui degradação,Miranorte,3
Plantio direto,Degradação Média,Xambioá,3
Adubação,Degradação Média,Xambioá,3
Não usa,,Caseara,3
Adubação verde,Não possui degradação,Monte Santo do Tocantins,3
Plantio direto,Não possui degradação,Monte Santo do Tocantins,3
Não usa,Não possui degradação,Talismã,3
Aceiros,Pouco degradado,Pedro Afonso,3
Calagem,Pouco degradado,Figueirópolis,3
Recuperação de pastagens,Pouco degradado,Figueirópolis,3
Adubação,Pouco degradado,Figueirópolis,3
Aceiros,Pouco degradado,Paraíso do Tocantins,3
Aceiros,,Palmeiras do Tocantins,3
Adubação,,Palmeiras do Tocantins,3
Aceiros,,Carmolândia,3
Aceiros,,São Bento do Tocantins,3
Aceiros,Não possui degradação,Marianópolis do Tocantins,3
Calagem,Não possui degradação,Marianópolis do Tocantins,3
Adubação,Não possui degradação,Marianópolis do Tocantins,3
Aceiros,Pouco degradado,Guaraí,3
Calagem,Pouco degradado,Guaraí,3
Adubação,Pouco degradado,Guaraí,3
Aceiros,Pouco degradado,Chapada de Areia,3
Aceiros,Pouco degradado,Filadélfia,3
Aceiros,Pouco degradado,dois Irmãos do Tocantins,3
Calagem,Pouco degradado,dois Irmãos do Tocantins,3
Adubação,Pouco degradado,dois Irmãos do Tocantins,3
Não usa,Não possui degradação,Caseara,3
Aceiros,Não possui degradação,Pium,3
Adubação,Não possui degradação,Pium,3
Rotação de cultura,Não possui degradação,Ananás,3
Aceiros,Não possui degradação,Ananás,3
Aceiros,Pouco degradado,Xambioá,3
Aceiros,Pouco degradado,Araguaína,3
Calagem,Pouco degradado,Araguaína,3
Adubação,Pouco degradado,Araguaína,3
Aceiros,Não possui degradação,Pedro Afonso,3
Rotação de cultura,,Palmeiras do Tocantins,2
Descarte correto de embalagens,,Palmeiras do Tocantins,2
Adubação,,Palmeiras do Tocantins,2
Aceiros,,Pedro Afonso,2
Rotação de cultura,,Xambioá,2
Aceiros,,Xambioá,2
Aceiros,Não possui degradação,Miranorte,2
Calagem,Não possui degradação,Miranorte,2
Adubação,Não possui degradação,Miranorte,2
Adubação verde,,Chapada de Areia,2
Plantio direto,,Chapada de Areia,2
Reaproveitamento de residuos,Degradação Média,Nova Rosalândia,2
Plantio direto,Degradação Média,Nova Rosalândia,2
Adubação,Degradação Média,Nova Rosalândia,2
Rotação de cultura,Pouco degradado,Araguaína,2
Aceiros,Pouco degradado,Araguaína,2
Recuperação de pastagens,Pouco degradado,Araguaína,2
Adubação verde,,Palmas,2
Plantio direto,,Palmas,2
Adubação verde,Pouco degradado,Araguanã,2
Rotação de cultura,Pouco degradado,Araguanã,2
Aceiros,Pouco degradado,Araguanã,2
Curva de nível,Pouco degradado,Palmeiras do Tocantins,2
Aceiros,Pouco degradado,Palmeiras do Tocantins,2
Calagem,Pouco degradado,Palmeiras do Tocantins,2
Consórcio,Pouco degradado,Palmeiras do Tocantins,2
Ilp - integração lavoura pecuária,Pouco degradado,Palmeiras do Tocantins,2
Descarte correto de embalagens,Pouco degradado,Palmeiras do Tocantins,2
Recuperação de pastagens,Pouco degradado,Palmeiras do Tocantins,2
Adubação,Pouco degradado,Palmeiras do Tocantins,2
Aceiros,Degradação Média,Pedro Afonso,2
Rotação de cultura,,Palmeiras do Tocantins,2
Aceiros,,Palmeiras do Tocantins,2
Descarte correto de embalagens,,Palmeiras do Tocantins,2
Adubação,,Palmeiras do Tocantins,2
Aceiros,Não possui degradação,Araguanã,2
Adubação verde,Pouco degradado,Chapada de Areia,2
Rotação de cultura,,darcinópolis,2
Aceiros,,darcinópolis,2
Calagem,,darcinópolis,2
Consórcio,,darcinópolis,2
Adubação,,darcinópolis,2
Aceiros,Pouco degradado,Muricilândia,2
Aceiros,Pouco degradado,Guaraí,2
Calagem,Pouco degradado,Guaraí,2
Adubação,Pouco degradado,Guaraí,2
Plantio direto,Não possui degradação,Rio Sono,2
Aceiros,Pouco degradado,Piraquê,2
Recuperação de pastagens,Pouco degradado,Piraquê,2
Adubação,Pouco degradado,Piraquê,2
Consórcio,,Ananás,2
Aceiros,Não possui degradação,Gurupi,2
Calagem,Não possui degradação,Gurupi,2
Aceiros,,Rio dos Bois,2
Calagem,,Rio dos Bois,2
Adubação,,Rio dos Bois,2
Aceiros,Pouco degradado,Miranorte,2
Aceiros,Pouco degradado,Ipueiras,2
Calagem,Pouco degradado,Ipueiras,2
Adubação,Pouco degradado,Ipueiras,2
Aceiros,Degradação Média,Santa Fé do Araguaia,2
Aceiros,Pouco degradado,Gurupi,2
Calagem,Pouco degradado,Gurupi,2
Aceiros,,dois Irmãos do Tocantins,2
Adubação,,dois Irmãos do Tocantins,2
Aceiros,Pouco degradado,Filadélfia,2
Aceiros,Não possui degradação,Miranorte,2
Calagem,Não possui degradação,Miranorte,2
Adubação,Não possui degradação,Miranorte,2
Não usa,Pouco degradado,Paraíso do Tocantins,2
Aceiros,Pouco degradado,Rio dos Bois,2
Calagem,Pouco degradado,Rio dos Bois,2
Adubação,Pouco degradado,Rio dos Bois,2
Aceiros,Não possui degradação,Dianópolis,2
Calagem,Não possui degradação,Dianópolis,2
Adubação,Não possui degradação,Dianópolis,2
Adubação verde,Pouco degradado,Couto Magalhães,2
Reaproveitamento de residuos,Pouco degradado,Couto Magalhães,2
Rotação de cultura,Pouco degradado,Couto Magalhães,2
Aceiros,Pouco degradado,Couto Magalhães,2
Calagem,Pouco degradado,Couto Magalhães,2
Recuperação de pastagens,Pouco degradado,Couto Magalhães,2
Plantio direto,Pouco degradado,Couto Magalhães,2
Adubação,Pouco degradado,Couto Magalhães,2
Reaproveitamento de residuos,,Paraíso do Tocantins,2
Plantio direto,,Rio Sono,2
Aceiros,Pouco degradado,dois Irmãos do Tocantins,2
Adubação,Pouco degradado,dois Irmãos do Tocantins,2
Aceiros,Pouco degradado,Muricilândia,2
Calagem,Pouco degradado,Muricilândia,2
Adubação,Pouco degradado,Muricilândia,2
Aceiros,Pouco degradado,Santa Fé do Araguaia,2
Calagem,Pouco degradado,Santa Fé do Araguaia,2
Adubação,Pouco degradado,Santa Fé do Araguaia,2
Recuperação de pastagens,Pouco degradado,Divinópolis do Tocantins,2
Rotação de cultura,Degradação Média,Chapada da Natividade,2
Aceiros,Degradação Média,Chapada da Natividade,2
Recuperação de pastagens,Degradação Média,Chapada da Natividade,2
Adubação,Degradação Média,Chapada da Natividade,2
