municipio_ibge,uso_de_praticas_sustentaveis_,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,total_respostas
Abreulândia,Aceiros,Pouco degradado,1
Abreulândia,Adubação,Pouco degradado,1
Abreulândia,Calagem,Não possui degradação,1
Abreulândia,Não usa,Pouco degradado,2
Aliança do Tocantins,Aceiros,Degradação Média,3
Aliança do Tocantins,Aceiros,Não possui degradação,1
Aliança do Tocantins,Aceiros,Pouco degradado,1
Aliança do Tocantins,Adubação,Degradação Média,2
Aliança do Tocantins,Adubação,Muito degradado,1
Aliança do Tocantins,Calagem,Degradação Média,4
Aliança do Tocantins,Calagem,Não possui degradação,1
Aliança do Tocantins,Calagem,Pouco degradado,1
Aliança do Tocantins,Consórcio,Não possui degradação,1
Aliança do Tocantins,Consórcio,Pouco degradado,1
Aliança do Tocantins,Ilp - integração lavoura pecuária,Pouco degradado,1
Aliança do Tocantins,Não usa,Pouco degradado,1
Aliança do Tocantins,Recuperação de pastagens,Pouco degradado,1
Almas,Aceiros,Não possui degradação,7
Almas,Aceiros,Pouco degradado,1
Almas,Adubação,Não possui degradação,3
Almas,Adubação,Pouco degradado,2
Almas,Adubação verde,Não possui degradação,3
Almas,Adubação verde,Pouco degradado,1
Almas,Calagem,Não possui degradação,5
Almas,Consórcio,Não possui degradação,1
Almas,Curva de nível,Não possui degradação,2
Almas,Descarte correto de embalagens,Não possui degradação,3
Almas,Descarte correto de embalagens,Pouco degradado,1
Almas,Plantio direto,Não possui degradação,1
Almas,Reaproveitamento de residuos,Não possui degradação,4
Almas,Reaproveitamento de residuos,Pouco degradado,1
Almas,Recuperação de pastagens,Não possui degradação,3
Almas,Rotação de cultura,Não possui degradação,2
Alvorada,Aceiros,Não possui degradação,4
Alvorada,Aceiros,Pouco degradado,2
Alvorada,Adubação,Pouco degradado,1
Alvorada,Calagem,Pouco degradado,1
Alvorada,Descarte correto de embalagens,Pouco degradado,1
Alvorada,Não usa,Não possui degradação,1
Alvorada,Recuperação de pastagens,Não possui degradação,1
Ananás,Aceiros,Não possui degradação,4
Ananás,Aceiros,Pouco degradado,7
Ananás,Adubação,Não possui degradação,2
Ananás,Calagem,Não possui degradação,1
Ananás,Consórcio,Não possui degradação,1
Ananás,Consórcio,Pouco degradado,7
Ananás,Descarte correto de embalagens,Não possui degradação,3
Ananás,Plantio direto,Não possui degradação,1
Ananás,Recuperação de pastagens,Não possui degradação,1
Ananás,Rotação de cultura,Não possui degradação,4
Angico,Aceiros,Degradação Média,3
Angico,Aceiros,Não possui degradação,1
Angico,Adubação,Degradação Média,2
Angico,Consórcio,Degradação Média,2
Angico,Consórcio,Não possui degradação,1
Angico,Recuperação de pastagens,Degradação Média,1
Angico,Rotação de cultura,Degradação Média,2
Angico,Rotação de cultura,Não possui degradação,1
Aparecida do Rio Negro,Aceiros,Não possui degradação,1
Aparecida do Rio Negro,Adubação,Pouco degradado,1
Aparecida do Rio Negro,Calagem,Não possui degradação,1
Aparecida do Rio Negro,Calagem,Pouco degradado,1
Aparecida do Rio Negro,Consórcio,Pouco degradado,1
Aparecida do Rio Negro,Reaproveitamento de residuos,Pouco degradado,1
