municipio_ibge,atividade_produtiva,total_respostas
Abreulândia,Avicultura,4
Abreulândia,Bovinocultura de corte,4
Abreulândia,Bovinocultura de leite,1
Abreulândia,Bovinocultura mista (touro - com características de corte,1
Abreulândia,Fruticultura,2
Abreulândia,Leite) -,1
Abreulândia,Mandiocultura,4
Abreulândia,Olericultura,2
Abreulândia,Pisicultura,1
Abreulândia,Principais produtos comercializados - bezerros,1
Abreulândia,Suinocultura,1
Abreulândia,Vaca - cruzada,1
Aguiarnópolis,Avicultura,1
Aguiarnópolis,Olericultura,2
Aliança do Tocantins,Avicultura,4
Aliança do Tocantins,Bovinocultura de corte,4
Aliança do Tocantins,Bovinocultura de leite,3
Aliança do Tocantins,Bovinocultura mista (touro - com características de corte,2
Aliança do Tocantins,Fruticultura,1
Aliança do Tocantins,Leite) -,2
Aliança do Tocantins,Olericultura,1
Aliança do Tocantins,Ovinocaprinocultura,1
Aliança do Tocantins,Pisicultura,1
Aliança do Tocantins,Principais produtos comercializados - bezerros,2
Aliança do Tocantins,Suinocultura,2
Aliança do Tocantins,Vaca - cruzada,2
Almas,Avicultura,15
Almas,Bovinocultura de corte,6
Almas,Bovinocultura de leite,2
Almas,Bovinocultura mista (touro - com características de corte,3
Almas,Culturas anuais,3
Almas,Fruticultura,1
Almas,Leite) -,3
Almas,Mandiocultura,10
Almas,Olericultura,3
Almas,Ovinocaprinocultura,1
Almas,Pisicultura,2
Almas,Principais produtos comercializados - bezerros,3
Almas,Suinocultura,6
Almas,Vaca - cruzada,3
Alvorada,Avicultura,6
Alvorada,Bovinocultura de corte,8
Alvorada,Bovinocultura de leite,1
Alvorada,Fruticultura,1
Alvorada,Mandiocultura,1
Alvorada,Olericultura,1
Alvorada,Pisicultura,2
Alvorada,Suinocultura,3
Ananás,Avicultura,16
Ananás,Bovinocultura de corte,2
Ananás,Bovinocultura de leite,10
Ananás,Bovinocultura mista (touro - com características de corte,1
Ananás,Culturas anuais,5
Ananás,Fruticultura,7
Ananás,Leite) -,1
Ananás,Mandiocultura,13
Ananás,Olericultura,4
Ananás,Principais produtos comercializados - bezerros,1
Ananás,Suinocultura,8
Ananás,Vaca - cruzada,1
Angico,Avicultura,7
Angico,Bovinocultura de corte,1
Angico,Bovinocultura mista (touro - com características de corte,4
Angico,Culturas anuais,6
Angico,Fruticultura,2
Angico,Leite) -,4
Angico,Mandiocultura,7
Angico,Olericultura,3
Angico,Principais produtos comercializados - bezerros,4
Angico,Suinocultura,3
Angico,Vaca - cruzada,4
Aparecida do Rio Negro,Bovinocultura de corte,2
Aparecida do Rio Negro,Bovinocultura de leite,1
Aparecida do Rio Negro,Culturas anuais,1
Aparecida do Rio Negro,Fruticultura,1
Aparecida do Rio Negro,Mandiocultura,1
Aragominas,Apicultura,2
Aragominas,Avicultura,9
Aragominas,Bovinocultura de corte,3
Aragominas,Bovinocultura de leite,4
Aragominas,Bovinocultura mista (touro - com características de corte,2
Aragominas,Culturas anuais,1
Aragominas,Fruticultura,2
Aragominas,Leite) -,2
Aragominas,Mandiocultura,1
Aragominas,Meliponicultura,2
Aragominas,Ovinocaprinocultura,1
Aragominas,Pisicultura,1
Aragominas,Principais produtos comercializados - bezerros,2
Aragominas,Suinocultura,3
Aragominas,Vaca - cruzada,2
Araguanã,Artesanato,1
Araguanã,Avicultura,6
Araguanã,Bovinocultura de corte,5
Araguanã,Bovinocultura de leite,12
Araguanã,Bovinocultura mista (touro - com características de corte,2
Araguanã,Café,1
Araguanã,Culturas anuais,1
Araguanã,Fruticultura,1
Araguanã,Leite) -,2
Araguanã,Mandiocultura,7
Araguanã,Milho,2
Araguanã,Olericultura,1
Araguanã,Ovinocaprinocultura,1
Araguanã,Pisicultura,1
Araguanã,Principais produtos comercializados - bezerros,2
Araguanã,Suinocultura,1
Araguanã,Turismo,1
Araguanã,Vaca - cruzada,2
Araguatins,Apicultura,1
Araguatins,Avicultura,8
Araguatins,Bovinocultura de corte,4
Araguatins,Bovinocultura de leite,4
Araguatins,Bovinocultura mista (touro - com características de corte,3
Araguatins,Culturas anuais,5
Araguatins,Extrativismo vegetal,3
Araguatins,Fruticultura,7
Araguatins,Leite) -,3
Araguatins,Mandiocultura,5
Araguatins,Meliponicultura,1
Araguatins,Olericultura,4
Araguatins,Pisicultura,1
Araguatins,Principais produtos comercializados - bezerros,3
Araguatins,Suinocultura,4
Araguatins,Vaca - cruzada,3
Araguaçu,Apicultura,2
Araguaçu,Avicultura,7
Araguaçu,Bovinocultura de corte,6
Araguaçu,Bovinocultura de leite,2
Araguaçu,Bovinocultura mista (touro - com características de corte,1
Araguaçu,Cana,1
Araguaçu,Cana-de-açucar,1
Araguaçu,Culturas anuais,4
Araguaçu,Fruticultura,1
Araguaçu,Leite) -,1
Araguaçu,Mandiocultura,3
Araguaçu,Meliponicultura,1
Araguaçu,Olericultura,1
Araguaçu,Principais produtos comercializados - bezerros,1
Araguaçu,Suinocultura,5
Araguaçu,Vaca - cruzada,1
Araguaína,Apicultura,1
Araguaína,Avicultura,30
Araguaína,Bovinocultura de corte,16
Araguaína,Bovinocultura de leite,7
Araguaína,Bovinocultura mista (touro - com características de corte,9
Araguaína,Culturas anuais,18
Araguaína,Extrativismo vegetal,1
Araguaína,Fruticultura,18
Araguaína,Horticultura,1
Araguaína,Leite) -,9
Araguaína,Mandiocultura,20
Araguaína,Meliponicultura,1
Araguaína,Olericultura,12
Araguaína,Ovinocaprinocultura,1
Araguaína,Principais produtos comercializados - bezerros,9
Araguaína,Suinocultura,12
Araguaína,Vaca - cruzada,9
Aurora do Tocantins,Avicultura,6
Aurora do Tocantins,Bovinocultura de corte,2
Aurora do Tocantins,Bovinocultura de leite,2
Aurora do Tocantins,Bovinocultura mista (touro - com características de corte,1
Aurora do Tocantins,Culturas anuais,2
Aurora do Tocantins,Extrativismo vegetal,1
Aurora do Tocantins,Fruticultura,2
Aurora do Tocantins,Leite) -,1
Aurora do Tocantins,Mandiocultura,3
Aurora do Tocantins,Olericultura,1
Aurora do Tocantins,Pisicultura,1
Aurora do Tocantins,Principais produtos comercializados - bezerros,1
Aurora do Tocantins,Suinocultura,4
Aurora do Tocantins,Vaca - cruzada,1
Axixá do Tocantins,Avicultura,6
Axixá do Tocantins,Bovinocultura de corte,2
Axixá do Tocantins,Bovinocultura de leite,18
Axixá do Tocantins,Bovinocultura mista (touro - com características de corte,2
Axixá do Tocantins,Culturas anuais,5
Axixá do Tocantins,Fruticultura,2
Axixá do Tocantins,Leite) -,2
Axixá do Tocantins,Mandiocultura,11
Axixá do Tocantins,Olericultura,2
Axixá do Tocantins,Pisicultura,3
Axixá do Tocantins,Principais produtos comercializados - bezerros,2
Axixá do Tocantins,Suinocultura,3
Axixá do Tocantins,Vaca - cruzada,2
Babaçulândia,Apicultura,1
Babaçulândia,Avicultura,7
Babaçulândia,Bovinocultura de corte,1
Babaçulândia,Bovinocultura mista (touro - com características de corte,4
Babaçulândia,Culturas anuais,8
Babaçulândia,Fruticultura,2
Babaçulândia,Leite) -,4
Babaçulândia,Mandiocultura,10
Babaçulândia,Meliponicultura,1
Babaçulândia,Olericultura,2
Babaçulândia,Ovinocaprinocultura,1
Babaçulândia,Principais produtos comercializados - bezerros,4
Babaçulândia,Suinocultura,1
Babaçulândia,Vaca - cruzada,4
Bandeirantes do Tocantins,Avicultura,6
Bandeirantes do Tocantins,Bovinocultura de corte,1
Bandeirantes do Tocantins,Bovinocultura mista (touro - com características de corte,5
Bandeirantes do Tocantins,Culturas anuais,3
Bandeirantes do Tocantins,Extrativismo vegetal,2
Bandeirantes do Tocantins,Fruticultura,2
Bandeirantes do Tocantins,Leite) -,5
Bandeirantes do Tocantins,Mandiocultura,5
Bandeirantes do Tocantins,Olericultura,1
Bandeirantes do Tocantins,Pisicultura,1
Bandeirantes do Tocantins,Principais produtos comercializados - bezerros,5
Bandeirantes do Tocantins,Suinocultura,5
Bandeirantes do Tocantins,Vaca - cruzada,5
Barrolândia,Avicultura,7
