municipio_ibge,atividade_produtiva,total_respostas,regional
Abreulândia,Avicultura,4,Paraiso
Abreulândia,Bovinocultura de corte,4,Paraiso
Abreulândia,Bovinocultura de leite,1,Paraiso
Abreulândia,Bovinocultura mista (touro - com características de corte,1,Paraiso
Abreulândia,Fruticultura,2,Paraiso
Abreulândia,Leite) -,1,Paraiso
Abreulândia,Mandiocultura,4,Paraiso
Abreulândia,Olericultura,2,Paraiso
Abreulândia,Pisicultura,1,Paraiso
Abreulândia,Principais produtos comercializados - bezerros,1,Paraiso
Abreulândia,Suinocultura,1,Paraiso
Abreulândia,Vaca - cruzada,1,Paraiso
Aguiarnópolis,Avicultura,1,Araguatins
Aguiarnópolis,Olericultura,2,Araguatins
Aliança do Tocantins,Avicultura,4,Gurupi
Aliança do Tocantins,Bovinocultura de corte,4,Gurupi
Aliança do Tocantins,Bovinocultura de leite,3,Gurupi
Aliança do Tocantins,Bovinocultura mista (touro - com características de corte,2,Gurupi
Aliança do Tocantins,Fruticultura,1,Gurupi
Aliança do Tocantins,Leite) -,2,Gurupi
Aliança do Tocantins,Olericultura,1,Gurupi
Aliança do Tocantins,Ovinocaprinocultura,1,Gurupi
Aliança do Tocantins,Pisicultura,1,Gurupi
Aliança do Tocantins,Principais produtos comercializados - bezerros,2,Gurupi
Aliança do Tocantins,Suinocultura,2,Gurupi
Aliança do Tocantins,Vaca - cruzada,2,Gurupi
Almas,Avicultura,15,Taguatinga do Tocantins
Almas,Bovinocultura de corte,6,Taguatinga do Tocantins
Almas,Bovinocultura de leite,2,Taguatinga do Tocantins
Almas,Bovinocultura mista (touro - com características de corte,3,Taguatinga do Tocantins
Almas,Culturas anuais,3,Taguatinga do Tocantins
Almas,Fruticultura,1,Taguatinga do Tocantins
Almas,Leite) -,3,Taguatinga do Tocantins
Almas,Mandiocultura,10,Taguatinga do Tocantins
Almas,Olericultura,3,Taguatinga do Tocantins
Almas,Ovinocaprinocultura,1,Taguatinga do Tocantins
Almas,Pisicultura,2,Taguatinga do Tocantins
Almas,Principais produtos comercializados - bezerros,3,Taguatinga do Tocantins
Almas,Suinocultura,6,Taguatinga do Tocantins
Almas,Vaca - cruzada,3,Taguatinga do Tocantins
Alvorada,Avicultura,6,Gurupi
Alvorada,Bovinocultura de corte,8,Gurupi
Alvorada,Bovinocultura de leite,1,Gurupi
Alvorada,Fruticultura,1,Gurupi
Alvorada,Mandiocultura,1,Gurupi
Alvorada,Olericultura,1,Gurupi
Alvorada,Pisicultura,2,Gurupi
Alvorada,Suinocultura,3,Gurupi
Ananás,Avicultura,16,Araguatins
Ananás,Bovinocultura de corte,2,Araguatins
Ananás,Bovinocultura de leite,10,Araguatins
Ananás,Bovinocultura mista (touro - com características de corte,1,Araguatins
Ananás,Culturas anuais,5,Araguatins
Ananás,Fruticultura,7,Araguatins
