municipio_ibge,uso_de_praticas_convencionais,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,total_respostas,regional
Abreulândia,Aração,Não possui degradação,1,Paraiso
Abreulândia,Aração,Pouco degradado,3,Paraiso
Abreulândia,Gradagem,Não possui degradação,1,Paraiso
Abreulândia,Gradagem,Pouco degradado,3,Paraiso
Abreulândia,Plantio convencional,Pouco degradado,1,Paraiso
Abreulândia,Uso de agrotóxicos,Pouco degradado,1,Paraiso
Aliança do Tocantins,Aração,Degradação Média,4,Gurupi
Aliança do Tocantins,Aração,Muito degradado,1,Gurupi
Aliança do Tocantins,Aração,Não possui degradação,1,Gurupi
Aliança do Tocantins,Gradagem,Degradação Média,4,Gurupi
Aliança do Tocantins,Gradagem,Muito degradado,1,Gurupi
Aliança do Tocantins,Gradagem,Não possui degradação,1,Gurupi
Aliança do Tocantins,Monocultura,Degradação Média,2,Gurupi
Aliança do Tocantins,Não usa,Pouco degradado,1,Gurupi
Aliança do Tocantins,Plantio convencional,Degradação Média,4,Gurupi
Aliança do Tocantins,Plantio convencional,Muito degradado,1,Gurupi
Aliança do Tocantins,Plantio convencional,Não possui degradação,1,Gurupi
Aliança do Tocantins,Plantio convencional,Pouco degradado,1,Gurupi
Aliança do Tocantins,Queimadas,Não possui degradação,1,Gurupi
Aliança do Tocantins,Uso de agrotóxicos,Degradação Média,2,Gurupi
Aliança do Tocantins,Uso de agrotóxicos,Muito degradado,1,Gurupi
Aliança do Tocantins,Uso de agrotóxicos,Não possui degradação,1,Gurupi
Aliança do Tocantins,Uso de agrotóxicos,Pouco degradado,1,Gurupi
Almas,Aração,Não possui degradação,4,Taguatinga do Tocantins
Almas,Gradagem,Não possui degradação,4,Taguatinga do Tocantins
Almas,Pastagem nativa,Não possui degradação,4,Taguatinga do Tocantins
Almas,Plantio convencional,Não possui degradação,5,Taguatinga do Tocantins
Almas,Plantio convencional,Pouco degradado,1,Taguatinga do Tocantins
Almas,Roça de toco,Não possui degradação,3,Taguatinga do Tocantins
Almas,Roça de toco,Pouco degradado,1,Taguatinga do Tocantins
Almas,Uso de agrotóxicos,Não possui degradação,1,Taguatinga do Tocantins
Alvorada,Monocultura,Pouco degradado,1,Gurupi
Alvorada,Não usa,Não possui degradação,2,Gurupi
Alvorada,Não usa,Pouco degradado,1,Gurupi
Alvorada,Plantio convencional,Não possui degradação,5,Gurupi
Alvorada,Plantio convencional,Pouco degradado,1,Gurupi
Ananás,Aração,Não possui degradação,4,Araguatins
Ananás,Aração,Pouco degradado,6,Araguatins
Ananás,Gradagem,Não possui degradação,4,Araguatins
Ananás,Gradagem,Pouco degradado,6,Araguatins
Ananás,Não usa,Pouco degradado,1,Araguatins
Ananás,Queimadas,Não possui degradação,5,Araguatins
Ananás,Queimadas,Pouco degradado,3,Araguatins
Ananás,Roça de toco,Não possui degradação,2,Araguatins
Ananás,Roça de toco,Pouco degradado,3,Araguatins
Ananás,Uso de agrotóxicos,Não possui degradação,1,Araguatins
Angico,Aração,Degradação Média,3,Araguatins
Angico,Aração,Não possui degradação,1,Araguatins
Angico,Gradagem,Degradação Média,3,Araguatins
Angico,Gradagem,Não possui degradação,1,Araguatins
Angico,Monocultura,Não possui degradação,1,Araguatins
Angico,Plantio convencional,Degradação Média,2,Araguatins
Angico,Queimadas,Degradação Média,2,Araguatins
Angico,Queimadas,Não possui degradação,1,Araguatins
Angico,Roça de toco,Degradação Média,3,Araguatins
Angico,Uso de agrotóxicos,Degradação Média,3,Araguatins
Angico,Uso de agrotóxicos,Não possui degradação,1,Araguatins
Aparecida do Rio Negro,Aração,Não possui degradação,1,Porto Nacional
Aparecida do Rio Negro,Aração,Pouco degradado,1,Porto Nacional
Aparecida do Rio Negro,Gradagem,Não possui degradação,1,Porto Nacional
Aparecida do Rio Negro,Gradagem,Pouco degradado,1,Porto Nacional
Aparecida do Rio Negro,Pastagem nativa,Não possui degradação,1,Porto Nacional
Aparecida do Rio Negro,Plantio convencional,Não possui degradação,1,Porto Nacional
Aparecida do Rio Negro,Plantio convencional,Pouco degradado,1,Porto Nacional
Aparecida do Rio Negro,Roça de toco,Não possui degradação,1,Porto Nacional
Aragominas,Aração,Pouco degradado,3,Araguína
Aragominas,Gradagem,Pouco degradado,3,Araguína
Aragominas,Monocultura,Degradação Média,1,Araguína
Aragominas,Plantio convencional,Pouco degradado,1,Araguína
Aragominas,Queimadas,Não possui degradação,1,Araguína
Aragominas,Queimadas,Pouco degradado,3,Araguína
Aragominas,Roça de toco,Degradação Média,1,Araguína
Aragominas,Roça de toco,Pouco degradado,2,Araguína
Aragominas,Uso de agrotóxicos,Degradação Média,2,Araguína
Aragominas,Uso de agrotóxicos,Não possui degradação,1,Araguína
Aragominas,Uso de agrotóxicos,Pouco degradado,3,Araguína
Araguanã,Aração,Degradação Média,1,Araguína
Araguanã,Aração,Não possui degradação,6,Araguína
Araguanã,Aração,Pouco degradado,8,Araguína
Araguanã,Gradagem,Degradação Média,1,Araguína
Araguanã,Gradagem,Não possui degradação,6,Araguína
Araguanã,Gradagem,Pouco degradado,8,Araguína
Araguanã,Monocultura,Degradação Média,1,Araguína
Araguanã,Monocultura,Não possui degradação,3,Araguína
Araguanã,Monocultura,Pouco degradado,6,Araguína
Araguanã,Pastagem nativa,Pouco degradado,1,Araguína
Araguanã,Plantio convencional,Degradação Média,1,Araguína
Araguanã,Plantio convencional,Não possui degradação,5,Araguína
Araguanã,Plantio convencional,Pouco degradado,9,Araguína
Araguanã,Queimadas,Degradação Média,1,Araguína
Araguanã,Queimadas,Não possui degradação,3,Araguína
Araguanã,Queimadas,Pouco degradado,7,Araguína
Araguanã,Roça de toco,Degradação Média,1,Araguína
Araguanã,Roça de toco,Não possui degradação,6,Araguína
Araguanã,Roça de toco,Pouco degradado,10,Araguína
Araguanã,Uso de agrotóxicos,Não possui degradação,1,Araguína
Araguanã,Uso de agrotóxicos,Pouco degradado,2,Araguína
Araguatins,Aração,Muito degradado,1,Araguatins
Araguatins,Aração,Não possui degradação,3,Araguatins
Araguatins,Gradagem,Muito degradado,1,Araguatins
Araguatins,Gradagem,Não possui degradação,3,Araguatins
Araguatins,Monocultura,Não possui degradação,3,Araguatins
Araguatins,Não usa,Não possui degradação,1,Araguatins
Araguatins,Pastagem nativa,Não possui degradação,2,Araguatins
Araguatins,Plantio convencional,Muito degradado,1,Araguatins
Araguatins,Plantio convencional,Não possui degradação,3,Araguatins
Araguatins,Queimadas,Não possui degradação,3,Araguatins
Araguatins,Roça de toco,Não possui degradação,3,Araguatins
Araguatins,Uso de agrotóxicos,Muito degradado,1,Araguatins
Araguatins,Uso de agrotóxicos,Não possui degradação,3,Araguatins
Araguaçu,Aração,Degradação Média,2,Gurupi
Araguaçu,Aração,Pouco degradado,2,Gurupi
Araguaçu,Gradagem,Degradação Média,2,Gurupi
Araguaçu,Gradagem,Pouco degradado,2,Gurupi
Araguaçu,Monocultura,Degradação Média,2,Gurupi
Araguaçu,Monocultura,Pouco degradado,1,Gurupi
Araguaçu,Não usa,Pouco degradado,1,Gurupi
Araguaçu,Pastagem nativa,Degradação Média,1,Gurupi
Araguaçu,Plantio convencional,Degradação Média,1,Gurupi
Araguaçu,Plantio convencional,Pouco degradado,1,Gurupi
Araguaçu,Roça de toco,Não possui degradação,1,Gurupi
Araguaína,Aração,Degradação Média,2,Araguína
Araguaína,Aração,Não possui degradação,5,Araguína
Araguaína,Aração,Pouco degradado,18,Araguína
Araguaína,Gradagem,Degradação Média,2,Araguína
Araguaína,Gradagem,Não possui degradação,5,Araguína
Araguaína,Gradagem,Pouco degradado,18,Araguína
Araguaína,Monocultura,Degradação Média,1,Araguína
Araguaína,Monocultura,Não possui degradação,1,Araguína
Araguaína,Monocultura,Pouco degradado,3,Araguína
Araguaína,Pastagem nativa,Não possui degradação,1,Araguína
Araguaína,Pastagem nativa,Pouco degradado,3,Araguína
Araguaína,Plantio convencional,Não possui degradação,5,Araguína
Araguaína,Plantio convencional,Pouco degradado,7,Araguína
Araguaína,Queimadas,Pouco degradado,5,Araguína
Araguaína,Roça de toco,Não possui degradação,2,Araguína
Araguaína,Roça de toco,Pouco degradado,3,Araguína
Araguaína,Uso de agrotóxicos,Degradação Média,2,Araguína
Araguaína,Uso de agrotóxicos,Não possui degradação,5,Araguína
Araguaína,Uso de agrotóxicos,Pouco degradado,20,Araguína
Aurora do Tocantins,Aração,Não possui degradação,1,Taguatinga do Tocantins
Aurora do Tocantins,Aração,Pouco degradado,4,Taguatinga do Tocantins
Aurora do Tocantins,Gradagem,Não possui degradação,1,Taguatinga do Tocantins
Aurora do Tocantins,Gradagem,Pouco degradado,4,Taguatinga do Tocantins
Aurora do Tocantins,Não usa,Pouco degradado,1,Taguatinga do Tocantins
Aurora do Tocantins,Pastagem nativa,Pouco degradado,1,Taguatinga do Tocantins
Aurora do Tocantins,Roça de toco,Pouco degradado,1,Taguatinga do Tocantins
Aurora do Tocantins,Uso de agrotóxicos,Não possui degradação,1,Taguatinga do Tocantins
Aurora do Tocantins,Uso de agrotóxicos,Pouco degradado,1,Taguatinga do Tocantins
Axixá do Tocantins,Aração,Não possui degradação,5,Araguatins
Axixá do Tocantins,Aração,Pouco degradado,6,Araguatins
Axixá do Tocantins,Gradagem,Não possui degradação,5,Araguatins
Axixá do Tocantins,Gradagem,Pouco degradado,6,Araguatins
Axixá do Tocantins,Não usa,Pouco degradado,2,Araguatins
Axixá do Tocantins,Plantio convencional,Degradação Média,1,Araguatins
Axixá do Tocantins,Plantio convencional,Não possui degradação,4,Araguatins
Axixá do Tocantins,Plantio convencional,Pouco degradado,10,Araguatins
Axixá do Tocantins,Queimadas,Pouco degradado,3,Araguatins
Axixá do Tocantins,Roça de toco,Degradação Média,1,Araguatins
Axixá do Tocantins,Uso de agrotóxicos,Degradação Média,1,Araguatins
Axixá do Tocantins,Uso de agrotóxicos,Não possui degradação,8,Araguatins
Axixá do Tocantins,Uso de agrotóxicos,Pouco degradado,9,Araguatins
Babaçulândia,Aração,Pouco degradado,4,Araguína
Babaçulândia,Gradagem,Pouco degradado,4,Araguína
Babaçulândia,Pastagem nativa,Degradação Média,1,Araguína
Babaçulândia,Pastagem nativa,Pouco degradado,4,Araguína
Babaçulândia,Plantio convencional,Degradação Média,1,Araguína
Babaçulândia,Plantio convencional,Pouco degradado,4,Araguína
Babaçulândia,Queimadas,Pouco degradado,1,Araguína
Babaçulândia,Roça de toco,Degradação Média,1,Araguína
Babaçulândia,Roça de toco,Pouco degradado,3,Araguína
Bandeirantes do Tocantins,Aração,Degradação Média,2,Colinas
