municipio_ibge,uso_de_praticas_sustentaveis_,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,total_respostas,regional
Abreulândia,Aceiros,Pouco degradado,1,Paraiso
Abreulândia,Adubação,Pouco degradado,1,Paraiso
Abreulândia,Calagem,Não possui degradação,1,Paraiso
Abreulândia,Não usa,Pouco degradado,2,Paraiso
Aliança do Tocantins,Aceiros,Degradação Média,3,Gurupi
Aliança do Tocantins,Aceiros,Não possui degradação,1,Gurupi
Aliança do Tocantins,Aceiros,Pouco degradado,1,Gurupi
Aliança do Tocantins,Adubação,Degradação Média,2,Gurupi
Aliança do Tocantins,Adubação,Muito degradado,1,Gurupi
Aliança do Tocantins,Calagem,Degradação Média,4,Gurupi
Aliança do Tocantins,Calagem,Não possui degradação,1,Gurupi
Aliança do Tocantins,Calagem,Pouco degradado,1,Gurupi
Aliança do Tocantins,Consórcio,Não possui degradação,1,Gurupi
Aliança do Tocantins,Consórcio,Pouco degradado,1,Gurupi
Aliança do Tocantins,Ilp - integração lavoura pecuária,Pouco degradado,1,Gurupi
Aliança do Tocantins,Não usa,Pouco degradado,1,Gurupi
Aliança do Tocantins,Recuperação de pastagens,Pouco degradado,1,Gurupi
Almas,Aceiros,Não possui degradação,7,Taguatinga do Tocantins
Almas,Aceiros,Pouco degradado,1,Taguatinga do Tocantins
Almas,Adubação,Não possui degradação,3,Taguatinga do Tocantins
Almas,Adubação,Pouco degradado,2,Taguatinga do Tocantins
Almas,Adubação verde,Não possui degradação,3,Taguatinga do Tocantins
Almas,Adubação verde,Pouco degradado,1,Taguatinga do Tocantins
Almas,Calagem,Não possui degradação,5,Taguatinga do Tocantins
Almas,Consórcio,Não possui degradação,1,Taguatinga do Tocantins
Almas,Curva de nível,Não possui degradação,2,Taguatinga do Tocantins
Almas,Descarte correto de embalagens,Não possui degradação,3,Taguatinga do Tocantins
Almas,Descarte correto de embalagens,Pouco degradado,1,Taguatinga do Tocantins
Almas,Plantio direto,Não possui degradação,1,Taguatinga do Tocantins
Almas,Reaproveitamento de residuos,Não possui degradação,4,Taguatinga do Tocantins
Almas,Reaproveitamento de residuos,Pouco degradado,1,Taguatinga do Tocantins
Almas,Recuperação de pastagens,Não possui degradação,3,Taguatinga do Tocantins
Almas,Rotação de cultura,Não possui degradação,2,Taguatinga do Tocantins
Alvorada,Aceiros,Não possui degradação,4,Gurupi
Alvorada,Aceiros,Pouco degradado,2,Gurupi
Alvorada,Adubação,Pouco degradado,1,Gurupi
Alvorada,Calagem,Pouco degradado,1,Gurupi
Alvorada,Descarte correto de embalagens,Pouco degradado,1,Gurupi
Alvorada,Não usa,Não possui degradação,1,Gurupi
Alvorada,Recuperação de pastagens,Não possui degradação,1,Gurupi
Ananás,Aceiros,Não possui degradação,4,Araguatins
Ananás,Aceiros,Pouco degradado,7,Araguatins
Ananás,Adubação,Não possui degradação,2,Araguatins
Ananás,Calagem,Não possui degradação,1,Araguatins
Ananás,Consórcio,Não possui degradação,1,Araguatins
Ananás,Consórcio,Pouco degradado,7,Araguatins
Ananás,Descarte correto de embalagens,Não possui degradação,3,Araguatins
Ananás,Plantio direto,Não possui degradação,1,Araguatins
Ananás,Recuperação de pastagens,Não possui degradação,1,Araguatins
Ananás,Rotação de cultura,Não possui degradação,4,Araguatins
Angico,Aceiros,Degradação Média,3,Araguatins
Angico,Aceiros,Não possui degradação,1,Araguatins
Angico,Adubação,Degradação Média,2,Araguatins
Angico,Consórcio,Degradação Média,2,Araguatins
Angico,Consórcio,Não possui degradação,1,Araguatins
Angico,Recuperação de pastagens,Degradação Média,1,Araguatins
Angico,Rotação de cultura,Degradação Média,2,Araguatins
Angico,Rotação de cultura,Não possui degradação,1,Araguatins
Aparecida do Rio Negro,Aceiros,Não possui degradação,1,Porto Nacional
Aparecida do Rio Negro,Adubação,Pouco degradado,1,Porto Nacional
Aparecida do Rio Negro,Calagem,Não possui degradação,1,Porto Nacional
Aparecida do Rio Negro,Calagem,Pouco degradado,1,Porto Nacional
Aparecida do Rio Negro,Consórcio,Pouco degradado,1,Porto Nacional
Aparecida do Rio Negro,Reaproveitamento de residuos,Pouco degradado,1,Porto Nacional
Aparecida do Rio Negro,Rotação de cultura,Pouco degradado,1,Porto Nacional
Aragominas,Aceiros,Degradação Média,1,Araguína
Aragominas,Aceiros,Não possui degradação,1,Araguína
Aragominas,Aceiros,Pouco degradado,5,Araguína
Aragominas,Adubação,Degradação Média,1,Araguína
Aragominas,Plantio direto,Pouco degradado,1,Araguína
Araguanã,Aceiros,Degradação Média,1,Araguína
Araguanã,Aceiros,Não possui degradação,5,Araguína
Araguanã,Aceiros,Pouco degradado,8,Araguína
Araguanã,Adubação,Não possui degradação,1,Araguína
Araguanã,Adubação,Pouco degradado,2,Araguína
Araguanã,Adubação verde,Não possui degradação,2,Araguína
Araguanã,Adubação verde,Pouco degradado,3,Araguína
Araguanã,Plantio direto,Não possui degradação,1,Araguína
Araguanã,Plantio direto,Pouco degradado,2,Araguína
Araguanã,Rotação de cultura,Não possui degradação,2,Araguína
Araguanã,Rotação de cultura,Pouco degradado,6,Araguína
Araguatins,Aceiros,Não possui degradação,4,Araguatins
Araguatins,Adubação,Não possui degradação,3,Araguatins
Araguatins,Adubação verde,Não possui degradação,3,Araguatins
Araguatins,Calagem,Muito degradado,1,Araguatins
Araguatins,Calagem,Não possui degradação,2,Araguatins
Araguatins,Consórcio,Não possui degradação,3,Araguatins
Araguatins,Curva de nível,Não possui degradação,1,Araguatins
Araguatins,Descarte correto de embalagens,Não possui degradação,4,Araguatins
Araguatins,Floresta,Não possui degradação,1,Araguatins
Araguatins,Ilp - integração lavoura pecuária,Não possui degradação,1,Araguatins
Araguatins,Ilpf - integração lavoura pecuária,Não possui degradação,1,Araguatins
Araguatins,Não usa,Muito degradado,1,Araguatins
Araguatins,Plantio direto,Não possui degradação,3,Araguatins
Araguatins,Reaproveitamento de residuos,Não possui degradação,4,Araguatins
Araguatins,Recuperação de pastagens,Muito degradado,1,Araguatins
Araguatins,Recuperação de pastagens,Não possui degradação,3,Araguatins
Araguatins,Rotação de cultura,Muito degradado,1,Araguatins
Araguatins,Rotação de cultura,Não possui degradação,3,Araguatins
Araguaçu,Aceiros,Degradação Média,1,Gurupi
Araguaçu,Aceiros,Não possui degradação,1,Gurupi
Araguaçu,Adubação,Degradação Média,1,Gurupi
Araguaçu,Calagem,Degradação Média,1,Gurupi
Araguaçu,Calagem,Pouco degradado,1,Gurupi
Araguaçu,Consórcio,Pouco degradado,1,Gurupi
Araguaçu,Curva de nível,Degradação Média,1,Gurupi
Araguaçu,Não usa,Pouco degradado,1,Gurupi
Araguaçu,Plantio direto,Degradação Média,1,Gurupi
Araguaçu,Reaproveitamento de residuos,Degradação Média,1,Gurupi
Araguaçu,Reaproveitamento de residuos,Pouco degradado,1,Gurupi
Araguaçu,Recuperação de pastagens,Degradação Média,2,Gurupi
Araguaçu,Recuperação de pastagens,Não possui degradação,1,Gurupi
Araguaçu,Recuperação de pastagens,Pouco degradado,1,Gurupi
Araguaçu,Rotação de cultura,Pouco degradado,1,Gurupi
Araguaína,Aceiros,Degradação Média,1,Araguína
Araguaína,Aceiros,Não possui degradação,6,Araguína
Araguaína,Aceiros,Pouco degradado,20,Araguína
Araguaína,Adubação,Degradação Média,2,Araguína
Araguaína,Adubação,Não possui degradação,5,Araguína
Araguaína,Adubação,Pouco degradado,11,Araguína
Araguaína,Adubação verde,Pouco degradado,1,Araguína
Araguaína,Apiário,Pouco degradado,1,Araguína
Araguaína,Calagem,Degradação Média,1,Araguína
Araguaína,Calagem,Não possui degradação,2,Araguína
Araguaína,Calagem,Pouco degradado,6,Araguína
Araguaína,Consórcio,Não possui degradação,3,Araguína
Araguaína,Consórcio,Pouco degradado,2,Araguína
Araguaína,Descarte correto de embalagens,Não possui degradação,2,Araguína
Araguaína,Plantio direto,Não possui degradação,1,Araguína
Araguaína,Reaproveitamento de residuos,Pouco degradado,2,Araguína
Araguaína,Recuperação de pastagens,Degradação Média,1,Araguína
