enfrenta_dificuldades_para_manter_atividade_produtiva_e_o_atendimento_domestico_em_virtude_de_escass,municipio_ibge,regional
Não,Miracema do Tocantins,Miracema
Não,Nova Rosalândia,Paraiso
Não,Dianópolis,Taguatinga do Tocantins
Não,Dianópolis,Taguatinga do Tocantins
Não,Nova Olinda,Araguína
Não,dois Irmãos do Tocantins,Paraiso
Não,Miracema do Tocantins,Miracema
Não,Paraíso do Tocantins,Paraiso
"Sim, período de seca",São Bento do Tocantins,Araguatins
Não,Araguaçu,Gurupi
"Sim, período de seca",darcinópolis,Araguatins
Não,Couto Magalhães,Colinas
"Sim, período de seca",Palmas,Porto Nacional
Não,Filadélfia,Araguína
Não,Xambioá,Araguína
Não,Chapada de Areia,Paraiso
Não,Dianópolis,Taguatinga do Tocantins
Não,dois Irmãos do Tocantins,Paraiso
Não,Talismã,Gurupi
"Sim, período de seca",Dianópolis,Taguatinga do Tocantins
Não,Tocantínia,Miracema
Não,Miracema do Tocantins,Miracema
Não,Couto Magalhães,Colinas
"Sim, período de seca",Carmolândia,Araguína
Não,Rio Sono,Miracema
"Sim, período de seca",Carmolândia,Araguína
Não,Caseara,Paraiso
"Sim, período de seca",Paraíso do Tocantins,Paraiso
Não,Dianópolis,Taguatinga do Tocantins
"Sim, período de seca",Dianópolis,Taguatinga do Tocantins
"Sim, período de seca",Carmolândia,Araguína
"Sim, período de seca",Palmas,Porto Nacional
Não,Couto Magalhães,Colinas
"Sim, período de seca",Carmolândia,Araguína
"Sim, período de seca",Carmolândia,Araguína
Não,Porto Nacional,Porto Nacional
Não,Babaçulândia,Araguína
"Sim, período de seca",Pugmil,Paraiso
Não,Caseara,Paraiso
Não,Caseara,Paraiso
Não,Aragominas,Araguína
"Sim, período de seca",Monte do Carmo,Porto Nacional
Não,Aurora do Tocantins,Taguatinga do Tocantins
Não,Araguatins,Araguatins
Não,Luzinópolis,Araguatins
"Sim, período de seca",Almas,Taguatinga do Tocantins
"Sim, período de seca",Almas,Taguatinga do Tocantins
"Sim, período de seca",Peixe,Gurupi
"Sim, período de seca",Ananás,Araguatins
Não,Palmeirópolis,Gurupi
Não,Tocantínia,Miracema
Não,Palmas,Porto Nacional
"Sim, período de seca",Ananás,Araguatins
"Sim, período de seca",Palmas,Porto Nacional
"Sim, período de seca",Sítio Novo do Tocantins,Araguatins
"Sim, período de seca",Angico,Araguatins
"Sim, o ano todo",Novo Acordo,Porto Nacional
Não,Wanderlândia,Araguína
"Sim, período de seca",Almas,Taguatinga do Tocantins
Não,Figueirópolis,Gurupi
Não,Babaçulândia,Araguína
"Sim, período de seca",Marianópolis do Tocantins,Paraiso
"Sim, período de seca",Sítio Novo do Tocantins,Araguatins
"Sim, o ano todo",Babaçulândia,Araguína
"Sim, período de seca",Pium,Paraiso
"Sim, período de seca",Chapada de Areia,Paraiso
"Sim, período de seca",Chapada de Areia,Paraiso
"Sim, período de seca",Angico,Araguatins
Não,Paraíso do Tocantins,Paraiso
"Sim, período de seca",Carmolândia,Araguína
