codigo_final,mean_degradacao,n_obs
1700251.0,0.75,4
1700301.0,,0
1700350.0,1.625,8
1700400.0,0.18181818181818182,11
1700707.0,0.3333333333333333,9
1701002.0,0.5,14
1701051.0,1.5,4
1701101.0,0.5,2
1701309.0,1.125,8
1702000.0,1.1666666666666667,6
1702109.0,0.8571428571428571,28
1702158.0,0.7058823529411765,17
1702208.0,0.6,5
1702703.0,0.8333333333333334,6
1702901.0,0.6666666666666666,21
1703008.0,1.2,5
1703057.0,1.5,6
1703107.0,0.9166666666666666,12
1703305.0,0.4,5
1703826.0,1.0,2
1703867.0,1.3333333333333333,6
1703883.0,0.3333333333333333,3
1703909.0,0.07142857142857142,14
1704105.0,0.0,1
1704600.0,1.0909090909090908,22
1705102.0,1.2941176470588236,17
1706001.0,1.0,7
1706100.0,0.75,20
1706258.0,2.0,2
1706506.0,1.5,2
1707009.0,0.4,35
1707108.0,0.5416666666666666,24
1707207.0,1.0,17
1707306.0,1.6,5
1707405.0,0.0,2
1707553.0,1.5,6
1707652.0,0.5555555555555556,9
1707702.0,1.0952380952380953,21
1708254.0,1.0,6
1709005.0,1.0,9
1709302.0,0.36363636363636365,22
1709500.0,0.9444444444444444,18
1709807.0,1.0,6
1710706.0,0.5,4
1711100.0,0.0,2
1711506.0,1.5,6
1711902.0,0.5,6
1712009.0,0.0,1
1712454.0,1.0,6
1712504.0,1.5185185185185186,27
1713205.0,0.8823529411764706,17
1713304.0,0.17391304347826086,46
1713601.0,1.2857142857142858,7
1713700.0,0.6923076923076923,13
1713809.0,0.7142857142857143,14
1713957.0,1.3333333333333333,6
1714880.0,0.875,16
1715002.0,2.0,15
1715101.0,1.5,4
1715259.0,0.1111111111111111,9
1715754.0,1.0,2
1716109.0,1.0,15
1716208.0,0.6176470588235294,34
1716505.0,0.7,10
1716604.0,1.2307692307692308,13
1716703.0,0.7142857142857143,7
1717206.0,0.8421052631578947,19
1717503.0,0.7037037037037037,27
1717800.0,1.0,11
1718006.0,2.0,4
1718204.0,,0
1718303.0,2.0,1
1718451.0,0.6666666666666666,3
1718550.0,0.2857142857142857,7
1718659.0,1.3333333333333333,3
1718709.0,0.7,10
1718758.0,0.3333333333333333,15
1718865.0,1.4545454545454546,11
1718881.0,1.0,2
1718899.0,1.75,4
1720002.0,0.75,4
1720101.0,1.0,1
1720200.0,2.0,1
1720259.0,1.0,4
1720655.0,1.6363636363636365,11
1720804.0,2.0,5
1720853.0,1.0,6
1720978.0,0.23529411764705882,17
1721000.0,0.25,4
1721109.0,1.0,6
1721257.0,1.0,1
1722081.0,0.6666666666666666,3
1722107.0,1.5,22
