,codigo_final,mean_degradacao,n_obs,NOME
0,1700251.0,0.75,4,Abreulândia
1,1700301.0,,0,Aguiarnópolis
2,1700350.0,1.625,8,Aliança do Tocantins
3,1700400.0,0.1818181818181818,11,Almas
4,1700707.0,0.3333333333333333,9,Alvorada
5,1701002.0,0.5,14,Ananás
6,1701051.0,1.5,4,Angico
7,1701101.0,0.5,2,Aparecida do Rio Negro
8,1701309.0,1.125,8,Aragominas
9,1702000.0,1.1666666666666667,6,Araguaçu
10,1702109.0,0.8571428571428571,28,Araguaína
11,1702158.0,0.7058823529411765,17,Araguanã
12,1702208.0,0.6,5,Araguatins
13,1702703.0,0.8333333333333334,6,Aurora do Tocantins
14,1702901.0,0.6666666666666666,21,Axixá do Tocantins
15,1703008.0,1.2,5,Babaçulândia
16,1703057.0,1.5,6,Bandeirantes do Tocantins
17,1703107.0,0.9166666666666666,12,Barrolândia
18,1703305.0,0.4,5,Bom Jesus do Tocantins
19,1703826.0,1.0,2,Cachoeirinha
20,1703867.0,1.3333333333333333,6,Cariri do Tocantins
21,1703883.0,0.3333333333333333,3,Carmolândia
22,1703909.0,0.0714285714285714,14,Caseara
23,1704105.0,0.0,1,Centenário
24,1704600.0,1.0909090909090908,22,Chapada de Areia
25,1705102.0,1.2941176470588236,17,Chapada da Natividade
26,1706001.0,1.0,7,Couto Magalhães
27,1706100.0,0.75,20,Cristalândia
28,1706258.0,2.0,2,Crixás do Tocantins
29,1706506.0,1.5,2,darcinópolis
30,1707009.0,0.4,35,Dianópolis
31,1707108.0,0.5416666666666666,24,Divinópolis do Tocantins
32,1707207.0,1.0,17,dois Irmãos do Tocantins
33,1707306.0,1.6,5,Dueré
34,1707405.0,0.0,2,Esperantina
35,1707553.0,1.5,6,Fátima
36,1707652.0,0.5555555555555556,9,Figueirópolis
37,1707702.0,1.0952380952380951,21,Filadélfia
38,1708254.0,1.0,6,Fortaleza do Tabocão
39,1709005.0,1.0,9,Goiatins
40,1709302.0,0.3636363636363636,22,Guaraí
41,1709500.0,0.9444444444444444,18,Gurupi
42,1709807.0,1.0,6,Ipueiras
43,1710706.0,0.5,4,Itaguatins
44,1711100.0,0.0,2,Itaporã do Tocantins
45,1711506.0,1.5,6,Jaú do Tocantins
46,1711902.0,0.5,6,Lagoa da Confusão
47,1712009.0,0.0,1,Lajeado
48,1712454.0,1.0,6,Luzinópolis
49,1712504.0,1.5185185185185186,27,Marianópolis do Tocantins
50,1713205.0,0.8823529411764706,17,Miracema do Tocantins
51,1713304.0,0.1739130434782608,46,Miranorte
52,1713601.0,1.2857142857142858,7,Monte do Carmo
53,1713700.0,0.6923076923076923,13,Monte Santo do Tocantins
54,1713809.0,0.7142857142857143,14,Palmeiras do Tocantins
55,1713957.0,1.3333333333333333,6,Muricilândia
56,1714880.0,0.875,16,Nova Olinda
57,1715002.0,2.0,15,Nova Rosalândia
58,1715101.0,1.5,4,Novo Acordo
59,1715259.0,0.1111111111111111,9,Novo Jardim
60,1715754.0,1.0,2,Palmeirópolis
61,1716109.0,1.0,15,Paraíso do Tocantins
62,1716208.0,0.6176470588235294,34,Paranã
63,1716505.0,0.7,10,Pedro Afonso
64,1716604.0,1.2307692307692308,13,Peixe
65,1716703.0,0.7142857142857143,7,Colméia
66,1717206.0,0.8421052631578947,19,Piraquê
67,1717503.0,0.7037037037037037,27,Pium
68,1717800.0,1.0,11,Ponte Alta do Bom Jesus
69,1718006.0,2.0,4,Porto Alegre do Tocantins
70,1718204.0,,0,Porto Nacional
71,1718303.0,2.0,1,Praia Norte
72,1718451.0,0.6666666666666666,3,Pugmil
73,1718550.0,0.2857142857142857,7,Riachinho
74,1718659.0,1.3333333333333333,3,Rio da Conceição
75,1718709.0,0.7,10,Rio dos Bois
76,1718758.0,0.3333333333333333,15,Rio Sono
77,1718865.0,1.4545454545454546,11,Santa Fé do Araguaia
78,1718881.0,1.0,2,Santa Maria do Tocantins
79,1718899.0,1.75,4,Santa Rita do Tocantins
80,1720002.0,0.75,4,Santa Terezinha do Tocantins
81,1720101.0,1.0,1,São Bento do Tocantins
82,1720200.0,2.0,1,São Miguel do Tocantins
83,1720259.0,1.0,4,São Salvador do Tocantins
84,1720655.0,1.6363636363636365,11,Silvanópolis
85,1720804.0,2.0,5,Sítio Novo do Tocantins
86,1720853.0,1.0,6,Sucupira
87,1720978.0,0.2352941176470588,17,Talismã
88,1721000.0,0.25,4,Palmas
89,1721109.0,1.0,6,Tocantínia
90,1721257.0,1.0,1,Tupirama
91,1722081.0,0.6666666666666666,3,Wanderlândia
92,1722107.0,1.5,22,Xambioá
