municipio_ibge,uso_de_praticas_convencionais,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,total_respostas,regional,degradacao_ord,pratica_aração,pratica_controle biológico de pragas e doenças.,pratica_gradagem,pratica_monocultura,pratica_não usa,pratica_pastagem nativa,pratica_plantio convencional,pratica_queimadas,pratica_roça de toco,pratica_uso de agrotóxicos,n_praticas_linha
Abreulândia,aração,nao possui degradacao,1,Paraiso,0,True,False,False,False,False,False,False,False,False,False,1
Abreulândia,aração,pouco degradado,3,Paraiso,1,True,False,False,False,False,False,False,False,False,False,1
Abreulândia,gradagem,nao possui degradacao,1,Paraiso,0,False,False,True,False,False,False,False,False,False,False,1
Abreulândia,gradagem,pouco degradado,3,Paraiso,1,False,False,True,False,False,False,False,False,False,False,1
Abreulândia,plantio convencional,pouco degradado,1,Paraiso,1,False,False,False,False,False,False,True,False,False,False,1
Abreulândia,uso de agrotóxicos,pouco degradado,1,Paraiso,1,False,False,False,False,False,False,False,False,False,True,1
Aliança do Tocantins,aração,degradacao media,4,Gurupi,2,True,False,False,False,False,False,False,False,False,False,1
Aliança do Tocantins,aração,muito degradado,1,Gurupi,3,True,False,False,False,False,False,False,False,False,False,1
Aliança do Tocantins,aração,nao possui degradacao,1,Gurupi,0,True,False,False,False,False,False,False,False,False,False,1
Aliança do Tocantins,gradagem,degradacao media,4,Gurupi,2,False,False,True,False,False,False,False,False,False,False,1
Aliança do Tocantins,gradagem,muito degradado,1,Gurupi,3,False,False,True,False,False,False,False,False,False,False,1
Aliança do Tocantins,gradagem,nao possui degradacao,1,Gurupi,0,False,False,True,False,False,False,False,False,False,False,1
Aliança do Tocantins,monocultura,degradacao media,2,Gurupi,2,False,False,False,True,False,False,False,False,False,False,1
Aliança do Tocantins,não usa,pouco degradado,1,Gurupi,1,False,False,False,False,True,False,False,False,False,False,1
Aliança do Tocantins,plantio convencional,degradacao media,4,Gurupi,2,False,False,False,False,False,False,True,False,False,False,1
Aliança do Tocantins,plantio convencional,muito degradado,1,Gurupi,3,False,False,False,False,False,False,True,False,False,False,1
