municipio_ibge,uso_de_praticas_sustentaveis_,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,total_respostas,regional,degradacao_ord,pratica_aceiros,pratica_adubação,pratica_adubação verde,pratica_apiário,pratica_calagem,pratica_consórcio,pratica_curva de nível,pratica_descarte correto de embalagens,pratica_floresta,pratica_ilp - integração lavoura pecuária,pratica_ilpf - integração lavoura pecuária,pratica_não usa,pratica_outros,pratica_plantio direto,pratica_reaproveitamento de residuos,pratica_recuperação de pastagens,pratica_rotação de cultura,n_praticas_linha
Abreulândia,aceiros,pouco degradado,1,Paraiso,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Abreulândia,adubação,pouco degradado,1,Paraiso,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Abreulândia,calagem,nao possui degradacao,1,Paraiso,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
Abreulândia,não usa,pouco degradado,2,Paraiso,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
Aliança do Tocantins,aceiros,degradacao media,3,Gurupi,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Aliança do Tocantins,aceiros,nao possui degradacao,1,Gurupi,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Aliança do Tocantins,aceiros,pouco degradado,1,Gurupi,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Aliança do Tocantins,adubação,degradacao media,2,Gurupi,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Aliança do Tocantins,adubação,muito degradado,1,Gurupi,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Aliança do Tocantins,calagem,degradacao media,4,Gurupi,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
Aliança do Tocantins,calagem,nao possui degradacao,1,Gurupi,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
Aliança do Tocantins,calagem,pouco degradado,1,Gurupi,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
Aliança do Tocantins,consórcio,nao possui degradacao,1,Gurupi,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
Aliança do Tocantins,consórcio,pouco degradado,1,Gurupi,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
Aliança do Tocantins,ilp - integração lavoura pecuária,pouco degradado,1,Gurupi,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1
Aliança do Tocantins,não usa,pouco degradado,1,Gurupi,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
Aliança do Tocantins,recuperação de pastagens,pouco degradado,1,Gurupi,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
Almas,aceiros,nao possui degradacao,7,Taguatinga do Tocantins,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Almas,aceiros,pouco degradado,1,Taguatinga do Tocantins,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Almas,adubação,nao possui degradacao,3,Taguatinga do Tocantins,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Almas,adubação,pouco degradado,2,Taguatinga do Tocantins,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Almas,adubação verde,nao possui degradacao,3,Taguatinga do Tocantins,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Almas,adubação verde,pouco degradado,1,Taguatinga do Tocantins,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Almas,calagem,nao possui degradacao,5,Taguatinga do Tocantins,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
Almas,consórcio,nao possui degradacao,1,Taguatinga do Tocantins,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
Almas,curva de nível,nao possui degradacao,2,Taguatinga do Tocantins,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
Almas,descarte correto de embalagens,nao possui degradacao,3,Taguatinga do Tocantins,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
Almas,descarte correto de embalagens,pouco degradado,1,Taguatinga do Tocantins,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
