codigo_ibge,municipio_ibge,n_obs,prop_pratica_aceiros,prop_pratica_adubação,prop_pratica_adubação verde,prop_pratica_apiário,prop_pratica_calagem,prop_pratica_consórcio,prop_pratica_curva de nível,prop_pratica_descarte correto de embalagens,prop_pratica_floresta,prop_pratica_ilp - integração lavoura pecuária,prop_pratica_ilpf - integração lavoura pecuária,prop_pratica_não usa,prop_pratica_outros,prop_pratica_plantio direto,prop_pratica_reaproveitamento de residuos,prop_pratica_recuperação de pastagens,prop_pratica_rotação de cultura,prop_any_pratica,mean_n_praticas
Abreulândia,Abreulândia,4,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Aliança do Tocantins,Aliança do Tocantins,13,0.23076923076923078,0.15384615384615385,0.0,0.0,0.23076923076923078,0.15384615384615385,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0,1.0,1.0
Almas,Almas,16,0.125,0.125,0.125,0.0,0.0625,0.0625,0.0625,0.125,0.0,0.0,0.0,0.0,0.0,0.0625,0.125,0.0625,0.0625,1.0,1.0
Alvorada,Alvorada,7,0.2857142857142857,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,1.0,1.0
Ananás,Ananás,10,0.2,0.1,0.0,0.0,0.1,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,1.0,1.0
Angico,Angico,8,0.25,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.25,1.0,1.0
Aparecida do Rio Negro,Aparecida do Rio Negro,7,0.14285714285714285,0.14285714285714285,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,1.0,1.0
Aragominas,Aragominas,5,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,1.0
Araguanã,Araguanã,11,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.18181818181818182,1.0,1.0
Araguatins,Araguatins,18,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.1111111111111111,1.0,1.0
Araguaçu,Araguaçu,15,0.13333333333333333,0.06666666666666667,0.0,0.0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.13333333333333333,0.2,0.06666666666666667,1.0,1.0
Araguaína,Araguaína,20,0.15,0.15,0.05,0.05,0.15,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1,0.1,1.0,1.0
Aurora do Tocantins,Aurora do Tocantins,8,0.25,0.25,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,1.0
Axixá do Tocantins,Axixá do Tocantins,13,0.23076923076923078,0.15384615384615385,0.0,0.0,0.15384615384615385,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,1.0,1.0
Babaçulândia,Babaçulândia,14,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0,1.0
Bandeirantes do Tocantins,Bandeirantes do Tocantins,10,0.2,0.1,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.2,1.0,1.0
Barrolândia,Barrolândia,13,0.23076923076923078,0.15384615384615385,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.15384615384615385,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.15384615384615385,0.0,1.0,1.0
Bom Jesus do Tocantins,Bom Jesus do Tocantins,10,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.1,1.0,1.0
Cachoeirinha,Cachoeirinha,8,0.125,0.125,0.0,0.0,0.125,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.125,1.0,1.0
Cariri do Tocantins,Cariri do Tocantins,11,0.18181818181818182,0.18181818181818182,0.0,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.18181818181818182,1.0,1.0
Carmolândia,Carmolândia,3,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,1.0
Caseara,Caseara,10,0.2,0.2,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,1.0,1.0
Centenário,Centenário,3,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,1.0
Chapada da Natividade,Chapada da Natividade,12,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,1.0,1.0
Chapada de Areia,Chapada de Areia,17,0.11764705882352941,0.17647058823529413,0.11764705882352941,0.0,0.11764705882352941,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.058823529411764705,0.11764705882352941,1.0,1.0
Colméia,Colméia,11,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0,0.18181818181818182,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,1.0,1.0
Couto Magalhães,Couto Magalhães,22,0.045454545454545456,0.09090909090909091,0.13636363636363635,0.0,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.13636363636363635,1.0,1.0
Cristalândia,Cristalândia,16,0.1875,0.0625,0.0625,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.1875,0.0,0.0625,1.0,1.0
Crixás do Tocantins,Crixás do Tocantins,4,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Dianópolis,Dianópolis,34,0.08823529411764706,0.08823529411764706,0.08823529411764706,0.0,0.08823529411764706,0.08823529411764706,0.058823529411764705,0.0,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.0,0.08823529411764706,0.08823529411764706,0.08823529411764706,0.08823529411764706,1.0,1.0
Divinópolis do Tocantins,Divinópolis do Tocantins,20,0.1,0.15,0.0,0.0,0.1,0.05,0.05,0.1,0.0,0.0,0.0,0.05,0.0,0.1,0.1,0.1,0.1,1.0,1.0
Dueré,Dueré,9,0.3333333333333333,0.4444444444444444,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Esperantina,Esperantina,10,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,1.0,1.0
Figueirópolis,Figueirópolis,8,0.25,0.25,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.125,1.0,1.0
