municipio_ibge,uso_de_praticas_sustentaveis_,total_respostas
Abreulândia,Aceiros,3
Abreulândia,Adubação,3
Abreulândia,Calagem,3
Abreulândia,Não usa,2
Abreulândia,Plantio direto,1
Abreulândia,Rotação de cultura,1
Aguiarnópolis,Aceiros,1
Aguiarnópolis,Adubação,2
Aguiarnópolis,Consórcio,1
Aguiarnópolis,Rotação de cultura,1
Aliança do Tocantins,Aceiros,5
Aliança do Tocantins,Adubação,3
Aliança do Tocantins,Calagem,6
Aliança do Tocantins,Consórcio,2
Aliança do Tocantins,Ilp - integração lavoura pecuária,1
Aliança do Tocantins,Não usa,1
Aliança do Tocantins,Recuperação de pastagens,1
Almas,Aceiros,14
Almas,Adubação,6
Almas,Adubação verde,9
Almas,Calagem,6
Almas,Consórcio,2
Almas,Curva de nível,4
Almas,Descarte correto de embalagens,5
Almas,Plantio direto,1
Almas,Reaproveitamento de residuos,7
Almas,Recuperação de pastagens,3
Almas,Rotação de cultura,5
Alvorada,Aceiros,6
Alvorada,Adubação,2
Alvorada,Calagem,1
Alvorada,Descarte correto de embalagens,1
Alvorada,Não usa,2
Alvorada,Recuperação de pastagens,1
Ananás,Aceiros,13
Ananás,Adubação,2
Ananás,Calagem,1
Ananás,Consórcio,14
Ananás,Descarte correto de embalagens,3
Ananás,Plantio direto,1
Ananás,Reaproveitamento de residuos,4
Ananás,Recuperação de pastagens,1
Ananás,Rotação de cultura,4
Angico,Aceiros,6
Angico,Adubação,5
Angico,Consórcio,5
Angico,Descarte correto de embalagens,2
Angico,Recuperação de pastagens,1
Angico,Rotação de cultura,5
Aparecida do Rio Negro,Aceiros,1
Aparecida do Rio Negro,Adubação,1
Aparecida do Rio Negro,Calagem,2
Aparecida do Rio Negro,Consórcio,1
Aparecida do Rio Negro,Reaproveitamento de residuos,1
Aparecida do Rio Negro,Rotação de cultura,1
Aragominas,Aceiros,10
Aragominas,Adubação,2
Aragominas,Calagem,2
Aragominas,Plantio direto,1
Araguanã,Aceiros,14
Araguanã,Adubação,3
Araguanã,Adubação verde,5
Araguanã,Plantio direto,3
Araguanã,Rotação de cultura,8
Araguatins,Aceiros,8
Araguatins,Adubação,7
Araguatins,Adubação verde,4
Araguatins,Calagem,5
Araguatins,Consórcio,6
Araguatins,Curva de nível,2
Araguatins,Descarte correto de embalagens,6
Araguatins,Floresta,1
Araguatins,Ilp - integração lavoura pecuária,1
Araguatins,Ilpf - integração lavoura pecuária,1
Araguatins,Não usa,1
Araguatins,Plantio direto,7
Araguatins,Reaproveitamento de residuos,6
Araguatins,Recuperação de pastagens,4
Araguatins,Rotação de cultura,8
Araguaçu,Aceiros,3
Araguaçu,Adubação,1
Araguaçu,Calagem,2
Araguaçu,Consórcio,1
Araguaçu,Curva de nível,1
Araguaçu,Não usa,2
Araguaçu,Plantio direto,1
Araguaçu,Reaproveitamento de residuos,2
Araguaçu,Recuperação de pastagens,5
Araguaçu,Rotação de cultura,1
Araguaína,Aceiros,36
Araguaína,Adubação,24
Araguaína,Adubação verde,1
Araguaína,Apiário,1
Araguaína,Calagem,13
Araguaína,Consórcio,9
Araguaína,Descarte correto de embalagens,2
Araguaína,Plantio direto,1
Araguaína,Reaproveitamento de residuos,4
Araguaína,Recuperação de pastagens,8
Araguaína,Rotação de cultura,8
Aurora do Tocantins,Aceiros,5
Aurora do Tocantins,Adubação,3
Aurora do Tocantins,Calagem,1
Aurora do Tocantins,Consórcio,1
Aurora do Tocantins,Reaproveitamento de residuos,2
Axixá do Tocantins,Aceiros,17
Axixá do Tocantins,Adubação,8
Axixá do Tocantins,Calagem,9
Axixá do Tocantins,Descarte correto de embalagens,3
Axixá do Tocantins,Recuperação de pastagens,6
Axixá do Tocantins,Rotação de cultura,10
Babaçulândia,Aceiros,10
Babaçulândia,Adubação,2
Babaçulândia,Adubação verde,5
Babaçulândia,Consórcio,6
Babaçulândia,Plantio direto,10
Babaçulândia,Reaproveitamento de residuos,6
Babaçulândia,Recuperação de pastagens,5
Babaçulândia,Rotação de cultura,10
Bandeirantes do Tocantins,Aceiros,5
Bandeirantes do Tocantins,Adubação,3
Bandeirantes do Tocantins,Adubação verde,1
Bandeirantes do Tocantins,Consórcio,2
Bandeirantes do Tocantins,Descarte correto de embalagens,6
Bandeirantes do Tocantins,Não usa,1
Bandeirantes do Tocantins,Reaproveitamento de residuos,1
Bandeirantes do Tocantins,Recuperação de pastagens,1
Bandeirantes do Tocantins,Rotação de cultura,3
Barrolândia,Aceiros,13
Barrolândia,Adubação,8
