uso_de_praticas_sustentaveis_,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,municipio_original,Record Count,municipio_norm,COD_UF,COD,NOME,nome_norm,nome_match,COD_fuzzy,COD_UF_fuzzy,NOME_fuzzy,nome_norm_fuzzy,codigo_final,uf_final,municipio_ibge
Não Usa,Degradação Média,MARIANOPOLIS DO TOCANTINS,10,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
"Aceiros, Adubação",,PALMEIRAS DO TOCANTINS,8,palmeiras do tocantins,17.0,1713809.0,Palmeiras do Tocantins,palmeiras do tocantins,,,,,,1713809.0,17.0,Palmeiras do Tocantins
"Aceiros, Calagem, Adubação",Não possui degradação,MIRANORTE,8,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
"Aceiros, Adubação",Não possui degradação,Miranorte,7,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
"Aceiros, Adubação",Não possui degradação,MIRANORTE,6,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
"Aceiros, Calagem, Adubação",Não possui degradação,GUARAI,6,guarai,17.0,1709302.0,Guaraí,guarai,,,,,,1709302.0,17.0,Guaraí
"Aceiros, Consórcio",Pouco degradado,Ananás,6,ananas,17.0,1701002.0,Ananás,ananas,,,,,,1701002.0,17.0,Ananás
Aceiros,,Xambioa,5,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
Não Usa,,LAJEADO,5,lajeado,17.0,1712009.0,Lajeado,lajeado,,,,,,1712009.0,17.0,Lajeado
"Aceiros, Recuperação de pastagens",Pouco degradado,Araguaína,5,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
Rotação de Cultura,Não possui degradação,PARANÃ-TO,5,parana-to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
Aceiros,Não possui degradação,Talismã-TO,5,talisma-to,,,,,talisma,1720978.0,17.0,Talismã,talisma,1720978.0,17.0,Talismã
"Aceiros, Descarte correto de embalagens",Degradação Média,SÍTIO NOVO DO TOCANTINS,4,sitio novo do tocantins,17.0,1720804.0,Sítio Novo do Tocantins,sitio novo do tocantins,,,,,,1720804.0,17.0,Sítio Novo do Tocantins
"Rotação de Cultura, Aceiros, Consórcio, Recuperação de pastagens, Plantio direto",Pouco degradado,PARANÃ TO,4,parana to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
"Aceiros, Recuperação de pastagens",Pouco degradado,Piraquê,4,piraque,17.0,1717206.0,Piraquê,piraque,,,,,,1717206.0,17.0,Piraquê
Aceiros,Não possui degradação,Alvorada,4,alvorada,17.0,1700707.0,Alvorada,alvorada,,,,,,1700707.0,17.0,Alvorada
Aceiros,Degradação Média,Chapada de Areia,4,chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
Consórcio,,Tocantínia,4,tocantinia,17.0,1721109.0,Tocantínia,tocantinia,,,,,,1721109.0,17.0,Tocantínia
Adubação,Degradação Média,MARIANOPOLIS DO TOCANTINS,4,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
Aceiros,Não possui degradação,Talisma,4,talisma,17.0,1720978.0,Talismã,talisma,,,,,,1720978.0,17.0,Talismã
"Aceiros, Descarte correto de embalagens, Adubação",Pouco degradado,PALMEIRAS DO TOCANTINS,4,palmeiras do tocantins,17.0,1713809.0,Palmeiras do Tocantins,palmeiras do tocantins,,,,,,1713809.0,17.0,Palmeiras do Tocantins
Aceiros,,TUPIRAMA,4,tupirama,17.0,1721257.0,Tupirama,tupirama,,,,,,1721257.0,17.0,Tupirama
Aceiros,Pouco degradado,AXIXA DO TOCANTINS,4,axixa do tocantins,17.0,1702901.0,Axixá do Tocantins,axixa do tocantins,,,,,,1702901.0,17.0,Axixá do Tocantins
"Aceiros, Calagem",Pouco degradado,Gurupi-TO,4,gurupi-to,,,,,gurupi,1709500.0,17.0,Gurupi,gurupi,1709500.0,17.0,Gurupi
Aceiros,Pouco degradado,PONTE ALTA DO BOM JESUS,4,ponte alta do bom jesus,17.0,1717800.0,Ponte Alta do Bom Jesus,ponte alta do bom jesus,,,,,,1717800.0,17.0,Ponte Alta do Bom Jesus
Aceiros,Pouco degradado,Araguanã,4,araguana,17.0,1702158.0,Araguanã,araguana,,,,,,1702158.0,17.0,Araguanã
"Aceiros, Adubação",Pouco degradado,PIUM,3,pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
"Adubação verde, Plantio direto",Não possui degradação,CHAPADA DE AREIA,3,chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
"Aceiros, Calagem, Adubação",Pouco degradado,ARAGUAÍNA,3,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
Aceiros,Pouco degradado,MONTE DO CARMO-TO.,3,monte do carmo-to.,,,,,monte do carmo,1713601.0,17.0,Monte do Carmo,monte do carmo,1713601.0,17.0,Monte do Carmo
Adubação verde,,PARAISO DO TOCANTINS,3,paraiso do tocantins,17.0,1716109.0,Paraíso do Tocantins,paraiso do tocantins,,,,,,1716109.0,17.0,Paraíso do Tocantins
"Aceiros, Calagem",Degradação Média,PORTO ALEGRE DO TOCANTINS,3,porto alegre do tocantins,17.0,1718006.0,Porto Alegre do Tocantins,porto alegre do tocantins,,,,,,1718006.0,17.0,Porto Alegre do Tocantins
"Aceiros, Plantio direto, Adubação",,CARMOLANDIA,3,carmolandia,17.0,1703883.0,Carmolândia,carmolandia,,,,,,1703883.0,17.0,Carmolândia
"Rotação de Cultura, Aceiros, Adubação",Não possui degradação,MIRANORTE,3,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
"Plantio direto, Adubação",Degradação Média,Xambioá,3,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
Não Usa,,CASEARA,3,caseara,17.0,1703909.0,Caseara,caseara,,,,,,1703909.0,17.0,Caseara
"Adubação verde, Plantio direto",Não possui degradação,MONTE SANTO,3,monte santo,,,,,monte santo do tocantins,1713700.0,17.0,Monte Santo do Tocantins,monte santo do tocantins,1713700.0,17.0,Monte Santo do Tocantins
Não Usa,Não possui degradação,Talisma,3,talisma,17.0,1720978.0,Talismã,talisma,,,,,,1720978.0,17.0,Talismã
Aceiros,Pouco degradado,PEDRO AFONSO,3,pedro afonso,17.0,1716505.0,Pedro Afonso,pedro afonso,,,,,,1716505.0,17.0,Pedro Afonso
"Calagem, Recuperação de pastagens, Adubação",Pouco degradado,FIGUEIROPOLIS,3,figueiropolis,17.0,1707652.0,Figueirópolis,figueiropolis,,,,,,1707652.0,17.0,Figueirópolis
Aceiros,Pouco degradado,Paraiso do Tocantins,3,paraiso do tocantins,17.0,1716109.0,Paraíso do Tocantins,paraiso do tocantins,,,,,,1716109.0,17.0,Paraíso do Tocantins
"Aceiros, Adubação",,PALMEIRAS,3,palmeiras,,,,,palmeiras do tocantins,1713809.0,17.0,Palmeiras do Tocantins,palmeiras do tocantins,1713809.0,17.0,Palmeiras do Tocantins
Aceiros,,CARMOLANDIA,3,carmolandia,17.0,1703883.0,Carmolândia,carmolandia,,,,,,1703883.0,17.0,Carmolândia
Aceiros,,SÃO BENTO DO TOCANTINS,3,sao bento do tocantins,17.0,1720101.0,São Bento do Tocantins,sao bento do tocantins,,,,,,1720101.0,17.0,São Bento do Tocantins
"Aceiros, Calagem, Adubação",Não possui degradação,Marianópolis do Tocantins,3,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
"Aceiros, Calagem, Adubação",Pouco degradado,GUARAI,3,guarai,17.0,1709302.0,Guaraí,guarai,,,,,,1709302.0,17.0,Guaraí
Aceiros,Pouco degradado,Chapada de Areia,3,chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
Aceiros,Pouco degradado,FILADÉLFIA,3,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
"Aceiros, Calagem, Adubação",Pouco degradado,DOIS IRMÃOS DO TOCANTINS,3,dois irmaos do tocantins,17.0,1707207.0,dois Irmãos do Tocantins,dois irmaos do tocantins,,,,,,1707207.0,17.0,dois Irmãos do Tocantins
Não Usa,Não possui degradação,CASEARA,3,caseara,17.0,1703909.0,Caseara,caseara,,,,,,1703909.0,17.0,Caseara
"Aceiros, Adubação",Não possui degradação,pium,3,pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
"Rotação de Cultura, Aceiros",Não possui degradação,Ananás,3,ananas,17.0,1701002.0,Ananás,ananas,,,,,,1701002.0,17.0,Ananás
Aceiros,Pouco degradado,Xambioa,3,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
"Aceiros, Calagem, Adubação",Pouco degradado,Araguaina,3,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
Aceiros,Não possui degradação,PEDRO AFONSO,3,pedro afonso,17.0,1716505.0,Pedro Afonso,pedro afonso,,,,,,1716505.0,17.0,Pedro Afonso
"Rotação de Cultura, Descarte correto de embalagens, Adubação",,Palmeiras do Tocantins,2,palmeiras do tocantins,17.0,1713809.0,Palmeiras do Tocantins,palmeiras do tocantins,,,,,,1713809.0,17.0,Palmeiras do Tocantins
Aceiros,,PEDRO AFONSO,2,pedro afonso,17.0,1716505.0,Pedro Afonso,pedro afonso,,,,,,1716505.0,17.0,Pedro Afonso
"Rotação de Cultura, Aceiros",,Xambioa,2,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
"Aceiros, Calagem, Adubação",Não possui degradação,Miranorte,2,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
"Adubação verde, Plantio direto",,CHAPADA DE AREIA,2,chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
"Reaproveitamento de residuos, Plantio direto, Adubação",Degradação Média,Nova Rosalãndia,2,nova rosalandia,17.0,1715002.0,Nova Rosalândia,nova rosalandia,,,,,,1715002.0,17.0,Nova Rosalândia
"Rotação de Cultura, Aceiros, Recuperação de pastagens",Pouco degradado,Araguaína,2,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
"Adubação verde, Plantio direto",,PALMAS,2,palmas,17.0,1721000.0,Palmas,palmas,,,,,,1721000.0,17.0,Palmas
"Adubação verde, Rotação de Cultura, Aceiros",Pouco degradado,Araguanã,2,araguana,17.0,1702158.0,Araguanã,araguana,,,,,,1702158.0,17.0,Araguanã
